epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6891984629631043,0.6472952541952725,0.5096064203024784,0.9444444444444444,0.3125,16,5,2230.0,139.375,0.0,542.75,138.5625,0.0,542.75,812.0,0.5,0,0.22229525419527246,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
2,0.6861761951446533,0.4896753692187602,0.3459376976226738,1.0,0.8125,16,13,5426.0,339.125,142.0,1345.25,214.6875,124.0,772.25,1298.0,0.5,0,-0.9353246307812398,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
3,0.6885405433086949,0.5201140349254665,0.3718945142416481,1.0,0.4375,16,7,3480.0,217.5,0.0,832.0,125.375,0.0,507.0,552.0,0.5,0,-0.15488596507453356,157,63,95,62,43,62,31,2,"{""camera"": 140, ""phone"": 122}",2e-05,0.0001
4,0.6863888138123141,0.47513115611931056,0.32813373075564783,1.0,0.375,16,6,3453.0,215.8125,0.0,1062.25,153.875,0.0,818.5,901.0,0.5,0,-0.07486884388068948,157,63,95,62,43,62,31,2,"{""camera"": 140, ""phone"": 122}",2e-05,0.0001
5,0.6835197806358337,0.5179982392798645,0.36555870022396986,1.0,0.3125,16,5,2104.0,131.5,0.0,610.75,126.0625,0.0,593.5,1249.0,0.5,0,0.09299823927986456,157,63,117,40,43,40,20,2,"{""camera"": 128, ""phone"": 112}",2e-05,0.0001
6,0.6823925375938416,0.4678674491424734,0.32433355313823875,1.0,0.375,16,6,2991.0,186.9375,0.0,885.25,151.6875,0.0,601.0,1228.0,0.5,0,-0.08213255085752663,157,63,117,40,43,40,20,2,"{""camera"": 128, ""phone"": 112}",2e-05,0.0001
7,0.6808646296252724,0.5641304278184847,0.4095533431112472,1.0,0.3125,16,5,1748.0,109.25,0.0,484.5,105.6875,0.0,443.25,1164.0,0.5,0,0.13913042781848467,157,63,119,38,43,38,19,2,"{""camera"": 130, ""phone"": 108}",1e-05,5e-05
8,0.6799684141864296,0.5939157697035518,0.43769619951357347,1.0,0.3125,16,5,1445.0,90.3125,0.0,417.25,88.1875,0.0,391.75,1009.0,0.5,0,0.16891576970355177,157,63,119,38,43,38,19,2,"{""camera"": 130, ""phone"": 108}",1e-05,5e-05
9,0.6775633325086576,0.6064674362880011,0.45122877311998305,1.0,0.3125,16,5,1248.0,78.0,0.0,413.25,75.0625,0.0,378.0,810.0,0.5,0,0.18146743628800116,157,63,143,14,43,14,7,2,"{""camera"": 120, ""phone"": 94}",1e-05,5e-05
10,0.6766333908678215,0.6241967989620525,0.47084862089969837,1.0,0.25,16,4,893.0,55.8125,0.0,336.5,54.3125,0.0,318.5,578.0,0.5,0,0.3241967989620525,157,63,143,14,43,14,7,2,"{""camera"": 120, ""phone"": 94}",1e-05,5e-05
11,0.6755982841764178,0.6703560677722316,0.5213861322427148,1.0,0.1875,16,3,320.0,20.0,0.0,130.0,20.0,0.0,130.0,187.0,0.5,0,0.49535606777223157,157,63,147,10,43,10,5,2,"{""camera"": 118, ""phone"": 92}",1e-05,5e-05
12,0.6750760436058044,0.6640996408052193,0.5150515191790793,1.0,0.0625,16,1,277.0,17.3125,0.0,69.25,17.3125,0.0,69.25,277.0,0.5,0,0.6640996408052193,157,63,147,10,43,10,5,2,"{""camera"": 118, ""phone"": 92}",1e-05,5e-05
13,0.6734567915692049,0.6128096770720612,0.45953246825785954,1.0,0.25,16,4,436.0,27.25,0.0,140.5,27.25,0.0,140.5,256.0,0.5,0,0.31280967707206125,157,63,153,4,43,4,2,2,"{""camera"": 116, ""phone"": 88}",1e-05,5e-05
14,0.6714955533252043,0.6446553337001207,0.4947154108943479,1.0,0.125,16,2,192.0,12.0,0.0,60.0,12.0,0.0,60.0,168.0,0.5,0,0.5946553337001208,157,63,153,4,43,4,2,2,"{""camera"": 116, ""phone"": 88}",1e-05,5e-05
15,0.6712919932145339,0.6691611566306968,0.5204975605908303,1.0,0.125,16,2,245.0,15.3125,0.0,116.75,15.3125,0.0,116.75,134.0,0.5,0,0.6191611566306967,157,63,149,8,43,8,4,2,"{""camera"": 116, ""phone"": 92}",1e-05,5e-05
16,0.6729690340849069,0.6653144952748415,0.5148193302784487,1.0,0.1875,16,3,496.0,31.0,0.0,197.75,31.0,0.0,197.75,251.0,0.5,0,0.49031449527484156,157,63,149,8,43,8,4,2,"{""camera"": 116, ""phone"": 92}",1e-05,5e-05
17,0.671347006432061,0.6679648048193053,0.5171598079263429,1.0,0.1875,16,3,413.0,25.8125,0.0,146.75,25.8125,0.0,146.75,233.0,0.5,0,0.4929648048193053,157,63,151,6,43,6,3,2,"{""camera"": 116, ""phone"": 90}",1e-05,5e-05
18,0.6709590496368778,0.6388097739090317,0.4846670742357911,1.0,0.1875,16,3,742.0,46.375,0.0,287.0,43.0625,0.0,287.0,323.0,0.5,0,0.4638097739090317,157,63,151,6,43,6,3,2,"{""camera"": 116, ""phone"": 90}",5e-06,2.5e-05
19,0.6701285518132724,0.6588697778928752,0.5067451582509117,1.0,0.1875,16,3,624.0,39.0,0.0,255.5,38.8125,0.0,255.5,347.0,0.5,0,0.48386977789287516,157,63,149,8,43,8,4,2,"{""camera"": 116, ""phone"": 92}",5e-06,2.5e-05
20,0.670142806493319,0.6738473936657344,0.5243445691747383,1.0,0.125,16,2,534.0,33.375,0.0,226.5,33.375,0.0,226.5,348.0,0.5,0,0.6238473936657345,157,63,149,8,43,8,4,2,"{""camera"": 116, ""phone"": 92}",5e-06,2.5e-05
21,0.6681989679242125,0.6715608481354041,0.5218855639100948,1.0,0.125,16,2,513.0,32.0625,0.0,213.75,32.0625,0.0,213.75,342.0,0.5,0,0.621560848135404,157,63,155,2,43,2,1,2,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
