threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,stage2_score
0.1,0,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,8,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,16,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,24,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,32,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,48,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.12,0,0.01718736440458581,0.008809700747144423,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126355954141
0.12,8,0.01718736440458581,0.008809700747144423,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126355954141
0.12,16,0.01718736440458581,0.008809700747144423,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126355954141
0.12,24,0.01718736440458581,0.008809700747144423,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126355954141
0.12,32,0.01718736440458581,0.008809700747144423,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126355954141
0.12,48,0.01718736440458581,0.008809700747144423,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126355954141
0.14,0,0.017189298155086814,0.008810733465456381,1.0,1.0,59,59,24166388.0,409599.7966101695,409600.0,409600.0,409599.7966101695,409600.0,409600.0,409600.0,-1.7828107018449133
0.14,8,0.017189298155086814,0.008810733465456381,1.0,1.0,59,59,24166388.0,409599.7966101695,409600.0,409600.0,409599.7966101695,409600.0,409600.0,409600.0,-1.7828107018449133
0.14,16,0.017189298155086814,0.008810733465456381,1.0,1.0,59,59,24166388.0,409599.7966101695,409600.0,409600.0,409599.7966101695,409600.0,409600.0,409600.0,-1.7828107018449133
0.14,24,0.017189298155086814,0.008810733465456381,1.0,1.0,59,59,24166388.0,409599.7966101695,409600.0,409600.0,409599.7966101695,409600.0,409600.0,409600.0,-1.7828107018449133
0.14,32,0.017189298155086814,0.008810733465456381,1.0,1.0,59,59,24166388.0,409599.7966101695,409600.0,409600.0,409599.7966101695,409600.0,409600.0,409600.0,-1.7828107018449133
0.14,48,0.017189298155086814,0.008810733465456381,1.0,1.0,59,59,24166388.0,409599.7966101695,409600.0,409600.0,409599.7966101695,409600.0,409600.0,409600.0,-1.7828107018449133
0.16,0,0.018871963498588117,0.009764614270352691,1.0,1.0,59,59,24154142.0,409392.23728813557,409600.0,409600.0,409389.81355932204,409600.0,409600.0,409600.0,-1.781128036501412
0.16,8,0.01887352358716634,0.00976554543200834,1.0,1.0,59,59,24154120.0,409391.86440677964,409600.0,409600.0,409389.81355932204,409600.0,409600.0,409600.0,-1.7811264764128336
0.16,16,0.018874816594017626,0.009766311609076123,1.0,1.0,59,59,24154120.0,409391.86440677964,409600.0,409600.0,409389.81355932204,409600.0,409600.0,409600.0,-1.7811251834059825
0.16,24,0.018875781500936016,0.009766873874319527,1.0,1.0,59,59,24154101.0,409391.5423728814,409600.0,409600.0,409389.81355932204,409600.0,409600.0,409600.0,-1.781124218499064
0.16,32,0.018876890757689547,0.009767536385869623,1.0,1.0,59,59,24154101.0,409391.5423728814,409600.0,409600.0,409389.81355932204,409600.0,409600.0,409600.0,-1.7811231092423105
0.16,48,0.018878403976847587,0.00976845647450352,1.0,1.0,59,59,24154101.0,409391.5423728814,409600.0,409600.0,409389.81355932204,409600.0,409600.0,409600.0,-1.7811215960231526
0.18,0,0.02448250216119858,0.013604715028985907,1.0,1.0,59,59,23967024.0,406220.74576271186,409600.0,409600.0,406205.72881355934,409600.0,409600.0,409600.0,-1.7755174978388015
0.18,8,0.024486149962824416,0.013607524450006845,1.0,1.0,59,59,23966983.0,406220.0508474576,409600.0,409600.0,406205.72881355934,409600.0,409600.0,409600.0,-1.7755138500371757
0.18,16,0.02449243129210011,0.013612860464342201,1.0,1.0,59,59,23966907.0,406218.76271186443,409600.0,409600.0,406205.72881355934,409600.0,409600.0,409600.0,-1.7755075687078998
0.18,24,0.02449558039818353,0.013615367388892147,1.0,1.0,59,59,23966832.0,406217.4915254237,409600.0,409600.0,406205.72881355934,409600.0,409600.0,409600.0,-1.7755044196018166
0.18,32,0.024498682216041116,0.013617861105288318,1.0,1.0,59,59,23966802.0,406216.9830508475,409600.0,409600.0,406205.72881355934,409600.0,409600.0,409600.0,-1.775501317783959
0.18,48,0.02450517935736142,0.013623411569441243,1.0,1.0,59,59,23966760.0,406216.27118644066,409600.0,409600.0,406205.72881355934,409600.0,409600.0,409600.0,-1.7754948206426386
0.2,0,0.03230023613890681,0.019322250156925933,1.0,1.0,59,59,23632787.0,400555.71186440677,409600.0,409600.0,400423.83050847455,409600.0,409600.0,409600.0,-1.7676997638610932
0.2,8,0.03231357607794798,0.01933485830553219,1.0,1.0,59,59,23632531.0,400551.3728813559,409600.0,409600.0,400423.83050847455,409600.0,409600.0,409600.0,-1.767686423922052
0.2,16,0.032324076002643046,0.019343844490643417,1.0,1.0,59,59,23632345.0,400548.22033898305,409600.0,409600.0,400423.83050847455,409600.0,409600.0,409600.0,-1.767675923997357
0.2,24,0.03234669735541908,0.01936596115013256,1.0,1.0,59,59,23632152.0,400544.9491525424,409600.0,409600.0,400423.83050847455,409600.0,409600.0,409600.0,-1.7676533026445809
0.2,32,0.03236545996115205,0.019384578121231958,1.0,1.0,59,59,23632013.0,400542.593220339,409600.0,409600.0,400423.83050847455,409600.0,409600.0,409600.0,-1.767634540038848
0.2,48,0.0323910219077168,0.019405519265490456,1.0,1.0,59,59,23631543.0,400534.6271186441,409600.0,409600.0,400423.83050847455,409600.0,409600.0,409600.0,-1.7676089780922832
0.22,0,0.04659122836392757,0.03084084527635193,1.0,1.0,59,59,22383097.0,379374.5254237288,408775.0,409600.0,377282.72881355934,408775.0,409600.0,409600.0,-1.7534087716360724
0.22,8,0.04662669826574493,0.030875732688358856,1.0,1.0,59,59,22381395.0,379345.6779661017,408775.0,409600.0,377282.72881355934,408775.0,409600.0,409600.0,-1.7533733017342552
0.22,16,0.04668248617802403,0.030931908519654747,1.0,1.0,59,59,22379491.0,379313.406779661,408775.0,409600.0,377282.72881355934,408775.0,409600.0,409600.0,-1.753317513821976
0.22,24,0.04673254808664313,0.030983435359864697,1.0,1.0,59,59,22378031.0,379288.66101694916,408775.0,409600.0,377282.72881355934,408775.0,409600.0,409600.0,-1.7532674519133569
0.22,32,0.046776852160832286,0.031030659060897747,1.0,1.0,59,59,22376618.0,379264.71186440677,408775.0,409600.0,377282.72881355934,408775.0,409600.0,409600.0,-1.7532231478391678
0.22,48,0.046825844877560356,0.031076984920775107,1.0,1.0,59,59,22373670.0,379214.74576271186,408775.0,409600.0,377282.72881355934,408775.0,409600.0,409600.0,-1.7531741551224398
0.24,0,0.12782763675966516,0.08491343047314573,1.0,1.0,59,59,17077657.0,289451.81355932204,379265.0,408954.9,285772.0677966102,374883.0,408954.9,409283.0,-1.672172363240335
0.24,8,0.12883027362624183,0.08568066572675051,1.0,1.0,59,59,17074639.0,289400.66101694916,379239.0,408954.9,285772.0677966102,374883.0,408954.9,409283.0,-1.6711697263737582
0.24,16,0.12961578730414672,0.0862741572879291,1.0,1.0,59,59,17071777.0,289352.1525423729,379229.0,408954.9,285772.0677966102,374883.0,408954.9,409283.0,-1.6703842126958532
0.24,24,0.13035680736136043,0.08683936577758039,1.0,1.0,59,59,17068951.0,289304.25423728814,379190.0,408954.9,285772.0677966102,374883.0,408954.9,409283.0,-1.6696431926386397
0.24,32,0.13098897025280629,0.0873353876532283,1.0,1.0,59,59,17066586.0,289264.16949152545,379190.0,408954.9,285772.0677966102,374883.0,408954.9,409283.0,-1.6690110297471938
