epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6099391684812658,0.6902510232410782,0.5415303813075084,1.0,0.0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.6902510232410782,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
2,0.6075904299231136,0.6345291372007652,0.4848727485379664,1.0,0.14285714285714285,14,2,359.0,25.642857142857142,0.0,157.44999999999993,24.571428571428573,0.0,147.69999999999993,253.0,0.5,0,0.5488148514864795,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
3,0.6081941256652007,0.6737999093739746,0.5255798301531832,1.0,0.42857142857142855,14,6,549.0,39.214285714285715,0.0,214.39999999999998,30.142857142857142,0.0,163.04999999999998,178.0,0.5,0,0.016657052231117575,159,64,141,18,45,18,9,2,"{""camera"": 130, ""phone"": 92}",2e-05,0.0001
4,0.6071362028250823,0.6103818587702194,0.460644043317042,1.0,0.9285714285714286,14,13,2780.0,198.57142857142858,151.5,509.59999999999997,143.21428571428572,137.5,349.79999999999995,420.0,0.5,0,-1.0467609983726378,159,64,141,18,45,18,9,2,"{""camera"": 130, ""phone"": 92}",2e-05,0.0001
5,0.6097925759073514,0.6744602917692989,0.5284045006212085,1.0,0.5,14,7,1019.0,72.78571428571429,4.0,289.25,58.142857142857146,4.0,205.34999999999997,284.0,0.5,0,-0.12553970823070115,159,64,95,64,45,64,32,2,"{""camera"": 158, ""phone"": 110}",2e-05,0.0001
6,0.6085959112466272,0.6924838145394736,0.5467934647269845,1.0,0.14285714285714285,14,2,133.0,9.5,0.0,60.04999999999998,9.5,0.0,60.04999999999998,88.0,0.5,0,0.606769528825188,159,64,95,64,45,64,32,2,"{""camera"": 158, ""phone"": 110}",2e-05,0.0001
7,0.6037975936322599,0.6536997093809641,0.5063650837083931,1.0,0.35714285714285715,14,5,588.0,42.0,0.0,198.54999999999995,41.07142857142857,0.0,192.69999999999993,285.0,0.5,0,0.13941399509524988,159,64,141,18,45,18,9,2,"{""camera"": 128, ""phone"": 94}",1e-05,5e-05
8,0.603063744467658,0.6360570408649481,0.488955554967967,1.0,0.42857142857142855,14,6,1036.0,74.0,0.0,352.65,62.92857142857143,0.0,260.99999999999994,391.0,0.5,0,-0.021085816277908953,159,64,141,18,45,18,9,2,"{""camera"": 128, ""phone"": 94}",1e-05,5e-05
9,0.6031472826826161,0.6508410971293999,0.503894213850759,1.0,0.5,14,7,993.0,70.92857142857143,1.5,321.74999999999994,61.285714285714285,1.5,256.0999999999999,403.0,0.5,0,-0.14915890287060019,159,64,131,28,45,28,14,2,"{""camera"": 132, ""phone"": 100}",1e-05,5e-05
10,0.602718618409387,0.6796192651986287,0.5333061028310282,1.0,0.35714285714285715,14,5,826.0,59.0,0.0,270.84999999999997,51.857142857142854,0.0,243.54999999999993,369.0,0.5,0,0.16533355091291446,159,64,131,28,45,28,14,2,"{""camera"": 132, ""phone"": 100}",1e-05,5e-05
11,0.6018361794321161,0.6901697711079079,0.5442342456445216,1.0,0.42857142857142855,14,6,618.0,44.142857142857146,0.0,182.89999999999992,44.142857142857146,0.0,182.89999999999992,296.0,0.5,0,0.033026913965050864,159,64,135,24,45,24,12,2,"{""camera"": 130, ""phone"": 98}",1e-05,5e-05
12,0.601347731916528,0.6971760316239892,0.5517307786959303,1.0,0.35714285714285715,14,5,462.0,33.0,0.0,153.84999999999994,33.0,0.0,153.84999999999994,252.0,0.5,0,0.182890317338275,159,64,135,24,45,24,12,2,"{""camera"": 130, ""phone"": 98}",5e-06,2.5e-05
13,0.6007651348371763,0.6940852440314682,0.5482642669424542,1.0,0.2857142857142857,14,4,533.0,38.07142857142857,0.0,187.19999999999993,38.07142857142857,0.0,187.19999999999993,299.0,0.5,0,0.3226566726028968,159,64,141,18,45,18,9,2,"{""camera"": 130, ""phone"": 92}",5e-06,2.5e-05
14,0.6004814827764356,0.6849497899845853,0.5376036005864313,1.0,0.35714285714285715,14,5,643.0,45.92857142857143,0.0,209.54999999999995,45.92857142857143,0.0,209.54999999999995,322.0,0.5,0,0.1706640756988711,159,64,141,18,45,18,9,2,"{""camera"": 130, ""phone"": 92}",5e-06,2.5e-05
15,0.6003412689481463,0.6769807476439695,0.5297271981246416,1.0,0.35714285714285715,14,5,782.0,55.857142857142854,0.0,219.64999999999992,55.857142857142854,0.0,219.64999999999992,336.0,0.5,0,0.1626950333582553,159,64,139,20,45,20,10,2,"{""camera"": 130, ""phone"": 94}",5e-06,2.5e-05
16,0.6000996530056,0.68061057690208,0.5335853206694723,1.0,0.35714285714285715,14,5,840.0,60.0,0.0,222.64999999999992,60.0,0.0,222.64999999999992,339.0,0.5,0,0.1663248626163658,159,64,139,20,45,20,10,2,"{""camera"": 130, ""phone"": 94}",5e-06,2.5e-05
17,0.6005787237830784,0.6844110430210729,0.5375651817405487,1.0,0.35714285714285715,14,5,729.0,52.07142857142857,0.0,184.54999999999995,52.07142857142857,0.0,184.54999999999995,284.0,0.5,0,0.17012532873535868,159,64,133,26,45,26,13,2,"{""camera"": 136, ""phone"": 94}",2.5e-06,1.25e-05
