threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,stage2_score
0.1,0,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,8,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,16,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,24,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,32,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,48,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.12,0,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.12,8,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.12,16,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.12,24,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.12,32,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.12,48,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.14,0,0.017189025008482017,0.008810568657091762,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782810974991518
0.14,8,0.017189025615846728,0.008810568968971717,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828109743841534
0.14,16,0.017189025615846728,0.008810568968971717,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828109743841534
0.14,24,0.017189031689817426,0.008810572087939662,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828109683101827
0.14,32,0.017189031689817426,0.008810572087939662,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828109683101827
0.14,48,0.017189044143297035,0.008810578482781285,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782810955856703
0.16,0,0.01822043236898734,0.009363906990466261,1.0,1.0,59,59,24165842.0,409590.5423728814,409600.0,409600.0,409590.5423728814,409600.0,409600.0,409600.0,-1.7817795676310126
0.16,8,0.018221616262513497,0.00936454964138938,1.0,1.0,59,59,24165842.0,409590.5423728814,409600.0,409600.0,409590.5423728814,409600.0,409600.0,409600.0,-1.7817783837374865
0.16,16,0.018222701074062687,0.009365138394706029,1.0,1.0,59,59,24165842.0,409590.5423728814,409600.0,409600.0,409590.5423728814,409600.0,409600.0,409600.0,-1.7817772989259373
0.16,24,0.01822401098374078,0.009365850655065854,1.0,1.0,59,59,24165842.0,409590.5423728814,409600.0,409600.0,409590.5423728814,409600.0,409600.0,409600.0,-1.7817759890162592
0.16,32,0.018225270581956388,0.00936653734611002,1.0,1.0,59,59,24165842.0,409590.5423728814,409600.0,409600.0,409590.5423728814,409600.0,409600.0,409600.0,-1.7817747294180437
0.16,48,0.018227517898194295,0.009367766627082752,1.0,1.0,59,59,24165842.0,409590.5423728814,409600.0,409600.0,409590.5423728814,409600.0,409600.0,409600.0,-1.7817724821018057
0.18,0,0.02208411536832938,0.011534977838720978,1.0,1.0,59,59,24137592.0,409111.72881355934,409600.0,409600.0,409103.3728813559,409600.0,409600.0,409600.0,-1.7779158846316707
0.18,8,0.02208719377732129,0.011536771635590063,1.0,1.0,59,59,24137548.0,409110.9830508475,409600.0,409600.0,409103.3728813559,409600.0,409600.0,409600.0,-1.7779128062226788
0.18,16,0.022091059429022345,0.011539015830062527,1.0,1.0,59,59,24137532.0,409110.71186440677,409600.0,409600.0,409103.3728813559,409600.0,409600.0,409600.0,-1.7779089405709776
0.18,24,0.02209377488723844,0.011540596345972662,1.0,1.0,59,59,24137532.0,409110.71186440677,409600.0,409600.0,409103.3728813559,409600.0,409600.0,409600.0,-1.7779062251127615
0.18,32,0.022095832610536704,0.011541829811825388,1.0,1.0,59,59,24137532.0,409110.71186440677,409600.0,409600.0,409103.3728813559,409600.0,409600.0,409600.0,-1.7779041673894633
0.18,48,0.022098640340987942,0.011543392569810573,1.0,1.0,59,59,24137532.0,409110.71186440677,409600.0,409600.0,409103.3728813559,409600.0,409600.0,409600.0,-1.777901359659012
0.2,0,0.03420598320814474,0.01895426232820448,1.0,1.0,59,59,23858391.0,404379.5084745763,409254.0,409600.0,404282.13559322036,409254.0,409600.0,409600.0,-1.7657940167918553
0.2,8,0.034219642205955136,0.01896328301925485,1.0,1.0,59,59,23858204.0,404376.33898305084,409254.0,409600.0,404282.13559322036,409254.0,409600.0,409600.0,-1.765780357794045
0.2,16,0.0342364835687416,0.01897411977251904,1.0,1.0,59,59,23857982.0,404372.57627118647,409254.0,409600.0,404282.13559322036,409254.0,409600.0,409600.0,-1.7657635164312584
0.2,24,0.034253278705572876,0.018985167044973102,1.0,1.0,59,59,23857735.0,404368.3898305085,409254.0,409600.0,404282.13559322036,409254.0,409600.0,409600.0,-1.7657467212944271
0.2,32,0.03426629549958177,0.01899428042573668,1.0,1.0,59,59,23857436.0,404363.3220338983,409254.0,409600.0,404282.13559322036,409254.0,409600.0,409600.0,-1.7657337045004182
0.2,48,0.03429208805574734,0.01901116501762979,1.0,1.0,59,59,23856804.0,404352.6101694915,409254.0,409600.0,404282.13559322036,409254.0,409600.0,409600.0,-1.7657079119442527
0.22,0,0.07080959224931425,0.0440852719190998,1.0,1.0,59,59,21261145.0,360358.3898305085,389462.0,409103.9,356999.7966101695,389227.0,409103.9,409503.0,-1.7291904077506859
0.22,8,0.0708629622808645,0.0441280465165676,1.0,1.0,59,59,21258637.0,360315.8813559322,389428.0,409103.9,356999.7966101695,389227.0,409103.9,409503.0,-1.7291370377191355
0.22,16,0.07091920771039784,0.04417193042352783,1.0,1.0,59,59,21254878.0,360252.16949152545,389360.0,409103.9,356999.7966101695,389227.0,409103.9,409503.0,-1.729080792289602
0.22,24,0.07096497160940347,0.044206581060103146,1.0,1.0,59,59,21251646.0,360197.3898305085,389299.0,409103.9,356999.7966101695,389227.0,409103.9,409503.0,-1.7290350283905966
0.22,32,0.07101939235955879,0.04425249654200828,1.0,1.0,59,59,21248995.0,360152.4576271186,389273.0,409103.9,356999.7966101695,389227.0,409103.9,409503.0,-1.7289806076404413
0.22,48,0.07111373485341525,0.04432945774850093,1.0,1.0,59,59,21244949.0,360083.8813559322,389273.0,409103.9,356999.7966101695,389227.0,409103.9,409503.0,-1.7288862651465848
0.24,0,0.13433440014830983,0.09203760322692013,1.0,1.0,59,59,17004310.0,288208.6440677966,305727.0,389809.6,280603.86440677964,294309.0,389715.0,403830.0,-1.6656655998516903
0.24,8,0.13445595090368515,0.09215001621015524,1.0,1.0,59,59,17001806.0,288166.2033898305,305687.0,389804.0,280603.86440677964,294309.0,389715.0,403830.0,-1.665544049096315
0.24,16,0.13461340893010137,0.09229284101188857,1.0,1.0,59,59,16998644.0,288112.6101694915,305619.0,389777.8,280603.86440677964,294309.0,389715.0,403830.0,-1.6653865910698986
0.24,24,0.13471724846463282,0.09238262402962771,1.0,1.0,59,59,16995694.0,288062.6101694915,305602.0,389777.8,280603.86440677964,294309.0,389715.0,403830.0,-1.6652827515353672
0.24,32,0.13482190699140173,0.09247503285411678,1.0,1.0,59,59,16993413.0,288023.9491525424,305602.0,389775.39999999997,280603.86440677964,294309.0,389715.0,403830.0,-1.6651780930085982
0.24,48,0.1350185040120517,0.09265400400682067,1.0,1.0,59,59,16988290.0,287937.1186440678,305528.0,389737.6,280603.86440677964,294309.0,389715.0,403830.0,-1.6649814959879483
