threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,stage2_score
0.1,0,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,8,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,16,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,24,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,32,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.1,48,0.01718730699760421,0.008809669822473215,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126930023958
0.12,0,0.017187639887495755,0.00880984688426766,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123601125043
0.12,8,0.017187639887495755,0.00880984688426766,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123601125043
0.12,16,0.017187639887495755,0.00880984688426766,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123601125043
0.12,24,0.017187639887495755,0.00880984688426766,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123601125043
0.12,32,0.017187639887495755,0.00880984688426766,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123601125043
0.12,48,0.017187639887495755,0.00880984688426766,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123601125043
0.14,0,0.017377385343699727,0.008911060146613553,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7826226146563002
0.14,8,0.017377761915216148,0.00891126175202662,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7826222380847838
0.14,16,0.01737833125990031,0.00891156759491448,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7826216687400998
0.14,24,0.017378861373494967,0.008911853126671355,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7826211386265052
0.14,32,0.01737955867561162,0.008912227163368718,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7826204413243885
0.14,48,0.017380518897060153,0.008912741849134872,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7826194811029399
0.16,0,0.022287135891036612,0.01163637125743288,1.0,1.0,59,59,24146728.0,409266.57627118647,409600.0,409600.0,409263.2033898305,409600.0,409600.0,409600.0,-1.7777128641089635
0.16,8,0.022292644645695636,0.01163956657062999,1.0,1.0,59,59,24146719.0,409266.42372881353,409600.0,409600.0,409263.2033898305,409600.0,409600.0,409600.0,-1.7777073553543044
0.16,16,0.02230020912816264,0.011643973637303911,1.0,1.0,59,59,24146705.0,409266.18644067796,409600.0,409600.0,409263.2033898305,409600.0,409600.0,409600.0,-1.7776997908718375
0.16,24,0.02230683601713037,0.01164783872998889,1.0,1.0,59,59,24146705.0,409266.18644067796,409600.0,409600.0,409263.2033898305,409600.0,409600.0,409600.0,-1.7776931639828697
0.16,32,0.022312790238589834,0.011651335999995974,1.0,1.0,59,59,24146705.0,409266.18644067796,409600.0,409600.0,409263.2033898305,409600.0,409600.0,409600.0,-1.7776872097614103
0.16,48,0.02232471507269468,0.011658329480298534,1.0,1.0,59,59,24146705.0,409266.18644067796,409600.0,409600.0,409263.2033898305,409600.0,409600.0,409600.0,-1.7776752849273054
0.18,0,0.03462638244151885,0.019357462258485055,1.0,1.0,59,59,23940609.0,405773.0338983051,409600.0,409600.0,405757.8474576271,409600.0,409600.0,409600.0,-1.765373617558481
0.18,8,0.03463806164708147,0.019365588997162432,1.0,1.0,59,59,23940530.0,405771.69491525425,409600.0,409600.0,405757.8474576271,409600.0,409600.0,409600.0,-1.7653619383529187
0.18,16,0.034649652613706665,0.019373619345667104,1.0,1.0,59,59,23940421.0,405769.8474576271,409600.0,409600.0,405757.8474576271,409600.0,409600.0,409600.0,-1.7653503473862935
0.18,24,0.03465800577345385,0.01937886485880499,1.0,1.0,59,59,23940357.0,405768.76271186443,409600.0,409600.0,405757.8474576271,409600.0,409600.0,409600.0,-1.7653419942265463
0.18,32,0.03466996995757161,0.019387257919413026,1.0,1.0,59,59,23940257.0,405767.0677966102,409600.0,409600.0,405757.8474576271,409600.0,409600.0,409600.0,-1.7653300300424284
0.18,48,0.03469033702837419,0.019401916442380894,1.0,1.0,59,59,23940225.0,405766.5254237288,409600.0,409600.0,405757.8474576271,409600.0,409600.0,409600.0,-1.7653096629716258
0.2,0,0.05794632778607036,0.03640028162227513,1.0,1.0,59,59,23370271.0,396106.28813559323,409576.0,409600.0,396014.593220339,409576.0,409600.0,409600.0,-1.7420536722139297
0.2,8,0.05797200222641672,0.03642147809582261,1.0,1.0,59,59,23369968.0,396101.1525423729,409576.0,409600.0,396014.593220339,409576.0,409600.0,409600.0,-1.7420279977735833
0.2,16,0.05799948817374571,0.03644477445510338,1.0,1.0,59,59,23369630.0,396095.42372881353,409576.0,409600.0,396014.593220339,409576.0,409600.0,409600.0,-1.7420005118262543
0.2,24,0.05803636486772669,0.03647706359288583,1.0,1.0,59,59,23369486.0,396092.9830508475,409576.0,409600.0,396014.593220339,409576.0,409600.0,409600.0,-1.7419636351322734
0.2,32,0.05808423151528208,0.036521156264399134,1.0,1.0,59,59,23369255.0,396089.0677966102,409576.0,409600.0,396014.593220339,409576.0,409600.0,409600.0,-1.741915768484718
0.2,48,0.05813139265234895,0.03656211146550122,1.0,1.0,59,59,23369020.0,396085.0847457627,409576.0,409600.0,396014.593220339,409576.0,409600.0,409600.0,-1.741868607347651
0.22,0,0.09542896819945082,0.06569638991307215,1.0,1.0,59,59,21587126.0,365883.4915254237,393302.0,409554.8,363461.3898305085,392917.0,409554.8,409583.0,-1.7045710318005491
0.22,8,0.09551433581753899,0.0657778196531627,1.0,1.0,59,59,21586045.0,365865.16949152545,393298.0,409554.8,363461.3898305085,392917.0,409554.8,409583.0,-1.704485664182461
0.22,16,0.09564427878928213,0.06590337108609795,1.0,1.0,59,59,21584593.0,365840.5593220339,393298.0,409554.8,363461.3898305085,392917.0,409554.8,409583.0,-1.7043557212107179
0.22,24,0.09574923608698956,0.06599895087238175,1.0,1.0,59,59,21583363.0,365819.71186440677,393298.0,409554.8,363461.3898305085,392917.0,409554.8,409583.0,-1.7042507639130104
0.22,32,0.0958302530310619,0.06607594171703933,1.0,1.0,59,59,21582250.0,365800.8474576271,393298.0,409554.8,363461.3898305085,392917.0,409554.8,409583.0,-1.704169746968938
0.22,48,0.09598249854624265,0.06622155056909194,1.0,1.0,59,59,21580408.0,365769.6271186441,393261.0,409554.8,363461.3898305085,392917.0,409554.8,409583.0,-1.7040175014537573
0.24,0,0.1647600854194085,0.11627483304217297,1.0,1.0,59,59,16026985.0,271643.81355932204,301014.0,403405.4,264934.81355932204,294600.0,403405.3,404469.0,-1.6352399145805916
0.24,8,0.1649984593904365,0.11647917426965793,1.0,1.0,59,59,16022552.0,271568.6779661017,300907.0,403405.3,264934.81355932204,294600.0,403405.3,404469.0,-1.6350015406095635
0.24,16,0.1652968720984398,0.11672967211306809,1.0,1.0,59,59,16016784.0,271470.9152542373,300741.0,403405.3,264934.81355932204,294600.0,403405.3,404469.0,-1.6347031279015602
0.24,24,0.16558493804764232,0.11695783937642296,1.0,1.0,59,59,16011867.0,271387.57627118647,300703.0,403405.3,264934.81355932204,294600.0,403405.3,404469.0,-1.6344150619523576
0.24,32,0.16581205563749518,0.11716050538225081,1.0,1.0,59,59,16007437.0,271312.4915254237,300593.0,403405.3,264934.81355932204,294600.0,403405.3,404469.0,-1.634187944362505
0.24,48,0.16621225196529515,0.1174979166688657,1.0,1.0,59,59,15999282.0,271174.27118644066,300306.0,403405.3,264934.81355932204,294600.0,403405.3,404469.0,-1.633787748034705
