epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.7878789842718898,0.651870666545012,0.4960810477302796,1.0,0.6,15,9,1242.0,82.8,11.0,333.4999999999993,60.0,7.0,247.09999999999962,497.0,0.5,0,-0.348129333454988,158,0,158,0,44,0,0,2,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
2,0.7749273664880507,0.6560843248493538,0.5088403242902707,1.0,1.0,15,15,3787.0,252.46666666666667,211.0,450.49999999999994,163.4,109.0,336.8999999999999,374.0,0.5,0,-1.1439156751506463,158,0,158,0,44,0,0,2,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
3,0.7750398248996375,0.6040691801161617,0.44944031725264505,1.0,0.6,15,9,3738.0,249.2,40.0,1004.8999999999999,217.93333333333334,28.0,874.5999999999999,953.0,0.5,0,-0.39593081988383827,158,63,95,63,44,63,42,2,"{""camera"": 147, ""phone"": 118}",2e-05,0.0001
4,0.7705207460331467,0.6768092569614134,0.5270644062477114,1.0,0.6,15,9,1866.0,124.4,32.0,452.69999999999993,113.93333333333334,32.0,422.5999999999999,480.0,0.5,0,-0.32319074303858664,158,63,95,63,44,63,42,2,"{""camera"": 144, ""phone"": 121}",2e-05,0.0001
5,0.7673582489673908,0.5820799958397429,0.4289084815634429,1.0,0.7333333333333333,15,11,8180.0,545.3333333333334,167.0,2118.0,377.93333333333334,155.0,1280.1999999999996,1584.0,0.5,0,-0.6845866708269237,158,63,100,58,44,58,29,2,"{""camera"": 138, ""phone"": 122}",2e-05,0.0001
6,0.7646032580962547,0.5838922219657898,0.43532914354099794,1.0,0.8666666666666667,15,13,18668.0,1244.5333333333333,357.0,3929.599999999998,796.0,221.0,2797.7999999999997,3005.0,0.5,0,-0.9494411113675436,158,63,100,58,44,58,29,2,"{""camera"": 138, ""phone"": 122}",2e-05,0.0001
7,0.7630625846251002,0.6202102509597202,0.47266911375443793,1.0,0.5333333333333333,15,8,5769.0,384.6,2.0,1625.8999999999962,243.33333333333334,2.0,1070.2999999999984,2191.0,0.5,0,-0.24645641570694654,158,63,95,63,44,63,35,2,"{""camera"": 145, ""phone"": 120}",2e-05,0.0001
8,0.7610520434829424,0.6290113011953613,0.478188096988844,1.0,0.4666666666666667,15,7,5599.0,373.26666666666665,0.0,1681.3999999999962,238.93333333333334,0.0,1092.7999999999984,2203.0,0.5,0,-0.10432203213797209,158,63,95,63,44,63,35,2,"{""camera"": 145, ""phone"": 120}",2e-05,0.0001
9,0.7585370345115662,0.6466542109877188,0.49552100198964033,1.0,0.26666666666666666,15,4,2369.0,157.93333333333334,0.0,799.4999999999984,116.93333333333334,0.0,614.9999999999991,1238.0,0.5,0,0.3133208776543855,158,63,110,48,44,48,24,2,"{""camera"": 142, ""phone"": 108}",2e-05,0.0001
10,0.756981330871582,0.6685856940869577,0.5196112329292053,1.0,0.13333333333333333,15,2,885.0,59.0,0.0,292.6999999999992,51.266666666666666,0.0,257.8999999999993,701.0,0.5,0,0.601919027420291,158,63,110,48,44,48,24,2,"{""camera"": 142, ""phone"": 108}",2e-05,0.0001
11,0.7540918149446186,0.6915600256643442,0.5483729667372044,1.0,0.06666666666666667,15,1,357.0,23.8,0.0,107.09999999999962,13.2,0.0,59.39999999999979,198.0,0.5,0,0.6915600256643442,158,63,132,26,44,26,13,2,"{""camera"": 128, ""phone"": 100}",2e-05,0.0001
12,0.7522002489943254,0.7177536887484784,0.5806527239741114,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.7177536887484784,158,63,132,26,44,26,13,2,"{""camera"": 128, ""phone"": 100}",2e-05,0.0001
13,0.7502617283698616,0.6952306816749946,0.5514172769187536,1.0,0.2,15,3,337.0,22.466666666666665,0.0,145.79999999999998,18.533333333333335,0.0,104.49999999999991,157.0,0.5,0,0.49523068167499457,158,63,142,16,44,16,8,2,"{""camera"": 124, ""phone"": 94}",2e-05,0.0001
14,0.7491836684559463,0.6746240069838735,0.5277634657617123,1.0,0.13333333333333333,15,2,289.0,19.266666666666666,0.0,129.0999999999999,13.133333333333333,0.0,95.49999999999999,106.0,0.5,0,0.6079573403172068,158,63,142,16,44,16,8,2,"{""camera"": 124, ""phone"": 94}",2e-05,0.0001
15,0.7489374918220317,0.720375808655271,0.5807705838389222,1.0,0.06666666666666667,15,1,106.0,7.066666666666666,0.0,31.799999999999887,7.066666666666666,0.0,31.799999999999887,106.0,0.5,0,0.720375808655271,158,63,134,24,44,24,12,2,"{""camera"": 130, ""phone"": 96}",2e-05,0.0001
16,0.7477260595929306,0.7148084596981173,0.5730402432148599,1.0,0.13333333333333333,15,2,418.0,27.866666666666667,0.0,148.19999999999968,27.866666666666667,0.0,148.19999999999968,361.0,0.5,0,0.6481417930314507,158,63,134,24,44,24,12,2,"{""camera"": 130, ""phone"": 96}",2e-05,0.0001
17,0.7455788839643247,0.7017973661411917,0.5612846986857939,1.0,0.06666666666666667,15,1,114.0,7.6,0.0,34.199999999999875,5.466666666666667,0.0,24.599999999999913,82.0,0.5,0,0.7017973661411917,158,63,146,12,44,12,6,2,"{""camera"": 120, ""phone"": 94}",2e-05,0.0001
18,0.7443251810341238,0.6911808054824098,0.5444717533936758,1.0,0.13333333333333333,15,2,66.0,4.4,0.0,26.599999999999966,3.0,0.0,20.29999999999999,28.0,0.5,0,0.6245141388157431,158,63,146,12,44,12,6,2,"{""camera"": 120, ""phone"": 94}",2e-05,0.0001
19,0.7436176543935723,0.7169693274075503,0.5761079681230843,1.0,0.13333333333333333,15,2,177.0,11.8,0.0,65.09999999999988,7.0,0.0,43.49999999999995,75.0,0.5,0,0.6503026607408836,158,63,142,16,44,16,8,2,"{""camera"": 124, ""phone"": 94}",2e-05,0.0001
20,0.7422121189056187,0.6768428586804662,0.5299921819437882,1.0,0.3333333333333333,15,5,899.0,59.93333333333333,0.0,322.89999999999975,37.2,0.0,185.39999999999992,247.0,0.5,0,0.2101761920137996,158,63,142,16,44,16,8,2,"{""camera"": 124, ""phone"": 94}",2e-05,0.0001
21,0.7439382376791048,0.7309054115044867,0.5905382152748765,1.0,0.26666666666666666,15,4,463.0,30.866666666666667,0.0,154.19999999999993,26.8,0.0,123.39999999999989,192.0,0.5,0,0.3975720781711534,158,63,122,36,44,36,18,2,"{""camera"": 132, ""phone"": 106}",1e-05,5e-05
22,0.74261198875283,0.7202071803491391,0.5783536673365823,1.0,0.3333333333333333,15,5,549.0,36.6,0.0,194.6999999999999,28.0,0.0,143.99999999999997,165.0,0.5,0,0.2535405136824725,158,63,122,36,44,36,18,2,"{""camera"": 132, ""phone"": 106}",1e-05,5e-05
23,0.7416327488728058,0.7163970841596092,0.5759155549751019,1.0,0.4,15,6,557.0,37.13333333333333,0.0,166.29999999999967,22.066666666666666,0.0,98.49999999999991,158.0,0.5,0,0.11639708415960914,158,63,126,32,44,32,16,2,"{""camera"": 130, ""phone"": 104}",1e-05,5e-05
