threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,stage2_score
0.1,0,0.017197799082312885,0.008815178872750712,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828022009176872
0.1,8,0.017197801356641878,0.00881518004168827,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828021986433582
0.1,16,0.017197804280896355,0.008815181544669062,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828021957191036
0.1,24,0.017197810454755495,0.008815184717854158,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828021895452446
0.1,32,0.017197810454755495,0.008815184717854158,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828021895452446
0.1,48,0.01719782312925518,0.008815191232193676,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782802176870745
0.12,0,0.01895421552895015,0.009786229919800247,1.0,1.0,59,59,24166376.0,409599.593220339,409600.0,409600.0,409599.593220339,409600.0,409600.0,409600.0,-1.7810457844710499
0.12,8,0.018956484289648325,0.009787534114070337,1.0,1.0,59,59,24166376.0,409599.593220339,409600.0,409600.0,409599.593220339,409600.0,409600.0,409600.0,-1.7810435157103517
0.12,16,0.018959231228591635,0.009789110603630205,1.0,1.0,59,59,24166376.0,409599.593220339,409600.0,409600.0,409599.593220339,409600.0,409600.0,409600.0,-1.7810407687714085
0.12,24,0.018962511410873326,0.009791013615435098,1.0,1.0,59,59,24166376.0,409599.593220339,409600.0,409600.0,409599.593220339,409600.0,409600.0,409600.0,-1.7810374885891267
