epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6697738027572632,0.659506510649245,0.5168604934804785,0.9814814814814815,0.375,16,6,999.0,62.4375,0.0,292.25,61.1875,0.0,287.25,768.0,0.6027481174963035,0.8765810459161587,0.6595065100906138,0.6026241601674601,0.9207046185787698,0.7284558071436041,0.0,0.9814814814814815,0.6791887125220457,0.7520282186948853,0.5965918530646971,0.5,0,0.10950651064924499,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
2,0.6665754413604736,0.5808848820869025,0.4298304065252903,1.0,0.8125,16,13,5639.0,352.4375,170.0,1174.0,208.25,135.5,601.0,766.0,0.44466751500703583,0.9494024309267545,0.580884881839473,0.5464593352407622,0.9260821066341696,0.6873371410522991,0.0,1.0,0.5206349206349206,0.640108759553204,0.4544001987707617,0.5,0,-0.8441151179130976,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
3,0.6699951066716996,0.48672252111723824,0.3427923116097246,1.0,1.0,16,16,30356.0,1897.25,1271.5,5380.0,1661.6875,1121.0,5023.25,6581.0,0.37316806155130977,0.9109982894504831,0.4867225207832088,0.38832236668391756,0.9482626329058423,0.5510036248513062,0.0,0.9814814814814815,0.47286155202821867,0.598487520709743,0.35242658889372996,0.5,0,-1.3132774788827617,157,63,94,63,43,63,35,2,"{""camera"": 140, ""phone"": 123}",2e-05,0.0001
4,0.6677046774004802,0.48880684351572523,0.34384382366386135,1.0,0.9375,16,15,18406.0,1150.375,1055.5,2829.75,832.0,698.0,1885.0,2557.0,0.3505341703305361,0.9577698996261075,0.48880684328708834,0.43557365678410725,0.947482445789891,0.5967919781177087,0.0,1.0,0.42308935920047036,0.5623029234140344,0.3194806245556301,0.5,0,-1.1861931564842747,157,63,94,63,43,63,35,2,"{""camera"": 141, ""phone"": 122}",2e-05,0.0001
5,0.6660841279610028,0.4804867690822744,0.3322184361725796,1.0,0.8125,16,13,12181.0,761.3125,530.0,2626.25,580.0,481.0,1533.75,2262.0,0.33664756649205935,0.9681049180757789,0.48048676885508296,0.4202422390129326,0.9575088174039758,0.5841195293247663,0.0,1.0,0.4323412698412698,0.5705026455026454,0.2785582822062914,0.5,0,-0.9445132309177257,157,63,94,63,43,63,40,2,"{""camera"": 149, ""phone"": 114}",2e-05,0.0001
6,0.6646815284576706,0.5663100055958056,0.41449374686089346,1.0,0.625,16,10,3614.0,225.875,68.5,763.25,152.125,68.5,510.0,600.0,0.42193525594550263,0.9597537379759161,0.5663100053458475,0.5336700275576114,0.9477339110586688,0.6828349368429366,0.0,1.0,0.543694885361552,0.668694885361552,0.4231067870539216,0.5,0,-0.48368999440419447,157,63,94,63,43,63,40,2,"{""camera"": 147, ""phone"": 116}",2e-05,0.0001
7,0.6613312474751877,0.6057131111891975,0.45129479959854635,1.0,0.5625,16,9,2179.0,136.1875,70.0,558.75,98.1875,51.0,302.75,533.0,0.46298694909669563,0.9493711614536552,0.605713110920898,0.5682611541398495,0.9404736574011386,0.7084540528988481,0.0,1.0,0.5875220458553791,0.7050705467372134,0.48355191536946057,0.5,0,-0.3192868888108026,157,63,121,36,43,36,18,2,"{""camera"": 128, ""phone"": 108}",1e-05,5e-05
8,0.6608194759336569,0.6544606197588881,0.5043642038294656,1.0,0.5625,16,9,1694.0,105.875,41.5,365.75,90.375,36.5,298.25,488.0,0.5254883362836256,0.9275373701613518,0.6544606194702877,0.6120687831806934,0.9329361471652127,0.739183521249802,0.0,1.0,0.6778218694885362,0.7741034685479129,0.5668212124035501,0.5,0,-0.2705393802411119,157,63,121,36,43,36,18,2,"{""camera"": 128, ""phone"": 108}",1e-05,5e-05
9,0.6594784385279605,0.6506429759481976,0.5004905144757901,1.0,0.5625,16,9,1991.0,124.4375,83.5,358.75,101.9375,58.0,296.5,469.0,0.5180923047386519,0.9326057881044654,0.650642975676737,0.6034866960469201,0.9394549006712188,0.7348930579058466,0.0,1.0,0.6759259259259259,0.7743386243386241,0.5556657721825723,0.5,0,-0.2743570240518024,157,63,129,28,43,28,14,2,"{""camera"": 126, ""phone"": 102}",1e-05,5e-05
10,0.6587169797796952,0.6824146262902576,0.5375717819368023,1.0,0.4375,16,7,917.0,57.3125,0.0,272.0,57.3125,0.0,272.0,281.0,0.5624548266748763,0.9203434050394024,0.6824146260122667,0.6487196883579032,0.9309437684972048,0.7646205256663506,0.0,1.0,0.7419753086419753,0.8241622574955907,0.6252264533096249,0.5,0,0.0074146262902575755,157,63,129,28,43,28,14,2,"{""camera"": 126, ""phone"": 102}",1e-05,5e-05
11,0.6581529661228782,0.672108538633406,0.5239440239599443,1.0,0.375,16,6,794.0,49.625,0.0,198.0,47.4375,0.0,171.75,357.0,0.5432625224088274,0.9356825812820925,0.672108538365877,0.6388071830475837,0.9326137557949848,0.7582441489542951,0.0,1.0,0.707716049382716,0.7963844797178129,0.6020071650772475,0.5,0,0.12210853863340598,157,63,129,28,43,28,14,2,"{""camera"": 122, ""phone"": 106}",1e-05,5e-05
12,0.6574858678014655,0.6713306228320347,0.5231075271788131,1.0,0.5,16,8,761.0,47.5625,4.5,192.25,40.1875,4.5,140.5,310.0,0.5421656024967366,0.9389791431246126,0.6713306225695327,0.6455170995390345,0.9309179771875866,0.7623827728962488,0.0,1.0,0.7024691358024691,0.7921516754850086,0.6029513539175752,0.5,0,-0.12866937716796534,157,63,129,28,43,28,14,2,"{""camera"": 122, ""phone"": 106}",1e-05,5e-05
13,0.6567638980603852,0.6642743949772388,0.5144912247658303,1.0,0.4375,16,7,1025.0,64.0625,0.0,285.0,56.875,0.0,229.5,405.0,0.5309125642973863,0.9422357511905305,0.6642743947171985,0.623692005641362,0.9381137525710712,0.7492532855436081,0.0,1.0,0.6876543209876543,0.7821869488536154,0.5850962499235542,0.5,0,-0.010725605022761209,157,63,131,26,43,26,13,2,"{""camera"": 124, ""phone"": 102}",1e-05,5e-05
