epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6684727879131541,0.47360630009287724,0.3373097113955096,1.0,0.6428571428571429,14,9,14676.0,1048.2857142857142,237.5,5093.949999999999,642.4285714285714,190.5,3261.2,3412.0,0.3460966898360208,0.9528157330590701,0.47360629991015,0.46613723584770067,0.959088822584347,0.6273629506658487,0.0,0.9935897435897435,0.49612470862470853,0.6180867209713363,0.2970175412965278,0.5,0,-0.6121079856214087,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
2,0.6654366465175853,0.5584434197121354,0.4116255105817362,1.0,0.6428571428571429,14,9,2034.0,145.28571428571428,28.5,608.5,123.0,26.5,532.2499999999999,698.0,0.4445019789378667,0.8889523469611114,0.5584434194436187,0.5282563976173802,0.9554916050210978,0.6803642563623078,0.0,0.9743589743589743,0.5480692918192918,0.6739690864690863,0.3937795947435359,0.5,0,-0.5272708660021505,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
3,0.6674710794259574,0.5628960535035541,0.4172144340380987,1.0,0.7857142857142857,14,11,2900.0,207.14285714285714,109.5,799.25,190.5,97.0,763.5999999999999,852.0,0.441738468916093,0.9115152880675834,0.5628960532458943,0.5501152583888117,0.9595743366112887,0.6993179073055167,0.0,0.9743589743589743,0.4975732600732601,0.6282259407259407,0.38094959588770116,0.5,0,-0.8085325179250173,159,64,101,58,45,58,29,2,"{""camera"": 136, ""phone"": 126}",2e-05,0.0001
4,0.6651185978459948,0.43156381664533855,0.2990814095102834,1.0,0.9285714285714286,14,13,12436.0,888.2857142857143,762.0,2216.0,534.3571428571429,432.0,1434.0999999999997,1880.0,0.30125613109150706,0.9650743303113012,0.4315638164552339,0.4309176934792974,0.985271269928144,0.5995962884321728,0.0,0.9807692307692307,0.3386370573870573,0.4724039849039849,0.19744322125420438,0.5,0,-1.2255790404975186,159,64,101,58,45,58,29,2,"{""camera"": 136, ""phone"": 126}",2e-05,0.0001
5,0.6639524128899645,0.5148715978346353,0.37105582030887807,1.0,0.7857142857142857,14,11,7713.0,550.9285714285714,311.5,1586.9499999999996,404.35714285714283,246.5,1208.9999999999998,1547.0,0.3786045523996821,0.9372831480955804,0.5148715976000854,0.5035463420645462,0.9739102416977101,0.6638556355507685,0.0,0.9743589743589743,0.4291097257443411,0.5696185758685759,0.3195221832390439,0.5,0,-0.8565569735939361,159,64,95,64,45,64,41,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
6,0.6622811342353252,0.5523081431763138,0.4048139476700973,1.0,0.6428571428571429,14,9,3121.0,222.92857142857142,104.5,810.9999999999999,190.5,84.0,784.9999999999999,928.0,0.41525610948242525,0.9379671895707445,0.5523081429323546,0.5439082121776334,0.9696068219134549,0.6968904849219291,0.0,0.9743589743589743,0.5259636197136197,0.6529345654345653,0.36950700761313804,0.5,0,-0.533406142537972,159,64,95,64,45,64,41,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
7,0.6611500551451498,0.5620015922377605,0.4150978098289639,1.0,0.5,14,7,1890.0,135.0,6.0,612.0499999999998,127.14285714285714,6.0,600.9999999999998,913.0,0.42736749379680583,0.9385960996677191,0.5620015919985226,0.5617295573961201,0.9611986017196024,0.7090730601858861,0.0,0.9743589743589743,0.5898046398046398,0.7024447774447774,0.36871661384811727,0.5,0,-0.23799840776223957,159,64,95,64,45,64,36,2,"{""camera"": 147, ""phone"": 121}",2e-05,0.0001
8,0.661585216201953,0.42022257620025905,0.28896888503114154,1.0,0.8571428571428571,14,12,9203.0,657.3571428571429,188.5,2244.2999999999993,461.64285714285717,157.5,1686.3499999999995,2727.0,0.29067992423455535,0.9718349072099155,0.4202225760094126,0.408126666423171,0.9863967797178722,0.5773654513888888,0.0,1.0,0.4356837606837606,0.5683164058164059,0.17837945629397145,0.5,0,-1.0940631380854553,159,64,95,64,45,64,36,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
9,0.6601939930844662,0.42578062413550166,0.29788829351340174,1.0,0.9285714285714286,14,13,21658.0,1547.0,1056.0,4968.549999999999,1142.5,881.5,3031.949999999999,5565.0,0.3025865268231572,0.9398959140824618,0.42578062394797705,0.4175433651509496,0.9676824208612136,0.5833696982598052,0.0,0.9743589743589743,0.4074175824175824,0.534416645446057,0.24497388293681244,0.5,0,-1.2313622330073555,159,64,95,64,45,64,37,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
10,0.658903426198817,0.41585932727446184,0.28541478966324685,1.0,0.9285714285714286,14,13,31689.0,2263.5,1951.0,5464.949999999998,1483.0714285714287,1044.5,3911.5999999999985,6496.0,0.2946123813448599,0.9243133911852387,0.4158593270754517,0.364007711573952,0.9750401652513198,0.5301112012324763,0.0,0.9743589743589743,0.2669220893485599,0.40362998450042975,0.22617829020222668,0.5,0,-1.2412835298683955,159,64,95,64,45,64,37,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
