epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6697740221023559,0.6583231913795513,0.5157470165676658,0.9814814814814815,0.4375,16,7,946.0,59.125,0.0,286.0,57.8125,0.0,280.75,766.0,0.6022490100895523,0.8758919335385573,0.6583231908158625,0.6024045034856439,0.9204467054825877,0.7282145981640705,0.0,0.9814814814814815,0.6853615520282186,0.7565255731922398,0.5951138809361096,0.5,0,-0.016676808620448735,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
2,0.666602635383606,0.586036208717568,0.43496048819903294,1.0,0.8125,16,13,5236.0,327.25,134.5,1126.25,194.75,111.5,591.25,754.0,0.45061822302290766,0.948027152834574,0.5860362084684164,0.5514387162224477,0.9252761282086001,0.6910380595343865,0.0,1.0,0.5342592592592592,0.6532186948853614,0.4650193090199459,0.5,0,-0.838963791282432,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
3,0.6699744336052086,0.48481551980614923,0.3412247228467389,1.0,1.0,16,16,28787.0,1799.1875,1213.0,4881.25,1574.125,1094.0,4558.75,6604.0,0.3690615679444889,0.9153839353376472,0.4848155194999309,0.3892292749028025,0.9482561850784378,0.5519148856322594,0.0,0.9814814814814815,0.4572751322751322,0.5858185024851692,0.34686045199045334,0.5,0,-1.3151844801938508,157,63,94,63,43,63,33,2,"{""camera"": 142, ""phone"": 121}",2e-05,0.0001
4,0.6676619506154223,0.4990774700282057,0.3539455037402351,1.0,0.9375,16,15,16602.0,1037.625,1014.5,2469.75,743.75,672.5,1661.75,2090.0,0.3616312344068837,0.9552465915033568,0.4990774698016477,0.4465680111299519,0.9458318019743247,0.6066910131644795,0.0,1.0,0.43669165196942966,0.5721340388007055,0.33358570517707764,0.5,0,-1.1759225299717944,157,63,94,63,43,63,33,2,"{""camera"": 144, ""phone"": 119}",2e-05,0.0001
5,0.6660733268288151,0.49097738335556085,0.34157379646245545,1.0,0.75,16,12,10785.0,674.0625,460.5,2060.5,525.9375,386.5,1289.0,1835.0,0.3463298497477227,0.9668341872515528,0.49097738312539246,0.43036711196740907,0.9563417606437511,0.5936041078428822,0.0,1.0,0.45046296296296295,0.587007642563198,0.29468729100834606,0.5,0,-0.8090226166444392,157,63,94,63,43,63,39,2,"{""camera"": 148, ""phone"": 115}",2e-05,0.0001
6,0.6646782062352837,0.5750965253423237,0.4226257210928197,1.0,0.625,16,10,3702.0,231.375,43.5,822.75,157.1875,43.0,638.25,717.0,0.43072885335757854,0.9583039784981755,0.5750965250899304,0.5398232366885015,0.9463605238214984,0.6874888753571596,0.0,1.0,0.5365740740740741,0.664917695473251,0.4373496575383875,0.5,0,-0.47490347465767635,157,63,94,63,43,63,39,2,"{""camera"": 148, ""phone"": 115}",2e-05,0.0001
7,0.661653196811676,0.5936641597794915,0.4392575121687034,1.0,0.5625,16,9,3046.0,190.375,83.5,771.5,137.3125,70.5,412.75,766.0,0.44939853528509494,0.9524073412296536,0.5936641595167261,0.5488148814881488,0.9435492710731119,0.6939779148319664,0.0,1.0,0.571384479717813,0.6914021164021162,0.463382117869494,0.5,0,-0.33133584022050855,157,63,117,40,43,40,20,2,"{""camera"": 128, ""phone"": 112}",1e-05,5e-05
8,0.6610339283943176,0.6317391873453936,0.4790663489866482,1.0,0.5625,16,9,2285.0,142.8125,32.0,508.0,108.9375,32.0,367.5,627.0,0.4948560612138461,0.9417044090309218,0.6317391870761504,0.5904054246097001,0.9375656872416839,0.7245475564059635,0.0,1.0,0.6455246913580247,0.7475896531452086,0.5242853788722359,0.5,0,-0.29326081265460646,157,63,117,40,43,40,20,2,"{""camera"": 128, ""phone"": 112}",1e-05,5e-05
9,0.6599270331448522,0.6395215867785274,0.48814209464909486,1.0,0.5625,16,9,1942.0,121.375,17.5,404.5,85.8125,15.5,270.0,345.0,0.5048596871576242,0.9416637301522988,0.6395215865117819,0.5987254071044771,0.938320083048017,0.731007738309025,0.0,1.0,0.6699074074074075,0.7648736037624926,0.5385377453262641,0.5,0,-0.2854784132214726,157,63,125,32,43,32,16,2,"{""camera"": 128, ""phone"": 104}",1e-05,5e-05
10,0.6595040888621889,0.6576461161611418,0.5066611768098463,1.0,0.4375,16,7,1369.0,85.5625,0.0,359.25,69.0,0.0,258.5,359.0,0.5261748032260117,0.9386528889048614,0.6576461158870599,0.6112873608619103,0.9380041395051937,0.7401965024397442,0.0,1.0,0.6935185185185185,0.7857142857142856,0.5680775022338712,0.5,0,-0.017353883838858275,157,63,125,32,43,32,16,2,"{""camera"": 128, ""phone"": 104}",1e-05,5e-05
