epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6358176877002905,0.6509182514055115,0.5001227471778595,1.0,0.4666666666666667,15,7,826.0,55.06666666666667,0.0,271.9,55.06666666666667,0.0,271.9,281.0,0.5050578738180149,0.9818631041130261,0.6509182512397802,0.5205302982042624,0.990139890582855,0.6823432623937995,0.0,0.9937106918238994,0.5799865229110512,0.6899234936970785,0.4794396795253487,0.5,0,-0.08241508192782188,158,0,158,0,44,0,0,2,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
2,0.6337545142315402,0.6999861438910658,0.5587821240188814,1.0,0.4,15,6,1563.0,104.2,0.0,463.5999999999987,104.06666666666666,0.0,463.5999999999987,1319.0,0.6031472599892547,0.9221285441636964,0.6999861436965429,0.5943247532951487,0.9663041868439123,0.7359834009010549,0.0,0.9937106918238994,0.6856019766397125,0.7722712298183996,0.5722214581365257,0.5,0,0.09998614389106575,158,0,158,0,44,0,0,2,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
3,0.6332888964119308,0.6532267817154742,0.5024645146224845,1.0,0.4,15,6,433.0,28.866666666666667,0.0,126.69999999999986,28.666666666666668,0.0,126.69999999999986,217.0,0.5100524858787755,0.9758518330985352,0.6532267815456748,0.5388518161805174,0.9842920423486539,0.6964378994165046,0.0,0.9937106918238994,0.6375935908954777,0.7335606741267119,0.45890344643297754,0.5,0,0.053226781715474125,158,63,142,16,44,16,8,2,"{""camera"": 122, ""phone"": 96}",2e-05,0.0001
4,0.6321373002244792,0.6929592939661249,0.550735246832864,1.0,0.2,15,3,211.0,14.066666666666666,0.0,81.19999999999995,13.666666666666666,0.0,81.19999999999995,119.0,0.5616043105370658,0.971475008940539,0.6929592937941464,0.6450468611315873,0.9621842139513592,0.772326912616043,0.0,0.9937106918238994,0.7144654088050313,0.7963611859838274,0.5640102311873694,0.5,0,0.49295929396612487,158,63,142,16,44,16,8,2,"{""camera"": 122, ""phone"": 96}",2e-05,0.0001
5,0.6317439462457385,0.6898866804876761,0.5453096902279324,1.0,0.3333333333333333,15,5,936.0,62.4,0.0,274.09999999999997,58.53333333333333,0.0,233.49999999999991,293.0,0.5643382547704425,0.9570504939453265,0.6898866803101934,0.5517232684738566,0.9820345844347603,0.7065148252068878,0.0,0.9937106918238994,0.588614582482507,0.6847771725130216,0.5593646157896167,0.5,0,0.22322001382100948,158,63,136,22,44,22,11,2,"{""camera"": 128, ""phone"": 96}",2e-05,0.0001
6,0.6304200078759875,0.6996611061999294,0.5560883415594202,1.0,0.6666666666666666,15,10,2442.0,162.8,74.0,541.6999999999999,134.0,74.0,508.59999999999997,524.0,0.567729053099669,0.9656629438011358,0.6996611060324093,0.6197091164224425,0.9672287123513915,0.7554176853580098,0.0,0.9937106918238994,0.5247529200359389,0.6504574042309891,0.58707879587932,0.5,0,-0.4336722271334039,158,63,136,22,44,22,11,2,"{""camera"": 128, ""phone"": 96}",2e-05,0.0001
7,0.6324708626820491,0.6472561629711281,0.49695573613643074,1.0,0.7333333333333333,15,11,5091.0,339.4,213.0,1163.3999999999999,268.6,213.0,807.7999999999995,1113.0,0.503448776637486,0.9785256239572863,0.6472561628003005,0.5749970347526984,0.9790590484568054,0.7244990136363938,0.0,0.9937106918238994,0.5264150943396226,0.652650494159928,0.4823318109325485,0.5,0,-0.6194105036955385,158,63,100,58,44,58,29,2,"{""camera"": 144, ""phone"": 116}",2e-05,0.0001
8,0.6313381433486939,0.735613551705301,0.6045211867276785,1.0,0.26666666666666666,15,4,1187.0,79.13333333333334,0.0,385.69999999999936,79.06666666666666,0.0,385.69999999999936,826.0,0.6375698086832826,0.9197962531920172,0.735613551506552,0.6483077735844474,0.9583021044175265,0.7733983367621917,0.0,0.9842767295597484,0.7735849056603774,0.8348607367475291,0.6433281285055753,0.5,0,0.40228021837196765,158,63,100,58,44,58,29,2,"{""camera"": 144, ""phone"": 116}",2e-05,0.0001
9,0.6287136077880859,0.7151263758905029,0.5725521415217786,1.0,0.3333333333333333,15,5,480.0,32.0,0.0,139.39999999999972,30.4,0.0,139.39999999999972,327.0,0.5890553296274124,0.9603455119883909,0.7151263757161413,0.6402456441016853,0.9657431883563642,0.7700089280442574,0.0,0.9874213836477986,0.740880503144654,0.8106469002695417,0.5931226554191881,0.5,0,0.24845970922383626,158,63,134,24,44,24,12,2,"{""camera"": 126, ""phone"": 100}",2e-05,0.0001
10,0.6266476559427987,0.6755425817993999,0.5301590268946779,1.0,0.7333333333333333,15,11,3927.0,261.8,119.0,842.1999999999998,231.46666666666667,64.0,812.7999999999998,929.0,0.538500037570817,0.9710569073514366,0.6755425816284969,0.6134830822530492,0.9695624660595915,0.7514757497017194,0.0,0.9874213836477986,0.5921383647798742,0.6952380952380951,0.5261739268069074,0.5,0,-0.5911240848672668,158,63,134,24,44,24,12,2,"{""camera"": 126, ""phone"": 100}",1e-05,5e-05
11,0.6295951791529385,0.6973944579467779,0.5565095081484435,1.0,0.6,15,9,5075.0,338.3333333333333,92.0,1216.9999999999995,290.26666666666665,91.0,1216.9999999999995,1448.0,0.5683562508332423,0.9626256482291933,0.6973944577772468,0.6456338639783601,0.9608692334965465,0.7723230873011006,0.0,0.9874213836477986,0.6341194968553461,0.7276879305181192,0.5837025593698091,0.5,0,-0.3026055420532221,158,63,95,63,44,63,33,2,"{""camera"": 144, ""phone"": 121}",1e-05,5e-05
12,0.6288694064572172,0.6856972199779207,0.5399291097654739,1.0,0.5333333333333333,15,8,6051.0,403.4,18.0,1816.9999999999998,342.0,18.0,1627.1,1751.0,0.5492883181043959,0.9695631495720344,0.6856972198117383,0.6052644819374099,0.9718154359855846,0.7459423707268509,0.0,0.9874213836477986,0.6080862533692722,0.7095387840670859,0.5423755242356816,0.5,0,-0.18096944668874604,158,63,95,63,44,63,33,2,"{""camera"": 144, ""phone"": 121}",1e-05,5e-05
13,0.6278491817987882,0.7103960368202638,0.568654174453642,1.0,0.6,15,9,5017.0,334.46666666666664,18.0,1525.9999999999995,286.53333333333336,18.0,1357.8,1418.0,0.5828951015690687,0.9633774937200348,0.7103960366564014,0.6299929430436272,0.96557713280405,0.7624945953034072,0.0,0.9874213836477986,0.6254716981132076,0.7277328541479483,0.5928894508644537,0.5,0,-0.28960396317973625,158,63,100,58,44,58,29,2,"{""camera"": 142, ""phone"": 118}",1e-05,5e-05
14,0.6268590899614187,0.7372496494484777,0.6018590266728434,1.0,0.4,15,6,3761.0,250.73333333333332,0.0,1185.1999999999998,207.8,0.0,955.7999999999997,1121.0,0.6212285465151415,0.9527856084761978,0.7372496492826005,0.668480957794961,0.9552368086815638,0.7865376975878348,0.0,0.9874213836477986,0.69937106918239,0.7833333333333333,0.6463109264573653,0.5,0,0.13724964944847762,158,63,100,58,44,58,29,2,"{""camera"": 142, ""phone"": 118}",1e-05,5e-05
15,0.6260583429336548,0.7133382862572273,0.5712941066987911,1.0,0.4,15,6,4735.0,315.6666666666667,0.0,1491.9999999999993,259.53333333333336,0.0,1172.6,1286.0,0.584131292784675,0.96584816128805,0.7133382860913217,0.6288630655096653,0.9685840846973076,0.7626001982321648,0.0,0.9874213836477986,0.6708445642407908,0.7584660622396471,0.5868521519579631,0.5,0,0.1133382862572272,158,63,110,48,44,48,24,2,"{""camera"": 136, ""phone"": 114}",5e-06,2.5e-05
16,0.6272491989135742,0.7069814473306051,0.5617821858925227,1.0,0.4,15,6,5508.0,367.2,0.0,1783.1999999999994,314.8,0.0,1446.5999999999997,1623.0,0.576325189652132,0.9701730831536516,0.7069814471628505,0.6057528478409392,0.9749076596489495,0.7472231872890946,0.0,0.9874213836477986,0.7189128481581312,0.7932015573525008,0.5659306885635721,0.5,0,0.106981447330605,158,63,110,48,44,48,24,2,"{""camera"": 136, ""phone"": 114}",5e-06,2.5e-05
17,0.6252877135430613,0.7006949423794124,0.5564533737280729,1.0,0.4666666666666667,15,7,4870.0,324.6666666666667,0.0,1640.4999999999989,249.66666666666666,0.0,1260.1999999999998,1389.0,0.5680906865175601,0.9686895666354975,0.700694942207816,0.6214360365184795,0.968705260370618,0.7571507748865207,0.0,0.9874213836477986,0.6940251572327044,0.7725067385444743,0.572867656983548,0.5,0,-0.03263839095392096,158,63,112,46,44,46,23,2,"{""camera"": 140, ""phone"": 108}",5e-06,2.5e-05
