sample_id,image_name,image_path,mask_path,json_path,sample_type,is_labeled,source_split,video_id,video_name,frame_id
defect_000131,000131.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000131.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000131.png,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000131.json,defect,True,train,2,,254
defect_000147,000147.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000147.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000147.png,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000147.json,defect,True,train,2,,270
defect_000172,000172.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000172.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000172.png,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000172.json,defect,True,train,2,,349
defect_000400,000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.json,defect,True,train,4,,604
normal_000000,000000.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000000.jpg,,,normal,False,normal_pool,5,5.mp4,0
normal_000001,000001.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000001.jpg,,,normal,False,normal_pool,5,5.mp4,1
normal_000002,000002.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000002.jpg,,,normal,False,normal_pool,5,5.mp4,2
normal_000003,000003.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000003.jpg,,,normal,False,normal_pool,5,5.mp4,3
normal_000004,000004.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000004.jpg,,,normal,False,normal_pool,5,5.mp4,4
normal_000005,000005.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000005.jpg,,,normal,False,normal_pool,5,5.mp4,5
normal_000006,000006.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000006.jpg,,,normal,False,normal_pool,5,5.mp4,6
normal_000007,000007.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000007.jpg,,,normal,False,normal_pool,5,5.mp4,7
normal_000008,000008.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000008.jpg,,,normal,False,normal_pool,5,5.mp4,8
normal_000009,000009.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000009.jpg,,,normal,False,normal_pool,5,5.mp4,9
normal_000010,000010.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000010.jpg,,,normal,False,normal_pool,5,5.mp4,10
normal_000011,000011.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000011.jpg,,,normal,False,normal_pool,5,5.mp4,11
normal_000012,000012.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000012.jpg,,,normal,False,normal_pool,5,5.mp4,12
normal_000013,000013.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000013.jpg,,,normal,False,normal_pool,5,5.mp4,13
normal_000014,000014.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000014.jpg,,,normal,False,normal_pool,5,5.mp4,14
normal_000015,000015.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000015.jpg,,,normal,False,normal_pool,5,5.mp4,15
normal_000016,000016.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000016.jpg,,,normal,False,normal_pool,5,5.mp4,16
normal_000017,000017.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000017.jpg,,,normal,False,normal_pool,5,5.mp4,17
normal_000018,000018.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000018.jpg,,,normal,False,normal_pool,5,5.mp4,18
normal_000019,000019.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000019.jpg,,,normal,False,normal_pool,5,5.mp4,19
normal_000020,000020.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000020.jpg,,,normal,False,normal_pool,5,5.mp4,20
normal_000021,000021.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000021.jpg,,,normal,False,normal_pool,5,5.mp4,21
normal_000022,000022.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000022.jpg,,,normal,False,normal_pool,5,5.mp4,22
normal_000023,000023.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000023.jpg,,,normal,False,normal_pool,5,5.mp4,23
normal_000024,000024.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000024.jpg,,,normal,False,normal_pool,5,5.mp4,24
normal_000025,000025.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000025.jpg,,,normal,False,normal_pool,5,5.mp4,25
normal_000026,000026.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000026.jpg,,,normal,False,normal_pool,5,5.mp4,26
normal_000027,000027.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000027.jpg,,,normal,False,normal_pool,5,5.mp4,27
normal_000028,000028.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000028.jpg,,,normal,False,normal_pool,5,5.mp4,28
normal_000029,000029.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000029.jpg,,,normal,False,normal_pool,5,5.mp4,29
normal_000030,000030.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000030.jpg,,,normal,False,normal_pool,5,5.mp4,30
normal_000031,000031.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000031.jpg,,,normal,False,normal_pool,5,5.mp4,31
normal_000032,000032.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000032.jpg,,,normal,False,normal_pool,5,5.mp4,32
normal_000033,000033.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000033.jpg,,,normal,False,normal_pool,5,5.mp4,33
normal_000034,000034.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000034.jpg,,,normal,False,normal_pool,5,5.mp4,34
