sample_id,image_name,image_path,mask_path,json_path,sample_type,is_labeled,source_split,video_id,video_name,frame_id
normal_000000,000000.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000000.jpg,,,normal,False,normal_pool,5,5.mp4,0
normal_000001,000001.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000001.jpg,,,normal,False,normal_pool,5,5.mp4,1
normal_000002,000002.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000002.jpg,,,normal,False,normal_pool,5,5.mp4,2
normal_000003,000003.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000003.jpg,,,normal,False,normal_pool,5,5.mp4,3
normal_000004,000004.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000004.jpg,,,normal,False,normal_pool,5,5.mp4,4
normal_000005,000005.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000005.jpg,,,normal,False,normal_pool,5,5.mp4,5
normal_000006,000006.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000006.jpg,,,normal,False,normal_pool,5,5.mp4,6
normal_000007,000007.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000007.jpg,,,normal,False,normal_pool,5,5.mp4,7
normal_000008,000008.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000008.jpg,,,normal,False,normal_pool,5,5.mp4,8
normal_000009,000009.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000009.jpg,,,normal,False,normal_pool,5,5.mp4,9
normal_000010,000010.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000010.jpg,,,normal,False,normal_pool,5,5.mp4,10
normal_000011,000011.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000011.jpg,,,normal,False,normal_pool,5,5.mp4,11
normal_000012,000012.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000012.jpg,,,normal,False,normal_pool,5,5.mp4,12
normal_000013,000013.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000013.jpg,,,normal,False,normal_pool,5,5.mp4,13
normal_000014,000014.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000014.jpg,,,normal,False,normal_pool,5,5.mp4,14
normal_000015,000015.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000015.jpg,,,normal,False,normal_pool,5,5.mp4,15
normal_000016,000016.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000016.jpg,,,normal,False,normal_pool,5,5.mp4,16
normal_000017,000017.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000017.jpg,,,normal,False,normal_pool,5,5.mp4,17
normal_000018,000018.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000018.jpg,,,normal,False,normal_pool,5,5.mp4,18
normal_000019,000019.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000019.jpg,,,normal,False,normal_pool,5,5.mp4,19
normal_000020,000020.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000020.jpg,,,normal,False,normal_pool,5,5.mp4,20
normal_000021,000021.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000021.jpg,,,normal,False,normal_pool,5,5.mp4,21
normal_000022,000022.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000022.jpg,,,normal,False,normal_pool,5,5.mp4,22
normal_000023,000023.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000023.jpg,,,normal,False,normal_pool,5,5.mp4,23
normal_000024,000024.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000024.jpg,,,normal,False,normal_pool,5,5.mp4,24
normal_000025,000025.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000025.jpg,,,normal,False,normal_pool,5,5.mp4,25
normal_000026,000026.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000026.jpg,,,normal,False,normal_pool,5,5.mp4,26
normal_000027,000027.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000027.jpg,,,normal,False,normal_pool,5,5.mp4,27
normal_000028,000028.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000028.jpg,,,normal,False,normal_pool,5,5.mp4,28
normal_000029,000029.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000029.jpg,,,normal,False,normal_pool,5,5.mp4,29
normal_000030,000030.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000030.jpg,,,normal,False,normal_pool,5,5.mp4,30
normal_000031,000031.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000031.jpg,,,normal,False,normal_pool,5,5.mp4,31
normal_000032,000032.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000032.jpg,,,normal,False,normal_pool,5,5.mp4,32
normal_000033,000033.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000033.jpg,,,normal,False,normal_pool,5,5.mp4,33
normal_000034,000034.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000034.jpg,,,normal,False,normal_pool,5,5.mp4,34
normal_000035,000035.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000035.jpg,,,normal,False,normal_pool,5,5.mp4,35
normal_000036,000036.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000036.jpg,,,normal,False,normal_pool,5,5.mp4,36
normal_000037,000037.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000037.jpg,,,normal,False,normal_pool,5,5.mp4,37
normal_000038,000038.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000038.jpg,,,normal,False,normal_pool,5,5.mp4,38
normal_000039,000039.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000039.jpg,,,normal,False,normal_pool,5,5.mp4,39
normal_000040,000040.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000040.jpg,,,normal,False,normal_pool,5,5.mp4,40
normal_000041,000041.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000041.jpg,,,normal,False,normal_pool,5,5.mp4,41
normal_000042,000042.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000042.jpg,,,normal,False,normal_pool,5,5.mp4,42
normal_000043,000043.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000043.jpg,,,normal,False,normal_pool,5,5.mp4,43
normal_000044,000044.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000044.jpg,,,normal,False,normal_pool,5,5.mp4,44
normal_000045,000045.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000045.jpg,,,normal,False,normal_pool,5,5.mp4,45
normal_000046,000046.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000046.jpg,,,normal,False,normal_pool,5,5.mp4,46
normal_000047,000047.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000047.jpg,,,normal,False,normal_pool,5,5.mp4,47
normal_000048,000048.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000048.jpg,,,normal,False,normal_pool,5,5.mp4,48
normal_000049,000049.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000049.jpg,,,normal,False,normal_pool,5,5.mp4,49
normal_000050,000050.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000050.jpg,,,normal,False,normal_pool,5,5.mp4,50
normal_000051,000051.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000051.jpg,,,normal,False,normal_pool,5,5.mp4,51
normal_000052,000052.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000052.jpg,,,normal,False,normal_pool,5,5.mp4,52
normal_000053,000053.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000053.jpg,,,normal,False,normal_pool,5,5.mp4,53
normal_000054,000054.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000054.jpg,,,normal,False,normal_pool,5,5.mp4,54
normal_000055,000055.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000055.jpg,,,normal,False,normal_pool,5,5.mp4,55
normal_000056,000056.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000056.jpg,,,normal,False,normal_pool,5,5.mp4,56
normal_000057,000057.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000057.jpg,,,normal,False,normal_pool,5,5.mp4,57
normal_000058,000058.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000058.jpg,,,normal,False,normal_pool,5,5.mp4,58
normal_000059,000059.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000059.jpg,,,normal,False,normal_pool,5,5.mp4,59
normal_000060,000060.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000060.jpg,,,normal,False,normal_pool,5,5.mp4,60
normal_000061,000061.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000061.jpg,,,normal,False,normal_pool,5,5.mp4,61
normal_000062,000062.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000062.jpg,,,normal,False,normal_pool,5,5.mp4,62
normal_000063,000063.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000063.jpg,,,normal,False,normal_pool,5,5.mp4,63
normal_000064,000064.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000064.jpg,,,normal,False,normal_pool,5,5.mp4,64
normal_000065,000065.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000065.jpg,,,normal,False,normal_pool,5,5.mp4,65
normal_000066,000066.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000066.jpg,,,normal,False,normal_pool,5,5.mp4,66
normal_000067,000067.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000067.jpg,,,normal,False,normal_pool,5,5.mp4,67
normal_000068,000068.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000068.jpg,,,normal,False,normal_pool,5,5.mp4,68
normal_000069,000069.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000069.jpg,,,normal,False,normal_pool,5,5.mp4,69
normal_000070,000070.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000070.jpg,,,normal,False,normal_pool,5,5.mp4,70
normal_000071,000071.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000071.jpg,,,normal,False,normal_pool,5,5.mp4,71
normal_000072,000072.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000072.jpg,,,normal,False,normal_pool,5,5.mp4,72
normal_000073,000073.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000073.jpg,,,normal,False,normal_pool,5,5.mp4,73
normal_000074,000074.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000074.jpg,,,normal,False,normal_pool,5,5.mp4,74
normal_000075,000075.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000075.jpg,,,normal,False,normal_pool,5,5.mp4,75
normal_000076,000076.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000076.jpg,,,normal,False,normal_pool,5,5.mp4,76
normal_000077,000077.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000077.jpg,,,normal,False,normal_pool,5,5.mp4,77
normal_000078,000078.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000078.jpg,,,normal,False,normal_pool,5,5.mp4,78
normal_000079,000079.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000079.jpg,,,normal,False,normal_pool,5,5.mp4,79
normal_000080,000080.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000080.jpg,,,normal,False,normal_pool,5,5.mp4,80
normal_000081,000081.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000081.jpg,,,normal,False,normal_pool,5,5.mp4,81
normal_000082,000082.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000082.jpg,,,normal,False,normal_pool,5,5.mp4,82
normal_000083,000083.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000083.jpg,,,normal,False,normal_pool,5,5.mp4,83
normal_000084,000084.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000084.jpg,,,normal,False,normal_pool,5,5.mp4,84
normal_000085,000085.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000085.jpg,,,normal,False,normal_pool,5,5.mp4,85
normal_000086,000086.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000086.jpg,,,normal,False,normal_pool,5,5.mp4,86
normal_000087,000087.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000087.jpg,,,normal,False,normal_pool,5,5.mp4,87
normal_000088,000088.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000088.jpg,,,normal,False,normal_pool,5,5.mp4,88
normal_000089,000089.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000089.jpg,,,normal,False,normal_pool,5,5.mp4,89
normal_000090,000090.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000090.jpg,,,normal,False,normal_pool,5,5.mp4,90
normal_000091,000091.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000091.jpg,,,normal,False,normal_pool,5,5.mp4,91
normal_000092,000092.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000092.jpg,,,normal,False,normal_pool,5,5.mp4,92
normal_000093,000093.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000093.jpg,,,normal,False,normal_pool,5,5.mp4,93
normal_000094,000094.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\normal_crops_selected\000094.jpg,,,normal,False,normal_pool,5,5.mp4,94
