patch_id,base_sample_id,image_path,mask_path,patch_type,patch_family,video_id,video_name,frame_id,sample_type,source_split,crop_x,crop_y,crop_size,out_size,component_id,component_area_px,is_replay,replay_score,source_epoch
defect_000400_hard_negative_00,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,hard_negative,defect_negative,4,,604,defect,train,231,28,320,384,,,0,0.0,
defect_000400_hard_negative_01,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,hard_negative,defect_negative,4,,604,defect,train,126,32,320,384,,,0,0.0,
defect_000400_hard_negative_02,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,hard_negative,defect_negative,4,,604,defect,train,305,32,320,384,,,0,0.0,
defect_000400_near_miss_negative_00,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,near_miss_negative,defect_negative,4,,604,defect,train,65,0,384,384,0,1540,0,0.0,
defect_000400_near_miss_negative_01,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,near_miss_negative,defect_negative,4,,604,defect,train,187,0,384,384,0,1540,0,0.0,
defect_000400_positive_boundary_00,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,positive_boundary,positive,4,,604,defect,train,160,317,320,384,0,1540,0,0.0,
defect_000400_positive_boundary_01,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,positive_boundary,positive,4,,604,defect,train,42,161,384,384,0,1540,0,0.0,
defect_000400_positive_center_00,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,positive_center,positive,4,,604,defect,train,169,244,320,384,0,1540,0,0.0,
defect_000400_positive_context_00,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,positive_context,positive,4,,604,defect,train,22,78,448,384,0,1540,0,0.0,
defect_000400_positive_shift_00,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,positive_shift,positive,4,,604,defect,train,181,191,448,384,0,1540,0,0.0,
defect_000400_positive_shift_01,defect_000400,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000400.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000400.png,positive_shift,positive,4,,604,defect,train,156,38,448,384,0,1540,0,0.0,
defect_000483_near_miss_negative_00,defect_000483,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000483.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000483.png,near_miss_negative,defect_negative,6,,297,defect,train,112,0,320,384,0,285,0,0.0,
defect_000483_near_miss_negative_01,defect_000483,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000483.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000483.png,near_miss_negative,defect_negative,6,,297,defect,train,286,111,320,384,0,285,0,0.0,
defect_000483_positive_boundary_00,defect_000483,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000483.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000483.png,positive_boundary,positive,6,,297,defect,train,171,149,384,384,0,285,0,0.0,
defect_000483_positive_boundary_01,defect_000483,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000483.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000483.png,positive_boundary,positive,6,,297,defect,train,122,52,384,384,0,285,0,0.0,
defect_000483_positive_center_00,defect_000483,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000483.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000483.png,positive_center,positive,6,,297,defect,train,37,101,448,384,0,285,0,0.0,
defect_000483_positive_context_00,defect_000483,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000483.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000483.png,positive_context,positive,6,,297,defect,train,176,54,448,384,0,285,0,0.0,
defect_000483_positive_shift_00,defect_000483,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000483.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000483.png,positive_shift,positive,6,,297,defect,train,7,86,384,384,0,285,0,0.0,
defect_000483_positive_shift_01,defect_000483,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000483.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000483.png,positive_shift,positive,6,,297,defect,train,32,241,384,384,0,285,0,0.0,
defect_000500_hard_negative_00,defect_000500,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000500.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000500.png,hard_negative,defect_negative,6,,314,defect,train,316,111,320,384,,,0,0.0,
defect_000500_near_miss_negative_00,defect_000500,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000500.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000500.png,near_miss_negative,defect_negative,6,,314,defect,train,131,320,320,384,0,1157,0,0.0,
defect_000500_positive_boundary_00,defect_000500,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000500.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000500.png,positive_boundary,positive,6,,314,defect,train,26,0,384,384,0,1157,0,0.0,
defect_000500_positive_boundary_01,defect_000500,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\images\000500.jpg,C:\Users\18046\Desktop\master\masterthesis\UNET_two_stage\dataset_new\train\masks\000500.png,positive_boundary,positive,6,,314,defect,train,27,189,448,384,0,1157,0,0.0,
