threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,stage2_score
0.1,0,0.017187412653292846,0.008809726951630615,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828125873467071
0.1,8,0.017187412653292846,0.008809726951630615,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828125873467071
0.1,16,0.017187412653292846,0.008809726951630615,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828125873467071
0.1,24,0.017187412653292846,0.008809726951630615,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828125873467071
0.1,32,0.017187412653292846,0.008809726951630615,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828125873467071
0.1,48,0.017187412653292846,0.008809726951630615,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828125873467071
0.12,0,0.01718766100468243,0.008809860173837612,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123389953177
0.12,8,0.01718766100468243,0.008809860173837612,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123389953177
0.12,16,0.01718766100468243,0.008809860173837612,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123389953177
0.12,24,0.01718766100468243,0.008809860173837612,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123389953177
0.12,32,0.01718766100468243,0.008809860173837612,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123389953177
0.12,48,0.01718766100468243,0.008809860173837612,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828123389953177
0.14,0,0.017209980399616052,0.008821886524663576,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782790019600384
0.14,8,0.017209998153197483,0.00882189604398228,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7827900018468026
0.14,16,0.01721000976747404,0.008821902332210387,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782789990232526
0.14,24,0.01721000976747404,0.008821902332210387,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782789990232526
0.14,32,0.01721003746600089,0.0088219173288747,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7827899625339991
0.14,48,0.01721003746600089,0.0088219173288747,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7827899625339991
0.16,0,0.020867179114554112,0.010960539208806734,1.0,1.0,59,59,24149656.0,409316.2033898305,409600.0,409600.0,409316.1525423729,409600.0,409600.0,409600.0,-1.779132820885446
0.16,8,0.020870314586079377,0.010962459600686189,1.0,1.0,59,59,24149653.0,409316.1525423729,409600.0,409600.0,409316.1525423729,409600.0,409600.0,409600.0,-1.7791296854139207
0.16,16,0.020874105947582343,0.010964831210557061,1.0,1.0,59,59,24149653.0,409316.1525423729,409600.0,409600.0,409316.1525423729,409600.0,409600.0,409600.0,-1.7791258940524177
0.16,24,0.020876645631954308,0.010966289834197465,1.0,1.0,59,59,24149653.0,409316.1525423729,409600.0,409600.0,409316.1525423729,409600.0,409600.0,409600.0,-1.7791233543680458
0.16,32,0.020879716264096515,0.010968197327202018,1.0,1.0,59,59,24149653.0,409316.1525423729,409600.0,409600.0,409316.1525423729,409600.0,409600.0,409600.0,-1.7791202837359035
0.16,48,0.020883082781757694,0.010970151907536805,1.0,1.0,59,59,24149653.0,409316.1525423729,409600.0,409600.0,409316.1525423729,409600.0,409600.0,409600.0,-1.7791169172182424
0.18,0,0.029934254699977188,0.017007659759916426,1.0,1.0,59,59,24002932.0,406829.3559322034,409600.0,409600.0,406822.6440677966,409600.0,409600.0,409600.0,-1.7700657453000228
0.18,8,0.02994059013976142,0.01701232418221467,1.0,1.0,59,59,24002915.0,406829.0677966102,409600.0,409600.0,406822.6440677966,409600.0,409600.0,409600.0,-1.7700594098602387
0.18,16,0.029947544817778952,0.017016751909739294,1.0,1.0,59,59,24002893.0,406828.69491525425,409600.0,409600.0,406822.6440677966,409600.0,409600.0,409600.0,-1.770052455182221
0.18,24,0.029954323492985026,0.017021521440353928,1.0,1.0,59,59,24002856.0,406828.0677966102,409600.0,409600.0,406822.6440677966,409600.0,409600.0,409600.0,-1.770045676507015
0.18,32,0.02996028129811302,0.017025481923432968,1.0,1.0,59,59,24002829.0,406827.6101694915,409600.0,409600.0,406822.6440677966,409600.0,409600.0,409600.0,-1.770039718701887
0.18,48,0.02996596702408536,0.01702879089383883,1.0,1.0,59,59,24002743.0,406826.1525423729,409600.0,409600.0,406822.6440677966,409600.0,409600.0,409600.0,-1.7700340329759148
