fold,image_name,sample_type,is_defect_image,pred_has_positive,dice,iou,threshold,min_area,fp_pixel_count,largest_fp_component_area
0,camera052.png,defect,True,True,0.6703910617594123,0.5042016813666643,0.74,8,0,0
0,camera059.png,defect,True,True,0.6659064996203498,0.49914529957338005,0.74,8,0,0
0,camera064.png,defect,True,True,0.7418413856206161,0.5896246921330786,0.74,8,0,0
0,camera065.png,defect,True,True,0.909771289300333,0.8344774636512294,0.74,8,0,0
0,camera076.png,defect,True,True,0.4933035719940808,0.32740740840384086,0.74,8,0,0
0,camera095.png,defect,True,True,0.563876652622795,0.3926380380518649,0.74,8,0,0
0,camera109.png,defect,True,True,0.7684464717241151,0.6239651416941252,0.74,8,0,0
0,camera119.png,defect,True,True,0.8853322038035419,0.7942565550298976,0.74,8,0,0
0,camera126.png,defect,True,True,0.6362378981518148,0.46653144124435814,0.74,8,0,0
0,camera135.png,defect,True,True,0.6520624563849772,0.48374827127117975,0.74,8,0,0
0,camera139.png,defect,True,True,0.8956521739542876,0.8110236221825171,0.74,8,0,0
0,camera146.png,defect,True,True,0.8766012099950451,0.7803116914507304,0.74,8,0,0
0,camera161.png,defect,True,True,0.8907168038244907,0.8029661019036376,0.74,8,0,0
0,camera164.png,defect,True,True,0.7929670330580365,0.656955571990564,0.74,8,0,0
0,camera166.png,defect,True,True,0.7566150179364445,0.6085122700887607,0.74,8,0,0
0,camera185.png,defect,True,True,0.8511234685179654,0.7408311034361065,0.74,8,0,0
0,camera188.png,defect,True,True,0.9358420728143608,0.8794202899249738,0.74,8,0,0
0,camera191.png,defect,True,True,0.8545454546656649,0.7460317463982226,0.74,8,0,0
0,camera193.png,defect,True,True,0.8090446824830635,0.679324127965239,0.74,8,0,0
0,camera214.png,defect,True,True,0.8396653618973317,0.7236406932499483,0.74,8,0,0
0,camera233.png,defect,True,True,0.6044776121247774,0.4331550805928107,0.74,8,0,0
0,camera258.png,defect,True,True,0.9103720406115073,0.8354888774777606,0.74,8,0,0
0,camera267.png,defect,True,True,0.8752549286411871,0.7781807193175639,0.74,8,0,0
0,camera274.png,defect,True,False,2.832861181776597e-09,2.832861181776597e-09,0.74,8,0,0
0,camera275.png,defect,True,True,0.9155762980318713,0.844297571496419,0.74,8,0,0
0,camera280.png,defect,True,True,0.7725883894488921,0.629445234971945,0.74,8,0,0
0,camera281.png,defect,True,True,0.9255246815681282,0.8613736078415986,0.74,8,0,0
0,camera283.png,defect,True,True,0.8735803945103422,0.7755372778222954,0.74,8,0,0
0,camera285.png,defect,True,True,0.9058171745369765,0.8278481013384608,0.74,8,0,0
0,camera288.png,defect,True,True,0.8256839249772362,0.7031189835567505,0.74,8,0,0
0,camera294.png,defect,True,True,0.13698917962632745,0.07353107036500157,0.74,8,0,0
0,camera296.png,defect,True,True,0.8631347477353449,0.7592234400917528,0.74,8,0,0
0,phone203.png,defect,True,True,0.8360277138152105,0.7182539688129882,0.74,8,0,0
0,phone231.png,defect,True,True,0.8697916667796947,0.7695852538101609,0.74,8,0,0
0,phone261.png,defect,True,True,0.2941176539792387,0.1724138026159333,0.74,8,0,0
0,phone305.png,defect,True,True,0.7810026391002569,0.6406926422480838,0.74,8,0,0
0,phone357.png,defect,True,True,0.7598944597364262,0.612765959094613,0.74,8,0,0
0,phone367.png,defect,True,True,0.7294117657670127,0.5740740767032464,0.74,8,0,0
0,phone444.png,defect,True,True,0.851098018250911,0.7407925409133835,0.74,8,0,0
0,phone480.png,defect,True,True,0.8311874107073052,0.7111383112470767,0.74,8,0,0
0,phone562.png,defect,True,False,8.849557443809227e-09,8.849557443809227e-09,0.74,8,0,0
0,phone584.png,defect,True,True,0.7860940696171396,0.647574124226702,0.74,8,0,0
0,phone618.png,defect,True,True,0.9020368575149981,0.8215547706332954,0.74,8,0,0
0,phone626.png,defect,True,True,0.870083432812773,0.7700421945779701,0.74,8,0,0
0,phone684.png,defect,True,True,0.5890410987051979,0.4174757338109152,0.74,8,0,0
0,phone696.png,defect,True,True,0.7693370167338833,0.6251402922276764,0.74,8,0,0
0,phone704.png,defect,True,True,0.8661417324005758,0.7638888892532579,0.74,8,0,0
0,phone714.png,defect,True,True,0.8626198087456236,0.7584269676492867,0.74,8,0,0
0,phone724.png,defect,True,True,0.8789954339280874,0.784114053392843,0.74,8,0,0
0,phone819.png,defect,True,True,0.44827586523979385,0.28888889415637853,0.74,8,0,0
0,phone861.png,defect,True,True,0.724946695291438,0.568561873390678,0.74,8,0,0
0,phone919.png,defect,True,True,0.7772325811803409,0.635634029477313,0.74,8,0,0
0,phone935.png,defect,True,True,0.8429237948344294,0.7284946240208405,0.74,8,0,0
0,phone959.png,defect,True,True,0.8890876566287229,0.800322061513169,0.74,8,0,0
0,camera002.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,camera019.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,camera068.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,camera072.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,camera073.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,camera092.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,camera114.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,camera118.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,phone044.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,phone082.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,phone090.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,phone146.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,phone199.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,phone211.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,phone259.png,normal,False,False,0.0,0.0,0.74,8,0,0
0,phone291.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,camera011.png,defect,True,True,0.8528584817336545,0.7434640523155268,0.74,8,0,0
1,camera029.png,defect,True,True,0.7861878453629315,0.6477014111753749,0.74,8,0,0
1,camera080.png,defect,True,True,0.8888397985380914,0.7999204771530879,0.74,8,0,0
1,camera084.png,defect,True,True,0.6963080588137538,0.534104750446375,0.74,8,0,0
1,camera087.png,defect,True,True,0.3846577758409693,0.2381277292922977,0.74,8,0,0
1,camera093.png,defect,True,True,0.8050089446135925,0.673652694806196,0.74,8,0,0
1,camera115.png,defect,True,True,0.7244318183122956,0.567928730833015,0.74,8,0,0
1,camera137.png,defect,True,True,0.82471736400499,0.7017183260953944,0.74,8,0,0
1,camera141.png,defect,True,True,0.7702073636181942,0.6262904338428833,0.74,8,0,0
1,camera144.png,defect,True,True,0.8668859269593857,0.7650473571886091,0.74,8,0,0
1,camera154.png,defect,True,True,0.9247570082964403,0.860044674029035,0.74,8,0,0
1,camera178.png,defect,True,True,0.042440320842333366,0.02168021945344114,0.74,8,0,0
1,camera202.png,defect,True,True,0.9259243054068728,0.8620661561135681,0.74,8,0,0
1,camera203.png,defect,True,True,0.8711861501597881,0.7717713157868217,0.74,8,0,0
1,camera206.png,defect,True,True,0.919159016881879,0.8504109589143554,0.74,8,0,0
1,camera209.png,defect,True,True,0.9083328638284787,0.8320602807770375,0.74,8,0,0
1,camera211.png,defect,True,True,0.8936894628768013,0.8078106760259142,0.74,8,0,0
1,camera212.png,defect,True,True,0.8530416502478965,0.743742482401985,0.74,8,0,0
1,camera222.png,defect,True,True,0.699337748543485,0.5376782082101037,0.74,8,0,0
1,camera230.png,defect,True,True,0.7265306124043553,0.5705128209061238,0.74,8,0,0
1,camera236.png,defect,True,True,0.8426959584596325,0.7281543382102389,0.74,8,0,0
1,camera239.png,defect,True,True,0.8987398072796531,0.8161012386063271,0.74,8,0,0
1,camera246.png,defect,True,True,0.8731689889472725,0.7748890298747974,0.74,8,0,0
1,camera247.png,defect,True,True,0.8688524590226433,0.7681159420485241,0.74,8,0,0
1,camera248.png,defect,True,True,0.8503325943179975,0.7396335585924458,0.74,8,0,0
1,camera250.png,defect,True,True,0.9084203325329877,0.8322070844778089,0.74,8,0,0
1,camera254.png,defect,True,True,0.9069106193653782,0.8296765437876412,0.74,8,0,0
1,camera270.png,defect,True,True,0.7643387816450702,0.6185666187500883,0.74,8,0,0
1,camera276.png,defect,True,True,0.903645584163846,0.8242276139249035,0.74,8,0,0
1,camera290.png,defect,True,True,0.8215745747301102,0.6971799463524664,0.74,8,0,0
1,camera293.png,defect,True,True,0.8809292751101035,0.787197140916214,0.74,8,0,0
1,camera299.png,defect,True,True,0.7965102570628364,0.6618338559318834,0.74,8,0,0
1,phone040.png,defect,True,True,0.9305970149512698,0.8702023727353787,0.74,8,0,0
1,phone048.png,defect,True,True,0.8025641028172255,0.6702355467446777,0.74,8,0,0
1,phone084.png,defect,True,True,0.7877094977996941,0.6497695868674213,0.74,8,0,0
1,phone193.png,defect,True,True,0.5836298947201783,0.41206030446200853,0.74,8,0,0
1,phone223.png,defect,True,True,0.6747109101685717,0.5091047044695715,0.74,8,0,0
1,phone243.png,defect,True,True,0.82919254684908,0.7082228124450324,0.74,8,0,0
1,phone251.png,defect,True,True,0.27859684835861875,0.16184288295224872,0.74,8,0,0
1,phone337.png,defect,True,True,0.3783783799057042,0.23333333565656564,0.74,8,0,0
1,phone401.png,defect,True,True,0.8616740089324457,0.7569659446486595,0.74,8,0,0
1,phone430.png,defect,True,True,0.8367729832675674,0.7193548391623309,0.74,8,0,0
1,phone534.png,defect,True,True,0.731560461750346,0.576740506663971,0.74,8,0,0
1,phone546.png,defect,True,True,0.9052234787546517,0.8268568618657861,0.74,8,0,0
1,phone564.png,defect,True,True,0.8785890074329004,0.7834674471225549,0.74,8,0,0
1,phone636.png,defect,True,True,0.8645161294693028,0.7613636377195248,0.74,8,0,0
1,phone638.png,defect,True,True,0.9021276595976057,0.8217054264333742,0.74,8,0,0
1,phone646.png,defect,True,True,0.8367729834206886,0.7193548396149844,0.74,8,0,0
1,phone732.png,defect,True,True,0.8361858194714283,0.7184873961408093,0.74,8,0,0
1,phone762.png,defect,True,True,0.8972111554603895,0.8135838152982893,0.74,8,0,0
1,phone770.png,defect,True,True,0.8959537573256706,0.8115183249362682,0.74,8,0,0
1,phone800.png,defect,True,True,0.8311111114864197,0.7110266170683398,0.74,8,0,0
1,phone849.png,defect,True,True,0.8941176471129834,0.8085106384750133,0.74,8,0,0
1,camera015.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,camera026.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,camera050.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,camera085.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,camera086.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,camera089.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,camera098.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,camera103.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,phone022.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,phone034.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,phone070.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,phone138.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,phone171.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,phone180.png,normal,False,False,0.0,0.0,0.74,8,0,0
1,phone301.png,normal,False,False,0.0,0.0,0.74,8,0,0
2,camera004.png,defect,True,True,0.8743136322420203,0.7766938085898991,0.74,8,0,0
2,camera044.png,defect,True,True,0.7737578389899866,0.6309992135082618,0.74,8,0,0
2,camera047.png,defect,True,True,0.8309056365858736,0.7107258941378918,0.74,8,0,0
2,camera049.png,defect,True,True,0.6363434658006781,0.4666449725132949,0.74,8,0,0
2,camera056.png,defect,True,True,0.8167018390249697,0.6901910828420139,0.74,8,0,0
2,camera081.png,defect,True,True,0.6986688181933568,0.5368877870199084,0.74,8,0,0
2,camera110.png,defect,True,True,0.7513282363935042,0.6017019510996882,0.74,8,0,0
2,camera111.png,defect,True,True,0.8242498470151562,0.7010416669780816,0.74,8,0,0
2,camera130.png,defect,True,True,0.8175929083472236,0.6914648214005393,0.74,8,0,0
2,camera136.png,defect,True,True,0.8274734261427036,0.7057182709822618,0.74,8,0,0
2,camera147.png,defect,True,True,0.5802316984027035,0.40868055576087486,0.74,8,0,0
2,camera155.png,defect,True,True,0.8235006519048647,0.6999584430392078,0.74,8,0,0
2,camera163.png,defect,True,True,0.8876037837214423,0.7979205347346513,0.74,8,0,0
2,camera171.png,defect,True,True,0.7980722892539411,0.663993584872499,0.74,8,0,0
2,camera174.png,defect,True,True,0.750209321867092,0.6002679769538777,0.74,8,0,0
2,camera177.png,defect,True,True,0.89981418396176,0.8178747361141537,0.74,8,0,0
2,camera180.png,defect,True,True,0.608695652406971,0.43750000048159243,0.74,8,0,0
2,camera189.png,defect,True,True,0.8945116733938593,0.8091552410578539,0.74,8,0,0
2,camera196.png,defect,True,True,0.9071141430165942,0.830017276941982,0.74,8,0,0
2,camera198.png,defect,True,True,0.8836449828873508,0.7915447768433005,0.74,8,0,0
2,camera234.png,defect,True,True,0.8930247612968907,0.806725146227087,0.74,8,0,0
2,camera252.png,defect,True,True,0.8253528923815796,0.702639019932781,0.74,8,0,0
2,camera253.png,defect,True,True,0.7252747254256733,0.5689655176129607,0.74,8,0,0
2,camera261.png,defect,True,True,0.6112385323330054,0.44013212267536567,0.74,8,0,0
2,camera262.png,defect,True,True,0.8494404052079536,0.7382845782819818,0.74,8,0,0
2,camera278.png,defect,True,True,0.7182203392815463,0.560330579239123,0.74,8,0,0
2,camera279.png,defect,True,True,0.7172208705437658,0.5591148578379104,0.74,8,0,0
2,camera284.png,defect,True,True,0.8824575768731836,0.7896412329565619,0.74,8,0,0
2,camera286.png,defect,True,True,0.7059509919177506,0.5455365195917329,0.74,8,0,0
2,camera287.png,defect,True,True,0.7913238595427645,0.6547029707243776,0.74,8,0,0
2,camera289.png,defect,True,True,0.7478632479171231,0.5972696247108296,0.74,8,0,0
2,phone006.png,defect,True,True,0.8843930639179391,0.7927461150634916,0.74,8,0,0
2,phone026.png,defect,True,True,0.755319150237664,0.6068376101979691,0.74,8,0,0
2,phone060.png,defect,True,True,0.686274510243313,0.5223880607198549,0.74,8,0,0
2,phone072.png,defect,True,True,0.8852755195254963,0.7941653163789866,0.74,8,0,0
2,phone116.png,defect,True,True,0.8304568529640032,0.7100694449477961,0.74,8,0,0
2,phone150.png,defect,True,True,0.2837837886230825,0.16535433728067453,0.74,8,0,0
