epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6675454027512494,0.5175530185039171,0.3756175917754223,1.0,0.5714285714285714,14,8,6906.0,493.2857142857143,128.5,2274.2,343.42857142857144,99.5,1526.9999999999998,2060.0,0.5,0,-0.42530412435322573,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
2,0.663879699566785,0.5784889964259785,0.4315076359321563,1.0,0.5,14,7,1517.0,108.35714285714286,1.0,460.0999999999998,96.42857142857143,1.0,425.79999999999984,730.0,0.5,0,-0.22151100357402154,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
3,0.6665621413529375,0.5640703356411488,0.4175376884118235,1.0,0.6428571428571429,14,9,2739.0,195.64285714285714,27.5,883.15,168.57142857142858,20.0,688.2499999999999,854.0,0.5,0,-0.521643950073137,159,64,101,58,45,58,29,2,"{""camera"": 136, ""phone"": 126}",2e-05,0.0001
4,0.6645328152270717,0.5176447385363677,0.3754700476848193,1.0,0.7857142857142857,14,11,7997.0,571.2142857142857,184.0,2396.9999999999995,439.42857142857144,107.5,1677.2499999999995,2792.0,0.5,0,-0.8537838328922037,159,64,101,58,45,58,29,2,"{""camera"": 136, ""phone"": 126}",2e-05,0.0001
5,0.6635211252454501,0.5846259650053246,0.44180471945207184,1.0,0.5,14,7,5414.0,386.7142857142857,27.0,1458.8499999999995,329.0,27.0,1247.7999999999997,1942.0,0.5,0,-0.21537403499467545,159,64,95,64,45,64,40,2,"{""camera"": 150, ""phone"": 118}",2e-05,0.0001
6,0.6618589331854635,0.5456533485073515,0.39957071291962776,1.0,0.5,14,7,3235.0,231.07142857142858,36.0,800.0999999999999,195.85714285714286,36.0,796.1999999999999,882.0,0.5,0,-0.25434665149264857,159,64,95,64,45,64,40,2,"{""camera"": 151, ""phone"": 117}",2e-05,0.0001
7,0.660533266281014,0.5885843074139724,0.4443157670519352,1.0,0.35714285714285715,14,5,1611.0,115.07142857142857,0.0,518.7499999999999,107.5,0.0,518.7499999999999,795.0,0.5,0,0.07429859312825815,159,64,95,64,45,64,34,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
8,0.6610910332024987,0.46729715854924697,0.32862589180123725,1.0,0.7857142857142857,14,11,6841.0,488.64285714285717,102.5,1894.4499999999994,376.07142857142856,86.0,1447.4999999999995,2312.0,0.5,0,-0.9041314128793245,159,64,95,64,45,64,34,2,"{""camera"": 148, ""phone"": 120}",2e-05,0.0001
9,0.6596873278048501,0.44591680795151334,0.3166085923561787,1.0,0.9285714285714286,14,13,20067.0,1433.357142857143,1131.0,3619.0499999999984,1082.642857142857,763.0,2962.249999999998,5871.0,0.5,0,-1.2112260491913438,159,64,95,64,45,64,36,2,"{""camera"": 150, ""phone"": 118}",2e-05,0.0001
10,0.6583710054853069,0.5027800740928714,0.36332940020177357,1.0,0.9285714285714286,14,13,17005.0,1214.642857142857,581.0,3780.449999999998,951.7142857142857,547.0,3145.1499999999987,5712.0,0.5,0,-1.1543627830499859,159,64,95,64,45,64,36,2,"{""camera"": 153, ""phone"": 115}",2e-05,0.0001
