epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6740106098792132,0.7057655487070268,0.5597276530871071,1.0,0.0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.7057655487070268,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
2,0.6669640400830437,0.6401487724077527,0.4913277468491789,1.0,0.21428571428571427,14,3,139.0,9.928571428571429,0.0,52.49999999999997,9.928571428571429,0.0,52.49999999999997,111.0,0.5,0,0.41157734383632416,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
3,0.6654927905546416,0.6580610059161278,0.5093362715636243,1.0,0.5,14,7,325.0,23.214285714285715,3.5,94.49999999999996,22.142857142857142,3.5,91.89999999999996,166.0,0.5,0,-0.14193899408387223,159,64,145,14,45,14,7,2,"{""camera"": 130, ""phone"": 88}",2e-05,0.0001
4,0.6636235872539905,0.5980951616656422,0.44904312049519574,1.0,0.7142857142857143,14,10,2274.0,162.42857142857142,54.5,527.15,113.92857142857143,53.0,364.6499999999999,468.0,0.5,0,-0.6304762669057864,159,64,145,14,45,14,7,2,"{""camera"": 130, ""phone"": 88}",2e-05,0.0001
5,0.6662655854225159,0.6461921381877288,0.49915207634929654,1.0,0.7857142857142857,14,11,3359.0,239.92857142857142,122.0,770.6999999999998,217.85714285714286,113.0,745.3499999999998,1188.0,0.5,0,-0.7252364332408426,159,64,113,46,45,46,23,2,"{""camera"": 156, ""phone"": 94}",2e-05,0.0001
6,0.6640565896034241,0.6746487387953982,0.5327980087506978,1.0,0.5714285714285714,14,8,1906.0,136.14285714285714,51.5,517.1499999999999,135.78571428571428,51.5,517.1499999999999,653.0,0.5,0,-0.2682084040617446,159,64,113,46,45,46,23,2,"{""camera"": 156, ""phone"": 94}",2e-05,0.0001
7,0.6615142837548867,0.643185987490077,0.49802523360874285,1.0,0.5714285714285714,14,8,2384.0,170.28571428571428,106.5,547.4,170.0,106.5,544.8,563.0,0.5,0,-0.2996711553670658,159,64,129,30,45,30,15,2,"{""camera"": 124, ""phone"": 110}",1e-05,5e-05
8,0.660905903730637,0.6356777926281221,0.48728266209553694,1.0,0.42857142857142855,14,6,1479.0,105.64285714285714,0.0,436.79999999999995,101.57142857142857,0.0,416.84999999999997,450.0,0.5,0,-0.021465064514734955,159,64,129,30,45,30,15,2,"{""camera"": 124, ""phone"": 110}",1e-05,5e-05
9,0.6603951930999756,0.6695415345972664,0.5214640466986509,1.0,0.21428571428571427,14,3,345.0,24.642857142857142,0.0,123.74999999999997,24.642857142857142,0.0,123.74999999999997,192.0,0.5,0,0.44097010602583786,159,64,123,36,45,36,18,2,"{""camera"": 136, ""phone"": 104}",1e-05,5e-05
10,0.6597882866859436,0.6973692473762932,0.5507054980317703,1.0,0.0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.6973692473762932,159,64,123,36,45,36,18,2,"{""camera"": 136, ""phone"": 104}",1e-05,5e-05
