epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.7603743286693797,0.7290627772583641,0.5873168729510301,1.0,0.0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.7290627772583641,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
2,0.7472184265361113,0.7012733812547395,0.5536438901904617,1.0,0.14285714285714285,14,2,525.0,37.5,0.0,202.04999999999987,37.5,0.0,202.04999999999987,464.0,0.5,0,0.6155590955404537,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
3,0.7431631565093995,0.6181220973210517,0.4692687299975497,1.0,0.5,14,7,1896.0,135.42857142857142,34.5,404.5999999999999,127.42857142857143,28.0,389.6499999999999,532.0,0.5,0,-0.18187790267894832,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",2e-05,0.0001
4,0.7408791729382106,0.637905890516715,0.48693434338818037,1.0,0.35714285714285715,14,5,1273.0,90.92857142857143,0.0,496.54999999999995,90.5,0.0,496.54999999999995,635.0,0.5,0,0.12362017623100074,159,64,153,6,45,6,3,2,"{""camera"": 122, ""phone"": 88}",2e-05,0.0001
5,0.7398155409356822,0.6419675348789015,0.4915219957872577,1.0,0.6428571428571429,14,9,1710.0,122.14285714285714,35.0,551.6999999999999,115.35714285714286,35.0,551.6999999999999,657.0,0.5,0,-0.4437467508353844,159,64,133,26,45,26,13,2,"{""camera"": 136, ""phone"": 94}",2e-05,0.0001
6,0.7373424965402354,0.6433598428986099,0.4933336514646923,1.0,0.5,14,7,1939.0,138.5,11.5,685.8999999999999,138.5,11.5,685.8999999999999,916.0,0.5,0,-0.15664015710139012,159,64,133,26,45,26,13,2,"{""camera"": 136, ""phone"": 94}",2e-05,0.0001
7,0.7366863829045256,0.6436210887971612,0.493759476149298,1.0,0.42857142857142855,14,6,2069.0,147.78571428571428,0.0,741.0999999999999,147.78571428571428,0.0,741.0999999999999,927.0,0.5,0,-0.01352176834569585,159,64,121,38,45,38,19,2,"{""camera"": 138, ""phone"": 104}",1e-05,5e-05
8,0.7369914847957201,0.6084180915053021,0.4588747893538953,1.0,0.6428571428571429,14,9,2258.0,161.28571428571428,2.0,781.4499999999998,161.28571428571428,2.0,781.4499999999998,1007.0,0.5,0,-0.4772961942089837,159,64,121,38,45,38,19,2,"{""camera"": 138, ""phone"": 104}",1e-05,5e-05
9,0.7357754922303997,0.6699988690452984,0.5230044747898426,1.0,0.5714285714285714,14,8,1174.0,83.85714285714286,18.0,405.6,83.85714285714286,18.0,405.6,416.0,0.5,0,-0.27285827381184447,159,64,119,40,45,40,20,2,"{""camera"": 142, ""phone"": 102}",1e-05,5e-05
10,0.7355134780289697,0.6755354906278198,0.5288614644724066,1.0,0.5,14,7,1360.0,97.14285714285714,8.5,394.95,97.14285714285714,8.5,394.95,432.0,0.5,0,-0.12446450937218023,159,64,119,40,45,40,20,2,"{""camera"": 142, ""phone"": 102}",1e-05,5e-05
11,0.7328517530275428,0.6753857465666093,0.5275007398929974,1.0,0.5,14,7,1453.0,103.78571428571429,4.5,390.8499999999999,103.78571428571429,4.5,390.8499999999999,541.0,0.5,0,-0.12461425343339072,159,64,133,26,45,26,13,2,"{""camera"": 140, ""phone"": 90}",1e-05,5e-05
12,0.7324432056883107,0.6624875032653542,0.5135728726138116,1.0,0.5,14,7,1526.0,109.0,8.0,441.6499999999999,107.5,8.0,427.99999999999994,558.0,0.5,0,-0.13751249673464583,159,64,133,26,45,26,13,2,"{""camera"": 140, ""phone"": 90}",5e-06,2.5e-05
13,0.7323426711253631,0.658675097206377,0.5093142917481162,1.0,0.5,14,7,1520.0,108.57142857142857,12.5,480.4,108.14285714285714,9.5,480.4,574.0,0.5,0,-0.1413249027936231,159,64,129,30,45,30,15,2,"{""camera"": 140, ""phone"": 94}",5e-06,2.5e-05
14,0.7317887865580045,0.6657768615141346,0.516662923307306,1.0,0.5,14,7,1347.0,96.21428571428571,7.0,473.69999999999993,95.71428571428571,7.0,473.69999999999993,540.0,0.5,0,-0.13422313848586542,159,64,129,30,45,30,15,2,"{""camera"": 140, ""phone"": 94}",5e-06,2.5e-05
15,0.7314592159312704,0.6678140303008349,0.5184969129939085,1.0,0.42857142857142855,14,6,1170.0,83.57142857142857,0.0,429.2,79.42857142857143,0.0,394.09999999999997,489.0,0.5,0,0.010671173157977831,159,64,133,26,45,26,13,2,"{""camera"": 138, ""phone"": 92}",5e-06,2.5e-05
16,0.7306428707164266,0.6513035684554382,0.5002635828017417,1.0,0.5,14,7,1206.0,86.14285714285714,2.0,427.04999999999995,83.85714285714286,2.0,406.24999999999994,507.0,0.5,0,-0.1486964315445618,159,64,133,26,45,26,13,2,"{""camera"": 138, ""phone"": 92}",5e-06,2.5e-05
17,0.7307119494990298,0.6525275591230985,0.5013244854835718,1.0,0.42857142857142855,14,6,1090.0,77.85714285714286,0.0,375.49999999999994,77.57142857142857,0.0,375.49999999999994,499.0,0.5,0,-0.004615298019758574,159,64,135,24,45,24,12,2,"{""camera"": 138, ""phone"": 90}",2.5e-06,1.25e-05
