epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6684720586327946,0.473322463492394,0.3371494249261975,1.0,0.6428571428571429,14,9,14637.0,1045.5,239.5,5070.699999999999,637.7142857142857,191.0,3219.65,3388.0,0.3459629717443295,0.9526580701877339,0.4733224633101298,0.46618774192994655,0.9589519959040271,0.627379412308261,0.0,0.9935897435897435,0.4885468697968697,0.6135842789688943,0.2966602847469218,0.5,0,-0.6123918222218918,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
2,0.6654213491608115,0.5586215207892156,0.4118502501531332,1.0,0.6428571428571429,14,9,2002.0,143.0,28.5,600.15,120.85714285714286,26.0,512.2499999999999,691.0,0.44527169902840136,0.8879437339533841,0.5586215205196056,0.5282882064727811,0.9551340901467135,0.6802999746929755,0.0,0.9743589743589743,0.5446123321123321,0.6710803085803084,0.39457551265882873,0.5,0,-0.5270927649250703,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
3,0.6674592454014844,0.561829004840741,0.41641423436342817,1.0,0.8571428571428571,14,12,2821.0,201.5,91.5,763.05,186.14285714285714,87.5,729.3999999999999,875.0,0.4399439117264061,0.913082934388714,0.5618290045868758,0.5499217503647015,0.9600377818188238,0.6992845121227855,0.0,0.9743589743589743,0.5005952380952381,0.6313700188700189,0.3823768294708827,0.5,0,-0.9524567094449732,159,64,101,58,45,58,29,2,"{""camera"": 136, ""phone"": 126}",2e-05,0.0001
4,0.665140323966514,0.43698672657602455,0.3036432446327368,1.0,0.8571428571428571,14,12,11092.0,792.2857142857143,685.5,1929.6499999999999,497.85714285714283,425.5,1357.55,1561.0,0.3060700322021883,0.9634156903763684,0.4369867263831165,0.43636900790630606,0.9844149997351742,0.6046917680550378,0.0,0.9807692307692307,0.34442918192918187,0.48138666888666887,0.20300941225257205,0.5,0,-1.0772989877096897,159,64,101,58,45,58,29,2,"{""camera"": 136, ""phone"": 126}",2e-05,0.0001
5,0.6639349558460179,0.5248457486875842,0.38038767423240655,1.0,0.7142857142857143,14,10,6044.0,431.7142857142857,235.0,1248.1,332.64285714285717,212.5,968.9499999999999,1071.0,0.3894191574739059,0.9331813065480277,0.5248457484526029,0.5136335759308446,0.9721844600201268,0.6721503825937031,0.0,0.9743589743589743,0.468246336996337,0.6030941280941281,0.33216139027367597,0.5,0,-0.7037256798838445,159,64,95,64,45,64,41,2,"{""camera"": 145, ""phone"": 123}",2e-05,0.0001
6,0.6622753721564564,0.557995206731307,0.4109507465435016,1.0,0.5714285714285714,14,8,2581.0,184.35714285714286,65.0,808.4999999999999,172.57142857142858,58.5,808.4999999999999,958.0,0.4229342168197218,0.9338011891220214,0.5579952064894227,0.5520740626819989,0.9664951183771473,0.7027363563280546,0.0,0.9743589743589743,0.5684294871794872,0.6822302697302696,0.3807919983256448,0.5,0,-0.38486193612583586,159,64,95,64,45,64,41,2,"{""camera"": 150, ""phone"": 118}",2e-05,0.0001
7,0.6611729210882045,0.5555584635270288,0.40991359582541076,1.0,0.5714285714285714,14,8,1935.0,138.21428571428572,7.0,683.8499999999999,137.42857142857142,7.0,683.8499999999999,938.0,0.42191028852118273,0.9389649041418339,0.5555584632944002,0.5610099442328863,0.9604129517487332,0.7082859314450699,0.0,0.9743589743589743,0.5731379731379731,0.6874722499722498,0.361429437963769,0.5,0,-0.3872986793301141,159,64,95,64,45,64,32,2,"{""camera"": 148, ""phone"": 120}",2e-05,0.0001
8,0.6616294561926999,0.41381436879813027,0.28469881032438515,1.0,0.8571428571428571,14,12,8469.0,604.9285714285714,286.0,1911.7999999999995,436.57142857142856,228.0,1376.9999999999998,1897.0,0.2864260006333824,0.9759839233297994,0.4138143686158352,0.4050888288298086,0.9863835384262284,0.5743167622452113,0.0,1.0,0.44241452991452984,0.5730325230325231,0.17375340796114758,0.5,0,-1.100471345487584,159,64,95,64,45,64,32,2,"{""camera"": 148, ""phone"": 120}",2e-05,0.0001
9,0.6603750791122664,0.41681858657439724,0.29042930381640625,1.0,0.9285714285714286,14,13,22490.0,1606.4285714285713,1206.5,4826.15,1181.7142857142858,996.0,3703.599999999999,5443.0,0.29444975938922935,0.9470131866616777,0.416818586396724,0.4073796073896154,0.9701850249819036,0.5738149561694329,0.0,0.9743589743589743,0.37568958818958814,0.49929792429792424,0.23630115685792413,0.5,0,-1.24032427056846,159,64,95,64,45,64,39,2,"{""camera"": 151, ""phone"": 117}",2e-05,0.0001
10,0.6589284325713543,0.42548570096819915,0.2945084769631269,1.0,0.9285714285714286,14,13,28965.0,2068.9285714285716,1834.0,5356.499999999998,1406.2857142857142,903.5,4072.7999999999993,5976.0,0.3019946475611756,0.9218978337813414,0.42548570076193887,0.38044736059313367,0.9766070514291767,0.5475794806181503,0.0,0.9743589743589743,0.28158577533577533,0.4222374847374847,0.2342360351535538,0.5,0,-1.231657156174658,159,64,95,64,45,64,39,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
11,0.6575185665443762,0.4160383724479211,0.28762356287789786,1.0,1.0,14,14,27208.0,1943.4285714285713,1692.0,4411.749999999999,1390.9285714285713,1118.5,3717.649999999999,5225.0,0.29124212331148785,0.9630240888221931,0.41603837228514196,0.39336791463399484,0.9783725569816917,0.5611270942844088,0.0,1.0,0.31757033815857344,0.45298387509925975,0.20248887624445652,0.5,0,-1.383961627552079,159,64,95,64,45,64,45,2,"{""camera"": 148, ""phone"": 120}",2e-05,0.0001
12,0.655809258347127,0.47240025061917734,0.33391043433774575,1.0,0.8571428571428571,14,12,13949.0,996.3571428571429,904.0,2519.0499999999993,864.5714285714286,789.0,2305.5499999999993,3354.0,0.33868269193436207,0.9623092966936817,0.4724002504161868,0.44801967183942215,0.9778782154269875,0.6145021759088476,0.0,0.9935897435897435,0.456341575091575,0.5840548340548339,0.2628949367714691,0.5,0,-1.041885463666537,159,64,95,64,45,64,45,2,"{""camera"": 152, ""phone"": 116}",1e-05,5e-05
13,0.6552223091694847,0.5657403312840382,0.41892255718409677,1.0,0.7857142857142857,14,11,5649.0,403.5,339.5,956.4999999999999,355.35714285714283,339.5,872.5999999999999,961.0,0.4328558939462613,0.9392371420064278,0.5657403310367719,0.5610861254195262,0.9548251266750234,0.7068212338143952,0.0,0.9743589743589743,0.5587912087912088,0.679134754134754,0.3938825522382295,0.5,0,-0.8056882401445332,159,64,95,64,45,64,43,2,"{""camera"": 153, ""phone"": 115}",1e-05,5e-05
14,0.6544402321772789,0.5699211864044323,0.4217940596554548,1.0,0.7857142857142857,14,11,4003.0,285.92857142857144,205.5,762.05,256.07142857142856,188.0,701.65,779.0,0.43479063319845246,0.9394355181885911,0.5699211861496012,0.5450850616874784,0.9654711251566886,0.6967816124906627,0.0,0.9743589743589743,0.5646291208791209,0.6864052614052614,0.40572847216001706,0.5,0,-0.8015073850241391,159,64,95,64,45,64,43,2,"{""camera"": 150, ""phone"": 118}",1e-05,5e-05
15,0.6532248203571026,0.5865354322665286,0.4383998810825726,1.0,0.6428571428571429,14,9,1910.0,136.42857142857142,14.5,625.4,131.85714285714286,14.5,584.6999999999999,729.0,0.4540084882764676,0.9370640747204517,0.5865354320114907,0.5733644329039091,0.9580427605444819,0.7173894003467006,0.0,0.9743589743589743,0.6135302197802197,0.7277972027972027,0.42332284158379163,0.5,0,-0.49917885344775725,159,64,103,56,45,56,28,2,"{""camera"": 138, ""phone"": 122}",1e-05,5e-05
16,0.6528695069826567,0.5997262413941249,0.4517147319576271,1.0,0.35714285714285715,14,5,1487.0,106.21428571428571,0.0,469.39999999999986,104.5,0.0,464.4999999999999,679.0,0.46916522103479213,0.9350950985259314,0.5997262411339651,0.5926276433201391,0.9535627902049751,0.7309677473926394,0.0,0.9743589743589743,0.6306776556776555,0.7386655011655012,0.4447270987680084,0.5,0,0.08544052710841066,159,64,103,56,45,56,28,2,"{""camera"": 138, ""phone"": 122}",1e-05,5e-05
17,0.6511961207157229,0.6234252747500777,0.47436445745343037,1.0,0.35714285714285715,14,5,1065.0,76.07142857142857,0.0,413.9999999999999,76.07142857142857,0.0,413.9999999999999,596.0,0.49923770766690995,0.9231657419655962,0.6234252744776563,0.6081965816819034,0.945512084885507,0.7402381544755902,0.0,0.9743589743589743,0.6621108058608058,0.7610056610056609,0.48000744897053144,0.5,0,0.10913956046436346,159,64,117,42,45,42,21,2,"{""camera"": 134, ""phone"": 112}",1e-05,5e-05
18,0.6509283533910426,0.6407363907834533,0.49119629177707486,1.0,0.2857142857142857,14,4,700.0,50.0,0.0,231.9999999999999,50.0,0.0,231.9999999999999,453.0,0.5250138986489684,0.9110465510244149,0.6407363905019229,0.6151732022275663,0.940520117935771,0.7438262608844386,0.0,0.9743589743589743,0.7053571428571429,0.790521978021978,0.5089953048014475,0.5,0,0.26930781935488196,159,64,117,42,45,42,21,2,"{""camera"": 134, ""phone"": 112}",1e-05,5e-05
19,0.648530750661283,0.6509695954399422,0.5024872620409304,1.0,0.14285714285714285,14,2,394.0,28.142857142857142,0.0,149.8999999999999,21.571428571428573,0.0,117.69999999999992,262.0,0.5449261515611069,0.8979869761471441,0.6509695951533998,0.6431905961376995,0.9298079129958864,0.7603868692574659,0.0,0.9743589743589743,0.7368589743589743,0.814010989010989,0.536673602401391,0.5,0,0.5652553097256565,159,64,141,18,45,18,9,2,"{""camera"": 128, ""phone"": 94}",1e-05,5e-05
20,0.6482401441883396,0.6458568277717743,0.4977648718320592,1.0,0.14285714285714285,14,2,522.0,37.285714285714285,0.0,189.29999999999984,37.285714285714285,0.0,189.29999999999984,500.0,0.5318527793400573,0.911147561593787,0.6458568275035409,0.6403361395506817,0.931953002242192,0.7591010735060434,0.0,0.9743589743589743,0.721062271062271,0.804212454212454,0.5279458547823229,0.5,0,0.5601425420574886,159,64,141,18,45,18,9,2,"{""camera"": 128, ""phone"": 94}",1e-05,5e-05
21,0.6480007987273367,0.6277096449586494,0.47864079973075235,1.0,0.14285714285714285,14,2,556.0,39.714285714285715,0.0,206.89999999999984,39.714285714285715,0.0,206.89999999999984,515.0,0.5039550828630631,0.925451421219641,0.627709644695615,0.6123226375709949,0.9464698716477463,0.7435818747670195,0.0,0.9743589743589743,0.6917124542124541,0.7767454767454767,0.49351499994729764,0.5,0,0.5419953592443638,159,64,135,24,45,24,12,2,"{""camera"": 130, ""phone"": 98}",1e-05,5e-05
