epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6697754955291748,0.6602710540346051,0.5176680166966402,0.9814814814814815,0.4375,16,7,1026.0,64.125,0.0,291.5,62.875,0.0,286.5,765.0,0.6042178208909473,0.8764232499743038,0.6602710534762082,0.6029469523242408,0.9205563185484651,0.7286451395587402,0.0,0.9814814814814815,0.688447971781305,0.7582010582010582,0.5974439277618865,0.5,0,-0.01472894596539498,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
2,0.666575083732605,0.5791214930037236,0.42793535579818187,1.0,0.8125,16,13,5575.0,348.4375,168.5,1174.0,205.375,135.5,576.0,792.0,0.442613692227302,0.9497883545571317,0.5791214927558143,0.544998482088646,0.9260240761875286,0.686164482060911,0.0,1.0,0.5155643738977072,0.6375073486184597,0.4538493093551671,0.5,0,-0.8458785069962764,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
3,0.6699222736485557,0.4806550633808878,0.33894956816113175,1.0,1.0,16,16,29716.0,1857.25,1368.0,4944.5,1622.0,1116.5,4620.0,6438.0,0.3762338489997138,0.9043764904245127,0.48065506297262994,0.3884066702073408,0.9478048371601189,0.5510111517196139,0.0,0.9814814814814815,0.46702741702741696,0.5917842445620223,0.3532085236961026,0.5,0,-1.3193449366191121,157,63,94,63,43,63,33,2,"{""camera"": 143, ""phone"": 120}",2e-05,0.0001
4,0.6676447359781301,0.5053949747211663,0.3598512813414305,1.0,0.875,16,14,16060.0,1003.75,1020.0,2497.0,722.25,698.5,1645.0,1921.0,0.36819159008415386,0.9524809337377868,0.5053949744930516,0.45095808880267335,0.9458253541469201,0.6107283075270519,0.0,1.0,0.47335457752124416,0.5996031746031746,0.34084442138359955,0.5,0,-1.0446050252788337,157,63,94,63,43,63,33,2,"{""camera"": 144, ""phone"": 119}",2e-05,0.0001
5,0.66603343568374,0.4874439257593796,0.3389837392618585,1.0,0.8125,16,13,10229.0,639.3125,547.5,1893.25,487.9375,429.5,1278.25,1597.0,0.3435189115826236,0.9675413993424326,0.4874439255294557,0.4309868153569147,0.9568962738005429,0.5943003137570555,0.0,1.0,0.4412698412698412,0.5758818342151675,0.28849346877494864,0.5,0,-0.9375560742406204,157,63,94,63,43,63,39,2,"{""camera"": 146, ""phone"": 117}",2e-05,0.0001
6,0.6646626084023102,0.5652441552278328,0.41430802919281956,1.0,0.625,16,10,3890.0,243.125,96.0,781.75,159.125,90.5,530.25,552.0,0.42178342455311096,0.9605064992027129,0.56524415498218,0.5328141654521329,0.9475985066831731,0.6820988728687891,0.0,1.0,0.5483245149911815,0.6708553791887125,0.42374550751222034,0.5,0,-0.48475584477216727,157,63,94,63,43,63,39,2,"{""camera"": 147, ""phone"": 116}",2e-05,0.0001
7,0.6613909346716744,0.6108692958331422,0.45784573550332536,1.0,0.5,16,8,2391.0,149.4375,43.5,478.75,125.5,43.5,370.0,616.0,0.4700574642569793,0.9481679718888307,0.6108692955699516,0.5734747989740201,0.939932039899156,0.712336331229675,0.0,1.0,0.6168430335097002,0.7263668430335096,0.49453800080455723,0.5,0,-0.18913070416685784,157,63,119,38,43,38,19,2,"{""camera"": 128, ""phone"": 110}",1e-05,5e-05
8,0.6607508944864032,0.6215470212887626,0.46948518819710083,1.0,0.5625,16,9,3174.0,198.375,39.0,601.5,185.0,39.0,581.0,587.0,0.4842191602269486,0.9432417373279802,0.6215470210230427,0.5812748239844643,0.9379719003681709,0.7177497144464208,0.0,1.0,0.6419753086419754,0.7450176366843032,0.5105130065401273,0.5,0,-0.30345297871123744,157,63,119,38,43,38,19,2,"{""camera"": 128, ""phone"": 110}",1e-05,5e-05
9,0.660046684436309,0.6440557341751395,0.4942916716953704,1.0,0.5,16,8,2661.0,166.3125,44.0,468.5,141.0,44.0,380.25,441.0,0.5125545545349067,0.9358841824757669,0.6440557339093951,0.6083858533861263,0.9342579517831466,0.7369028668494154,0.0,1.0,0.6467813051146386,0.7481040564373898,0.5508660981065547,0.5,0,-0.15594426582486054,157,63,123,34,43,34,17,2,"{""camera"": 130, ""phone"": 104}",1e-05,5e-05
10,0.6592419269757394,0.6733574541487892,0.5261999938086666,1.0,0.5,16,8,1407.0,87.9375,10.0,290.5,81.5,7.0,247.75,334.0,0.5518958038146164,0.9260645391037308,0.673357453867271,0.6352662950785083,0.931827120851629,0.7554857377353411,0.0,1.0,0.6756172839506172,0.7728395061728394,0.606725504338067,0.5,0,-0.12664254585121082,157,63,123,34,43,34,17,2,"{""camera"": 130, ""phone"": 104}",1e-05,5e-05
11,0.6581720898025915,0.6618195652518623,0.5112811760520451,1.0,0.4375,16,7,1461.0,91.3125,0.0,331.5,81.6875,0.0,331.5,357.0,0.5358210051629219,0.93843816730426,0.6618195649835913,0.6167992934122583,0.9365791696487868,0.7437741462253161,0.0,1.0,0.6540123456790125,0.7579365079365078,0.5813054962598666,0.5,0,-0.013180434748137793,157,63,129,28,43,28,14,2,"{""camera"": 126, ""phone"": 102}",1e-05,5e-05
