epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6684669361394995,0.4741056989199899,0.33772262271110426,1.0,0.6428571428571429,14,9,14609.0,1043.5,232.5,5092.949999999999,626.4285714285714,154.5,3243.2999999999997,3424.0,0.3465582336359901,0.9528385919662163,0.4741056987368119,0.466622138511199,0.9589784784873149,0.6277783315780273,0.0,0.9935897435897435,0.49912379287379277,0.621276586661202,0.2972195127674096,0.5,0,-0.611608586794296,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
2,0.6654217944425695,0.5595714998065144,0.4127846619257805,1.0,0.6428571428571429,14,9,1928.0,137.71428571428572,24.5,595.4,117.07142857142857,24.5,508.0999999999999,694.0,0.44621114983390037,0.888088717413763,0.5595714995377358,0.5289469503476762,0.9552091241326954,0.6808649869673074,0.0,0.9743589743589743,0.5432615995115995,0.6694819069819069,0.39510703093523725,0.5,0,-0.5261427859077714,159,0,159,0,45,0,0,2,"{""camera"": 118, ""phone"": 86}",2e-05,0.0001
3,0.6674601435661316,0.5625695566037918,0.4170484877696413,1.0,0.7857142857142857,14,11,2787.0,199.07142857142858,92.0,782.2499999999999,182.71428571428572,84.5,741.2499999999999,855.0,0.4409307712244175,0.9124313857518214,0.5625695563479465,0.5502171140532005,0.9597155770554898,0.6994377143151245,0.0,0.9743589743589743,0.5100274725274725,0.6402833277833277,0.38273353034868796,0.5,0,-0.8088590148247796,159,64,101,58,45,58,29,2,"{""camera"": 136, ""phone"": 126}",2e-05,0.0001
4,0.6651264979639127,0.42663830608906533,0.2950599798935479,1.0,0.9285714285714286,14,13,13093.0,935.2142857142857,775.5,2343.7499999999995,571.8571428571429,463.0,1562.5999999999997,2171.0,0.29716022765835287,0.9649655761413738,0.4266383059013264,0.426142837783932,0.9854698893028019,0.5949945436448453,0.0,0.9807692307692307,0.33799811299811294,0.4674944713406251,0.1929397217125667,0.5,0,-1.230504551053792,159,64,101,58,45,58,29,2,"{""camera"": 136, ""phone"": 126}",2e-05,0.0001
5,0.6639365447101309,0.5168804614688581,0.37352451174361173,1.0,0.7857142857142857,14,11,7734.0,552.4285714285714,248.0,1646.2999999999995,413.85714285714283,231.0,1322.3499999999997,1843.0,0.3821450298417209,0.9339030902018285,0.5168804612357718,0.5058566935280208,0.972511078547342,0.6655329585854223,0.0,0.9743589743589743,0.4437423687423687,0.5784743034743036,0.32384104953392706,0.5,0,-0.8545481099597133,159,64,95,64,45,64,41,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
6,0.6623363637212497,0.5504982607580997,0.4036527794378255,1.0,0.5714285714285714,14,8,3502.0,250.14285714285714,96.0,876.05,206.07142857142858,96.0,798.6999999999999,956.0,0.41505928476340287,0.9353771073851715,0.5504982605170953,0.5401959722823734,0.9689403435673806,0.6936651984049242,0.0,0.9743589743589743,0.5408653846153846,0.6627483627483625,0.367582791946858,0.5,0,-0.3923588820990431,159,64,95,64,45,64,41,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
7,0.6611657151535376,0.5609299751582056,0.415099572317776,1.0,0.5714285714285714,14,8,2147.0,153.35714285714286,9.0,646.7999999999998,141.85714285714286,9.0,646.1499999999999,938.0,0.4286424793682142,0.9358439700741326,0.56092997492371,0.5638353336048204,0.9594463374587313,0.7102688308187455,0.0,0.9743589743589743,0.5866452991452992,0.697286047286047,0.3719178097946372,0.5,0,-0.3819271676989372,159,64,95,64,45,64,35,2,"{""camera"": 149, ""phone"": 119}",2e-05,0.0001
8,0.6615853878989149,0.4296057907762362,0.2975436777707486,1.0,0.7857142857142857,14,11,8451.0,603.6428571428571,211.0,2033.949999999999,468.5,175.5,1708.4499999999994,2896.0,0.2994813838867284,0.9697759746685928,0.42960579058295995,0.4154280051833219,0.986255539273671,0.5846086627779965,0.0,0.9807692307692307,0.45119810744810745,0.5794427794427794,0.18798535807490924,0.5,0,-0.9418227806523353,159,64,95,64,45,64,35,2,"{""camera"": 150, ""phone"": 118}",2e-05,0.0001
9,0.660044928095234,0.45981578988077043,0.3272141395698454,1.0,0.8571428571428571,14,12,17316.0,1236.857142857143,929.0,4065.249999999999,942.5,737.5,2847.449999999999,5322.0,0.33262037979838077,0.9400454124361382,0.45981578968115994,0.45828012543804925,0.9662347063081513,0.6216940007099752,0.0,0.9743589743589743,0.4461996336996336,0.5767565767565768,0.28007394442227407,0.5,0,-1.0544699244049438,159,64,95,64,45,64,37,2,"{""camera"": 148, ""phone"": 120}",2e-05,0.0001
10,0.6587605040464828,0.4557358354663427,0.3193654870594575,1.0,1.0,14,14,20467.0,1461.9285714285713,1053.5,3905.199999999999,1132.2857142857142,621.0,3320.799999999999,5575.0,0.33078373208943557,0.9287251200486843,0.4557358352580905,0.4045755226943727,0.9745105135855652,0.5717744796670698,0.0,0.9743589743589743,0.3629919916684622,0.5023932938406622,0.2570407874877413,0.5,0,-1.3442641645336573,159,64,95,64,45,64,37,2,"{""camera"": 148, ""phone"": 120}",2e-05,0.0001
