epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6697739934921265,0.6591738537292839,0.5167652062708125,0.9814814814814815,0.4375,16,7,948.0,59.25,0.0,284.75,58.0,0.0,279.75,753.0,0.6042575361300202,0.8754618297643861,0.659173853161668,0.6035877132874823,0.9200985228027416,0.7289691935562146,0.0,0.9814814814814815,0.680731922398589,0.7538800705467372,0.5967738818614022,0.5,0,-0.0158261462707161,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
2,0.6665995764732361,0.5866715350279218,0.4355623167036387,1.0,0.8125,16,13,5138.0,321.125,132.5,1123.0,190.875,116.0,567.5,764.0,0.4514750030701776,0.9477860789086138,0.586671534778623,0.552500577945596,0.9245926585037172,0.6916800721605476,0.0,1.0,0.5482363315696648,0.6617283950617283,0.46633621868587544,0.5,0,-0.8383284649720782,157,0,157,0,43,0,0,2,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
3,0.6699391503751051,0.4863446555748259,0.34262488452798484,1.0,1.0,16,16,28778.0,1798.625,1380.5,4959.0,1557.5,1126.0,4595.25,6261.0,0.37120111901200076,0.914570100090796,0.4863446552635509,0.39104074371506525,0.9481788111495831,0.5537203308299554,0.0,0.9814814814814815,0.4645141895141894,0.5921075837742504,0.34806971165188266,0.5,0,-1.3136553444251742,157,63,94,63,43,63,32,2,"{""camera"": 142, ""phone"": 121}",2e-05,0.0001
4,0.6676364316686478,0.505249420042608,0.35930763160275747,1.0,0.9375,16,15,16503.0,1031.4375,986.5,2422.5,723.5,662.5,1520.75,2309.0,0.36744986371614086,0.9535967532586369,0.5052494198146202,0.45224679228048953,0.9449677931021142,0.6117294475877225,0.0,1.0,0.44594356261022916,0.5810258671369782,0.3413033576736724,0.5,0,-1.169750579957392,157,63,94,63,43,63,32,2,"{""camera"": 142, ""phone"": 121}",2e-05,0.0001
5,0.6660320523120604,0.4811115543003745,0.3332432905982119,1.0,0.75,16,12,11859.0,741.1875,518.0,2586.25,558.6875,410.0,1472.0,2342.0,0.33773936844551455,0.9683796965251232,0.4811115540744047,0.42411825385259416,0.957012334693825,0.5877596277596278,0.0,1.0,0.4485008818342151,0.5860229276895943,0.2800963883590544,0.5,0,-0.8188884456996255,157,63,94,63,43,63,39,2,"{""camera"": 149, ""phone"": 114}",2e-05,0.0001
6,0.664676715665897,0.5636455352011098,0.41263663035661574,1.0,0.625,16,10,4046.0,252.875,175.5,772.75,174.0625,119.0,457.75,559.0,0.42020359935265533,0.9600567589535406,0.5636455349558301,0.5361469552382762,0.9462315672734072,0.6844664382810914,0.0,1.0,0.5168430335097002,0.6470899470899469,0.4171571353525421,0.5,0,-0.4863544647988902,157,63,94,63,43,63,39,2,"{""camera"": 149, ""phone"": 114}",2e-05,0.0001
7,0.6621262840003022,0.5772042446036751,0.4227504226372442,1.0,0.625,16,10,3203.0,200.1875,71.0,757.5,146.9375,66.0,435.75,831.0,0.4311459075442587,0.9575233335098576,0.5772042443392771,0.5402948303268803,0.9445744756304363,0.6873988222321282,0.0,1.0,0.6041887125220458,0.7140652557319223,0.43164439820384437,0.5,0,-0.4727957553963249,157,63,115,42,43,42,21,2,"{""camera"": 132, ""phone"": 110}",1e-05,5e-05
8,0.6615076114323514,0.48985362475759253,0.3452924813661186,1.0,0.75,16,12,7418.0,463.625,372.5,1331.25,306.125,186.5,831.25,1024.0,0.3504327938023614,0.9715864137914225,0.48985362454205716,0.4660591249507292,0.9529824425659774,0.6259804835075474,0.0,1.0,0.47782186948853617,0.6121693121693121,0.28817131387251155,0.5,0,-0.8101463752424075,157,63,115,42,43,42,21,2,"{""camera"": 132, ""phone"": 110}",1e-05,5e-05
9,0.6622237619899568,0.6392499405891433,0.48916803196764014,1.0,0.375,16,6,2207.0,137.9375,0.0,856.75,108.5625,0.0,592.25,818.0,0.5217533469827517,0.9057637539216479,0.6392499402576649,0.5734553431426898,0.9338066038648277,0.7105551725914351,0.0,0.9814814814814815,0.6407407407407409,0.7405643738977074,0.5285465407502423,0.5,0,0.08924994058914326,157,63,105,52,43,52,26,2,"{""camera"": 134, ""phone"": 118}",1e-05,5e-05
10,0.6624342004458109,0.6346124490962001,0.4954185121109384,0.9629629629629629,0.5,16,8,2406.0,150.375,2.0,687.5,140.375,2.0,597.5,1082.0,0.573578828826375,0.8458356975254226,0.6346124484081314,0.5918824588593675,0.9283323983983597,0.7228763223561663,0.0,0.9259259259259259,0.6065255731922399,0.670620223398001,0.550919885713699,0.5,0,-0.16538755090379997,157,63,105,52,43,52,26,2,"{""camera"": 134, ""phone"": 118}",1e-05,5e-05
11,0.6599191665649414,0.6230697933633678,0.48388148492016847,0.9629629629629629,0.5625,16,9,2625.0,164.0625,23.0,663.0,153.5625,17.0,606.75,1143.0,0.5437834406147835,0.8705211570678169,0.6230697927506582,0.5845984035969792,0.9288869115551515,0.7175831839011755,0.0,0.9444444444444444,0.5790784832451498,0.6521498049275828,0.5377459351249333,0.5,0,-0.3019302066366323,157,63,117,40,43,40,20,2,"{""camera"": 126, ""phone"": 114}",1e-05,5e-05
12,0.659113097190857,0.5727453331241058,0.4243229308027533,1.0,0.625,16,10,4086.0,255.375,73.0,997.5,197.375,65.0,726.0,1155.0,0.46000168827977894,0.9074563468619632,0.5727453326851123,0.5185989115077777,0.9443294581890632,0.6695177142857143,0.0,0.9814814814814815,0.5543650793650793,0.6665931804820693,0.4459849073151241,0.5,0,-0.47725466687589424,157,63,117,40,43,40,20,2,"{""camera"": 126, ""phone"": 114}",1e-05,5e-05
13,0.6588932101319476,0.5917123498013225,0.4417499875677855,1.0,0.5625,16,9,3590.0,224.375,63.5,954.0,164.875,49.5,649.75,907.0,0.4631960723116559,0.9211647146819794,0.5917123495028717,0.5452847387217764,0.9411506792786171,0.6905044054165927,0.0,0.9814814814814815,0.5705246913580247,0.68233392122281,0.46594058066808125,0.5,0,-0.33328765019867757,157,63,111,46,43,46,23,2,"{""camera"": 128, ""phone"": 118}",1e-05,5e-05
14,0.65804874751626,0.5886979616780078,0.4392683919113743,1.0,0.5625,16,9,3749.0,234.3125,77.5,903.25,150.5,65.0,630.0,720.0,0.45354283720576255,0.9346622361909405,0.5886979614218576,0.5521476110928024,0.9398482181428968,0.6956251998415585,0.0,1.0,0.5785493827160493,0.6927395649617871,0.4596856247037041,0.5,0,-0.33630203832199224,157,63,111,46,43,46,23,2,"{""camera"": 128, ""phone"": 118}",1e-05,5e-05
15,0.658350787511686,0.5816138433774295,0.43148540554016707,1.0,0.5625,16,9,3766.0,235.375,49.5,946.0,147.75,49.5,611.25,837.0,0.4432549997378293,0.9421412417872749,0.5816138431250092,0.5492596575399123,0.9418986272575456,0.6938859847666186,0.0,1.0,0.5675925925925925,0.683862433862434,0.4431688003552019,0.5,0,-0.34338615662257055,157,63,111,46,43,46,23,2,"{""camera"": 128, ""phone"": 118}",5e-06,2.5e-05
16,0.6573811856711783,0.6117436452642854,0.46234380226456373,1.0,0.5,16,8,2561.0,160.0625,8.5,591.5,121.5,8.5,437.75,953.0,0.47708047740775467,0.9375298020547791,0.611743645007443,0.5954591172154529,0.9314273555525465,0.7264808756635244,0.0,1.0,0.5951058201058201,0.7045708406819519,0.505402768385216,0.5,0,-0.18825635473571467,157,63,111,46,43,46,23,2,"{""camera"": 128, ""phone"": 118}",5e-06,2.5e-05
17,0.6568045081763432,0.6207729276257982,0.4705935104754848,1.0,0.5,16,8,2220.0,138.75,2.5,519.75,115.5625,2.5,425.25,990.0,0.48607064007681217,0.936359786415449,0.6207729273628965,0.600437387955647,0.9329425949926172,0.7306390080466184,0.0,1.0,0.5996913580246913,0.7114197530864197,0.5153408012294247,0.5,0,-0.17922707237420188,157,63,125,32,43,32,16,2,"{""camera"": 130, ""phone"": 102}",5e-06,2.5e-05
