epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6451748076044483,0.3201554525396688,0.2052287535240257,0.9787234042553191,1.0,34,34,1321885.0,38878.970588235294,35259.5,87910.54999999996,11756.70588235294,10472.0,29938.849999999988,49734.0,0.23658695823061582,0.9038124625664482,0.320155452068369,0.11594537590809442,0.9789776976403819,0.2073349989615128,0.0,0.9468085106382979,0.2801602703218557,0.3438969387744271,0.12475676800208947,0.5,0,-1.4798445474603312,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.6316533894450577,0.36518905236271404,0.24335156012581327,0.9787234042553191,0.8823529411764706,34,30,1217766.0,35816.64705882353,19021.5,129101.94999999987,14535.79411764706,8193.0,51010.64999999995,104637.0,0.2818546951441712,0.9442323756683461,0.3651890519611728,0.11698061015273908,0.9817649190902876,0.20905197100708067,0.0,0.9787234042553191,0.30152406548120253,0.36308857420084234,0.1416091447223038,0.5,0,-1.1995168299902272,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.6235673919480335,0.46394373956364865,0.3265125087547029,0.9787234042553191,0.8823529411764706,34,30,502593.0,14782.14705882353,4823.5,68345.14999999988,6522.441176470588,2246.5,32453.999999999935,56443.0,0.4046778163983006,0.8948859531138129,0.4639437388843162,0.2043315545249189,0.9763143526993608,0.3379367652424415,0.0,0.9787234042553191,0.4546506282184191,0.5066304118283036,0.22854707007345426,0.5,0,-1.1007621427892924,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 482, ""phone"": 111}",2e-05,0.0001
4,0.6171383869679854,0.5745289815361951,0.4273475811839202,0.9787234042553191,0.9117647058823529,34,31,278774.0,8199.235294117647,2503.5,35621.299999999916,3101.8823529411766,1442.0,12792.599999999995,21739.0,0.4908157903718185,0.8990577798594251,0.5745289810742159,0.3059049841418703,0.9503048738524218,0.4628255311256887,0.0,0.9763593380614657,0.4169552934576612,0.48453460343989974,0.3541542860570871,0.5,0,-1.0490004302285107,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 485, ""phone"": 108}",2e-05,0.0001
5,0.6109206016345691,0.6495048665583064,0.5044583376137154,0.9787234042553191,0.7352941176470589,34,25,144499.0,4249.970588235294,898.5,20690.549999999967,1832.3235294117646,592.0,6463.949999999997,12347.0,0.6047399822761554,0.8523631591205691,0.649504866041802,0.42963963172919806,0.9204276951169715,0.5858259186039381,0.0,0.9692671394799055,0.5851741248017844,0.6376373886432192,0.465323181185197,0.5,0,-0.6210833687358114,371,148,223,148,223,148,244,2,"{""camera"": 153, ""dphone"": 478, ""phone"": 111}",2e-05,0.0001
6,0.6045545424504947,0.6320741902056037,0.4838724201911497,1.0,0.8235294117647058,34,28,171785.0,5052.5,788.0,26642.69999999994,2340.529411764706,430.5,12508.499999999996,17388.0,0.5346411334439201,0.9077056778666295,0.6320741899147061,0.39130265661937674,0.9230887460485687,0.5496187481005699,0.0,1.0,0.5747618462816031,0.6673774580878086,0.4112851220441105,0.5,0,-0.814984633323808,371,148,223,148,223,148,244,2,"{""camera"": 160, ""dphone"": 471, ""phone"": 111}",2e-05,0.0001
7,0.6006465063139956,0.5230899433922804,0.37500016620561477,1.0,0.8823529411764706,34,30,276117.0,8121.088235294118,1982.5,38066.29999999995,3531.294117647059,1438.0,16041.099999999993,23074.0,0.38796740914167777,0.9645844352099434,0.5230899432107916,0.3019343801766676,0.9458017333535206,0.457741115342341,0.0,1.0,0.39766052496816146,0.4967371944681945,0.2717344799872427,0.5,0,-1.0416159389606607,371,148,223,148,223,148,194,2,"{""camera"": 157, ""dphone"": 476, ""phone"": 109}",2e-05,0.0001
8,0.5961932038427681,0.5806391853658431,0.44378103825149745,0.9361702127659575,0.7647058823529411,34,26,168882.0,4967.117647058823,875.5,21707.049999999974,2569.6470588235293,875.5,10050.399999999994,12822.0,0.5760425295262672,0.8284812564176182,0.5806391846006175,0.37940148358152465,0.9381787400382641,0.5403032004491859,0.0,0.8794326241134751,0.649302145844699,0.6172716332737898,0.3436788811936374,0.5,0,-0.7487725793400392,371,148,223,148,223,148,194,2,"{""camera"": 156, ""dphone"": 475, ""phone"": 111}",2e-05,0.0001
9,0.5919198087787115,0.5724927217764134,0.4245871077443952,1.0,0.7941176470588235,34,27,272312.0,8009.176470588235,2053.0,36854.49999999997,3958.970588235294,1098.5,13960.249999999996,24859.0,0.4586081401710778,0.9234771614015423,0.5724927215361024,0.29511251395749016,0.9591620442376777,0.4513536853922881,0.0,0.9893617021276596,0.5629746109309379,0.6407631021460809,0.33695282898599543,0.5,0,-0.8157425723412336,371,148,223,148,223,148,216,2,"{""camera"": 162, ""dphone"": 472, ""phone"": 108}",2e-05,0.0001
10,0.5876030353128269,0.4960726474580166,0.3482931315807968,1.0,0.8235294117647058,34,28,297716.0,8756.35294117647,2271.0,42531.39999999992,5279.764705882353,1350.5,22927.099999999933,52981.0,0.360132755991924,0.9695873678905756,0.49607264728299916,0.2774943602005983,0.9413513550713666,0.4286345494371424,0.0,1.0,0.4249586965669569,0.5291673619148181,0.2146554783902825,0.5,0,-0.9509861760713951,371,148,223,148,223,148,216,2,"{""camera"": 154, ""dphone"": 478, ""phone"": 110}",2e-05,0.0001
