epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.7371389619362207,0.15094127536614338,0.09322853399604232,0.8085106382978723,0.9117647058823529,34,31,3212250.0,94477.94117647059,88010.0,222674.94999999984,41698.117647058825,36133.0,102132.44999999998,119523.0,0.3142126880506562,0.5507960375959411,0.15094127417207653,0.044056826084364877,0.6358237099638006,0.08240381397889088,0.0,0.6849881796690307,0.3221738044412546,0.1928556350200676,0.05234682050405385,0.5,0,-1.4725881363985625,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.6918644759758019,0.03044745890944068,0.015973201364715247,1.0,1.0,34,34,83169999.0,2446176.4411764704,2918454.5,3412289.3499999996,1758416.6764705882,1837472.5,3021070.6999999997,3210146.0,0.015979235648270886,0.9844370727703549,0.030447458901932806,0.003005520941780634,0.9983024330263949,0.005992999170336664,0.0,1.0,0.10328788489548107,0.16654141600507874,0.007457417635717804,0.5,0,-1.7695525410905593,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.6760200902178723,0.05659046809446825,0.03031831592611774,1.0,1.0,34,34,30281674.0,890637.4705882353,1036155.5,1383311.75,391145.23529411765,353609.0,926871.7999999998,1136236.0,0.0303791187143866,0.9730837029852261,0.056590468078491746,0.00810717285209582,0.9920122591863607,0.016082908898649734,0.0,0.9822695035460992,0.14025114549608045,0.21868574932033355,0.00771328424287172,0.5,0,-1.7434095319055318,371,148,223,148,223,148,274,2,"{""camera"": 149, ""dphone"": 482, ""phone"": 111}",2e-05,0.0001
4,0.6679919001890376,0.11415389898205847,0.06458050556470459,1.0,1.0,34,34,8848950.0,260263.23529411765,282723.0,441909.1999999999,75043.0294117647,66966.0,147628.69999999998,230806.0,0.06496065071662564,0.9328504509778373,0.11415389893322929,0.024823460288973684,0.9779316293431334,0.04841789828309304,0.0,0.953900709219858,0.2248065702574071,0.2943157006376243,0.0177936740636595,0.5,0,-1.6858461010179415,371,148,223,148,223,148,274,2,"{""camera"": 149, ""dphone"": 485, ""phone"": 108}",2e-05,0.0001
5,0.6613687465694499,0.03365641775896975,0.017996275603396866,1.0,1.0,34,34,87369881.0,2569702.382352941,3149535.0,3947318.4,948884.3529411765,815735.0,2676130.55,2823139.0,0.018016327350149134,0.9473471992707956,0.03365641775224884,0.0027235614916437537,0.9938222326217316,0.005432235986136786,0.0,0.9680851063829787,0.1374682865846035,0.20485514057199788,0.007141340026052396,0.5,0,-1.7663435822410303,371,148,223,148,223,148,274,2,"{""camera"": 150, ""dphone"": 481, ""phone"": 111}",2e-05,0.0001
6,0.6550667395675054,0.04721277825514742,0.025094849976315416,1.0,1.0,34,34,32910274.0,967949.2352941176,1013202.0,1663485.5999999999,228434.29411764705,142746.5,630868.0999999999,721074.0,0.025143112614145455,0.8725219661321061,0.04721277824003675,0.007446522673498078,0.9876100551021063,0.014781592991089164,0.0,0.9078014184397163,0.15207203458713872,0.21345430059239182,0.013115460219328136,0.5,0,-1.7527872217448526,371,148,223,148,223,148,274,2,"{""camera"": 157, ""dphone"": 474, ""phone"": 111}",2e-05,0.0001
7,0.650368505508028,0.25577854107534065,0.1679414346869063,0.8936170212765957,0.9705882352941176,34,33,2573890.0,75702.64705882352,81278.5,144754.69999999998,29450.764705882353,26743.5,55730.6,58639.0,0.30461891525576273,0.7533599616988215,0.2557785400419642,0.07369943413462507,0.9235177258108176,0.1365053401393068,0.0,0.8049645390070921,0.3571647546944254,0.3001807151960672,0.11552902540876442,0.5,0,-1.4853979295128947,371,148,223,148,223,148,274,2,"{""camera"": 152, ""dphone"": 483, ""phone"": 107}",1e-05,5e-05
8,0.6450887960932588,0.19289481514230172,0.11768693727784982,0.9148936170212766,0.9705882352941176,34,33,4057905.0,119350.14705882352,133691.5,228887.7,34473.882352941175,32587.0,63338.95,73634.0,0.2049381976799664,0.7757327677395107,0.19289481419032972,0.05042240921375993,0.9511307172449864,0.09576786487656995,0.0,0.8226950354609929,0.2577719927440436,0.23461750240726564,0.052168929574592814,0.5,0,-1.5482816554459335,371,148,223,148,223,148,274,2,"{""camera"": 151, ""dphone"": 482, ""phone"": 109}",1e-05,5e-05
9,0.6411422183488142,0.13820008275653417,0.07934002272186252,1.0,1.0,34,34,5974577.0,175722.85294117648,186930.0,321981.74999999994,41110.64705882353,43114.5,70801.99999999999,79909.0,0.07982650347189933,0.8262195841000353,0.13820008256689506,0.03582144001817026,0.9811982987626113,0.0691194765741547,0.0,0.8546099290780141,0.16140424004757162,0.22427849262843425,0.029313555557785812,0.5,0,-1.6617999172434659,371,148,223,148,223,148,263,2,"{""camera"": 165, ""dphone"": 469, ""phone"": 108}",1e-05,5e-05
10,0.6388598513058437,0.22084643884396166,0.1379950831008969,0.9148936170212766,0.9705882352941176,34,33,2517484.0,74043.64705882352,80864.0,146351.74999999997,17610.20588235294,18621.0,35644.799999999974,48280.0,0.2253202707994652,0.767345130222481,0.22084643785862546,0.07285247805537276,0.9480246284851738,0.13530706683532806,0.0,0.7943262411347517,0.260779523701093,0.22601231576721426,0.07034268642797231,0.5,0,-1.5203300317442736,371,148,223,148,223,148,263,2,"{""camera"": 157, ""dphone"": 475, ""phone"": 110}",1e-05,5e-05
