epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6451652353560483,0.3225930656573248,0.20704951032936145,0.9787234042553191,1.0,34,34,1277411.0,37570.91176470588,32838.5,85432.69999999995,11308.411764705883,10120.5,27135.149999999998,48800.0,0.23843308664086219,0.9038440836522751,0.322593065182545,0.11879975573413559,0.9786932404718318,0.21188020025393045,0.0,0.9468085106382979,0.28272718063467756,0.3466568463198364,0.12555096108739722,0.5,0,-1.4774069343426752,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.631650185695401,0.36275056823151064,0.24156408889280323,0.9787234042553191,0.8823529411764706,34,30,1277398.0,37570.529411764706,20296.5,134554.14999999985,15089.176470588236,8263.0,52404.449999999946,105624.0,0.2808422111066447,0.9436058978921403,0.36275056782815146,0.11361850042404768,0.9819071476745627,0.20366993300077585,0.0,0.9787234042553191,0.3055020461080259,0.3675628853180878,0.140562052250219,0.5,0,-1.2019553141214305,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.6227766130073571,0.48315032304804534,0.3410279973861979,0.9787234042553191,0.8529411764705882,34,29,432431.0,12718.558823529413,6044.0,54490.199999999924,5082.85294117647,2136.5,19543.049999999996,31938.0,0.3902950675453317,0.9146800284638191,0.48315032256359136,0.23606627883287684,0.9569414431154483,0.37870937694904855,0.0,0.9787234042553191,0.3767657209027441,0.44193119565724637,0.23444565181679916,0.5,0,-1.022732029893131,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
4,0.6170290778448553,0.5618348647225839,0.41658407645308243,1.0,0.8823529411764706,34,30,250912.0,7379.764705882353,1979.0,38959.99999999994,2910.5588235294117,848.5,13051.849999999979,25210.0,0.4575564414026869,0.8696665562379366,0.5618348643121767,0.3407077327290699,0.8650617776737827,0.48887160340178387,0.0,0.9763593380614657,0.3924550984116095,0.49740852534899854,0.327638174145496,0.5,0,-1.0028710176303572,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
5,0.6131940237533899,0.3828749329975913,0.2584555898935527,1.0,0.9117647058823529,34,31,736996.0,21676.352941176472,12907.0,74637.24999999996,8900.911764705883,6200.5,22946.999999999993,28078.0,0.26570856221533207,0.9462688664444611,0.3828749328863041,0.181269678559441,0.9638532935093297,0.305150417823252,0.0,0.9716312056737588,0.3643370530773648,0.4682850046696993,0.12693173517966755,0.5,0,-1.2406544787671145,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
6,0.6078640147123808,0.49424872226959277,0.3551086912646017,1.0,0.8823529411764706,34,30,478624.0,14077.176470588236,4852.0,61068.049999999945,5939.411764705882,2701.5,25724.64999999998,40128.0,0.3805686153603749,0.9229462958659838,0.4942487220100625,0.22370817055158004,0.9669341481654806,0.36335189154544634,0.0,1.0,0.35204717645289546,0.45635265692956806,0.25594863343545676,0.5,0,-1.0704571600833483,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
7,0.6041705043595514,0.5985426912471885,0.4768965661997639,0.8723404255319149,0.6470588235294118,34,22,86218.0,2535.823529411765,270.5,13306.54999999999,1437.4705882352941,270.5,8321.599999999997,9438.0,0.7719573951331167,0.6626032289328031,0.5985426902045443,0.5306856143744653,0.8181217568441771,0.6437768007920985,0.0,0.8268321513002364,0.6989312036871486,0.6095931889496099,0.41574314139593693,0.5,0,-0.49557495581163513,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
8,0.6021022084686491,0.3812486115704925,0.2556788298259605,1.0,0.9705882352941176,34,33,591435.0,17395.147058823528,10828.5,48954.29999999992,7937.558823529412,4326.5,24398.04999999999,28777.0,0.25937584911936995,0.9786715004470394,0.381248611464289,0.20241549043257162,0.9686363031579334,0.33485622656083336,0.0,0.9929078014184397,0.3096162256489444,0.41132084748793135,0.10657502631336785,0.5,0,-1.3599278590177428,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
9,0.5962679470762794,0.5207655095022052,0.38233959314309646,0.9574468085106383,0.8235294117647058,34,28,534064.0,15707.764705882353,7073.5,53592.749999999985,9579.79411764706,5995.5,31428.799999999996,41299.0,0.45578110300546304,0.8835206901008561,0.5207655090152716,0.23794695335593066,0.9565629315605229,0.38109560771690665,0.0,0.9290780141843971,0.526165958745746,0.5615481992910301,0.273657406675706,0.5,0,-0.9262933140272065,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
10,0.5924726858919049,0.4812778002956318,0.34554373430794594,1.0,0.9117647058823529,34,31,761492.0,22396.823529411766,12058.5,78188.84999999996,9715.176470588236,5862.0,30423.99999999999,39367.0,0.3763118195273406,0.9366044691143881,0.4812777999393709,0.1773288257606529,0.9764703453401786,0.30014987714727837,0.0,1.0,0.38697715506276087,0.4797738842837217,0.2832536598212334,0.5,0,-1.1422516114690742,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
11,0.5889619656918962,0.4247020510650493,0.29593556620343725,1.0,0.9117647058823529,34,31,761977.0,22411.08823529412,14923.0,72922.29999999997,8922.29411764706,5251.5,26094.699999999997,27759.0,0.30166505983920355,0.9749543654481205,0.4247020509207255,0.17537346988108862,0.9752591083644172,0.2972879042375098,0.0,0.9929078014184397,0.3417887527342105,0.42847182575902915,0.1830715815788093,0.5,0,-1.1988273606996565,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
12,0.5849961680762562,0.6124484814526707,0.4785884141973531,0.9574468085106383,0.7941176470588235,34,27,282650.0,8313.235294117647,3565.5,31353.149999999958,4404.323529411765,1882.0,17699.35,23246.0,0.5879330282292211,0.8195515678558324,0.6124484808695312,0.33382368654502265,0.9245385600044045,0.4905310395317461,0.0,0.9397163120567376,0.5737979034798709,0.5906346083508781,0.42567179410217615,0.5,0,-0.7757868126649763,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
13,0.5829783670696211,0.4598264898267204,0.3226689147145541,1.0,1.0,34,34,648594.0,19076.29411764706,12192.5,72645.5,8424.14705882353,6028.5,22955.599999999995,29030.0,0.32980250127231475,0.9653841013645188,0.45982648965797907,0.19944090252702515,0.9780532118425942,0.33132023830755475,0.0,0.9929078014184397,0.3595382792302598,0.4503555974578964,0.1963822445541911,0.5,0,-1.3401735101732797,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",1e-05,5e-05
14,0.5803275787168078,0.5032336694508818,0.3595703044535284,1.0,0.9117647058823529,34,31,549030.0,16147.941176470587,7994.0,60048.09999999996,8608.029411764706,5493.5,28620.849999999995,33943.0,0.36859076237681904,0.9666423886799234,0.5032336692675202,0.2208310115686258,0.9745869636032465,0.3600732622464659,0.0,1.0,0.37961630871106194,0.47585574942605335,0.25795291603688686,0.5,0,-1.1202957423138242,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",1e-05,5e-05
15,0.5786008974652231,0.4975417020412751,0.35731546004740267,1.0,0.9411764705882353,34,32,483070.0,14207.941176470587,9400.5,54314.799999999974,6526.705882352941,4173.0,20420.6,23055.0,0.371283611981497,0.9601917234582266,0.4975417018519707,0.23661536945856929,0.969682371455182,0.3804065029675527,0.0,0.9929078014184397,0.3692898649813543,0.466855777604067,0.24701183500602886,0.5,0,-1.1848112391351955,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",1e-05,5e-05
