epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6627523521950216,0.43295742969666384,0.31301880693066125,0.9148936170212766,0.8823529411764706,34,30,1065632.0,31342.117647058825,24467.0,79374.04999999997,10903.0,8454.0,32254.149999999965,46308.0,0.4511854325862111,0.7954839463666858,0.43295742885267213,0.14758268434756003,0.9383094985754201,0.2550496941157104,0.0,0.8652482269503545,0.5213918215210618,0.47219853029182535,0.23653845743524138,0.5,0,-1.1317484526562773,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.644932480873885,0.3807106114122039,0.2657483853255985,0.9574468085106383,0.8529411764705882,34,29,3194851.0,93966.20588235294,40785.0,274869.2499999998,35793.5,14568.5,98113.34999999999,136251.0,0.3538045730828533,0.8887191220320143,0.3807106107189151,0.061168110186559176,0.9900531751384435,0.11521776157471554,0.0,0.9468085106382979,0.34938270644432623,0.3657054773429305,0.21263891536576027,0.5,0,-1.1251717415289726,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.6384440825511051,0.4364033087513116,0.31883202400483984,0.8723404255319149,0.8235294117647058,34,28,333812.0,9818.0,3535.0,35599.19999999994,5193.058823529412,1900.5,17857.899999999987,54576.0,0.5040013081472109,0.7883618724297113,0.4364033078219056,0.22259677987937707,0.9603778692322869,0.3614228273092023,0.0,0.8404255319148937,0.4831578230905515,0.4172163464403765,0.23727639291698083,0.5,0,-1.0106555147781,371,148,223,148,223,148,233,2,"{""camera"": 149, ""dphone"": 482, ""phone"": 111}",2e-05,0.0001
4,0.6300657947751928,0.507685437935315,0.3685028558301811,0.9574468085106383,0.8529411764705882,34,29,293985.0,8646.617647058823,2637.0,42505.749999999905,4043.676470588235,1264.0,16501.85,52231.0,0.4659194754214529,0.8688869764800914,0.5076854371887589,0.2627849158300279,0.9529131625672719,0.41196282147405,0.0,0.9574468085106383,0.3876630939287385,0.43254730755844967,0.2989547101855576,0.5,0,-0.9981969150058615,371,148,223,148,223,148,233,2,"{""camera"": 149, ""dphone"": 485, ""phone"": 108}",2e-05,0.0001
5,0.6231288657309537,0.5957337579930899,0.4729145421639245,0.9148936170212766,0.7352941176470589,34,25,129312.0,3803.294117647059,385.5,19313.099999999955,1614.764705882353,328.0,6561.499999999998,11868.0,0.6862290419637637,0.7407924078670803,0.5957337570087791,0.43221159612130045,0.8928514078335834,0.5824639748104272,0.0,0.8936170212765957,0.6135126474608287,0.5914100608517016,0.4280758127618058,0.5,0,-0.6748544773010279,371,148,223,148,223,148,235,2,"{""camera"": 154, ""dphone"": 477, ""phone"": 111}",2e-05,0.0001
6,0.6174854540055797,0.4253521993188924,0.2898203487855956,1.0,0.8529411764705882,34,29,479027.0,14089.029411764706,5776.5,60499.699999999895,7376.558823529412,3644.0,25507.34999999995,60079.0,0.31837445714789847,0.9566239464483335,0.42535219902052945,0.19714023005934317,0.9782803187755496,0.32815217888968445,0.0,1.0,0.3462004806777878,0.4447950929222269,0.1561220636986624,0.5,0,-1.080530153622284,371,148,223,148,223,148,235,2,"{""camera"": 161, ""dphone"": 470, ""phone"": 111}",2e-05,0.0001
7,0.6130250270969124,0.5747457379386066,0.44531373625396753,0.9148936170212766,0.7941176470588235,34,27,203835.0,5995.14705882353,2409.0,26631.899999999943,2564.1470588235293,1104.5,7763.499999999995,14744.0,0.5950497969666462,0.8051451485864918,0.5747457370325951,0.3445078856371763,0.9370638514583018,0.5037968251462428,0.0,0.9042553191489362,0.6026633762231495,0.5679108155551436,0.3892118397032182,0.5,0,-0.8134895561790404,371,148,223,148,223,148,244,2,"{""camera"": 156, ""dphone"": 479, ""phone"": 107}",2e-05,0.0001
8,0.6074369676331038,0.5345580452463179,0.38708066714546957,1.0,0.9117647058823529,34,31,400819.0,11788.79411764706,6893.5,40228.74999999992,3930.5882352941176,2172.5,12314.05,12430.0,0.40146981027253714,0.9550015063552894,0.5345580450540539,0.2677425133227988,0.960068177960075,0.4187144952446889,0.0,0.9976359338061465,0.41056279155650993,0.4847418324552372,0.3058069003135082,0.5,0,-1.088971366518388,371,148,223,148,223,148,244,2,"{""camera"": 155, ""dphone"": 478, ""phone"": 109}",2e-05,0.0001
9,0.6023872561993138,0.5473941336301514,0.4084111701684164,0.9787234042553191,0.7941176470588235,34,27,527524.0,15515.411764705883,5373.5,53407.59999999997,5969.382352941177,1983.5,24815.999999999993,26960.0,0.48111099369276095,0.874737240288849,0.5473941331411998,0.2110546483017709,0.9490477566881845,0.3453159646042518,0.0,0.9763593380614657,0.47983529646545914,0.5301891450206094,0.38454055778819346,0.5,0,-0.8408411604874956,371,148,223,148,223,148,252,2,"{""camera"": 155, ""dphone"": 479, ""phone"": 108}",2e-05,0.0001
10,0.5975516906237219,0.42408841931542895,0.29260668514388727,1.0,0.8529411764705882,34,29,1026765.0,30198.970588235294,20348.0,90396.59999999999,11646.441176470587,7915.0,38056.94999999998,47571.0,0.29789643572894803,0.9796951893485458,0.42408841914192785,0.1405043387906908,0.9845704926155837,0.24591506661804044,0.0,1.0,0.3722184116583365,0.45683826141102013,0.18278804988033073,0.5,0,-1.0817939336257476,371,148,223,148,223,148,252,2,"{""camera"": 147, ""dphone"": 485, ""phone"": 110}",2e-05,0.0001
11,0.5935108780219991,0.4370560203179846,0.30137735039840374,1.0,0.8529411764705882,34,29,946266.0,27831.352941176472,15988.0,83011.59999999996,10273.764705882353,5774.5,34433.99999999997,50780.0,0.30966450827407377,0.9726346174591836,0.4370560201281064,0.15090655911015638,0.9849765322835946,0.2617160523250463,0.0,1.0,0.37352484372737915,0.45317792075500113,0.19046144674814766,0.5,0,-1.068826332623192,371,148,223,148,223,148,243,2,"{""camera"": 152, ""dphone"": 483, ""phone"": 107}",1e-05,5e-05
