epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6451707029784167,0.3229945681940265,0.2072560056041528,0.9787234042553191,1.0,34,34,1283984.0,37764.23529411765,33867.5,85906.44999999995,11374.235294117647,10232.5,27126.6,49114.0,0.23883097230269731,0.9030697287148403,0.3229945677162428,0.11848709710931471,0.9785303658027427,0.21137899148753556,0.0,0.9468085106382979,0.283840833910905,0.3482391131542938,0.1257115618875694,0.5,0,-1.4770054318059735,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.6316362784968482,0.35891735749870846,0.23865843854503274,0.9787234042553191,0.8823529411764706,34,30,1310820.0,38553.529411764706,20815.0,138812.44999999987,15267.5,8480.5,52862.44999999995,105497.0,0.27639699098765314,0.9457226140204598,0.35891735710057643,0.111705644102375,0.9826228786147854,0.20060616037468326,0.0,0.9787234042553191,0.30222179664375276,0.36261467117954277,0.1377114857706578,0.5,0,-1.2057885248542326,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.6239362456785735,0.4803111647601212,0.3435110847470878,0.9361702127659575,0.8235294117647058,34,28,310414.0,9129.823529411764,2209.5,44429.09999999992,4889.35294117647,1316.0,23306.049999999956,43268.0,0.46827382723560035,0.8413712781671729,0.4803111638832249,0.2595148264070053,0.9573153666515262,0.40833557978845975,0.0,0.9148936170212766,0.5104787785917965,0.5263978239681086,0.23522102630549682,0.5,0,-0.9667476587692905,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 482, ""phone"": 111}",2e-05,0.0001
4,0.6168460339945268,0.4510014654491258,0.3120896059726813,1.0,0.8529411764705882,34,29,506702.0,14903.0,7225.5,57554.64999999995,6182.205882352941,3449.5,18568.99999999998,31434.0,0.3480258073637295,0.9364876554673119,0.45100146509024425,0.2084853779752581,0.9755206254387293,0.34354857277888523,0.0,0.9893617021276596,0.40758701404978004,0.4919200949238496,0.18815224296898245,0.5,0,-1.0548808874920508,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 485, ""phone"": 108}",2e-05,0.0001
5,0.6113984578399247,0.5258709821174753,0.37874884035757406,1.0,0.7352941176470589,34,25,172643.0,5077.735294117647,671.5,27784.649999999958,2067.3529411764707,528.5,9199.699999999995,15474.0,0.40348045495472024,0.9331171811489704,0.5258709819138873,0.36346303782374256,0.8908212094935286,0.5162794376997994,0.0,1.0,0.43488426467149865,0.5630225017932908,0.23669409696693244,0.5,0,-0.7447172531766425,371,148,223,148,223,148,229,2,"{""camera"": 147, ""dphone"": 484, ""phone"": 111}",2e-05,0.0001
6,0.6063242195283666,0.5674986197720813,0.42162018850985855,0.9787234042553191,0.8235294117647058,34,28,235980.0,6940.588235294118,2542.5,24780.04999999999,3087.764705882353,1206.0,11548.449999999999,13062.0,0.4891757584490817,0.8898360133979646,0.5674986193132603,0.32675949289137163,0.9250937102849619,0.4829370582472881,0.0,0.9680851063829787,0.4965022727676703,0.5623770502403092,0.3309347312076984,0.5,0,-0.8795602037573305,371,148,223,148,223,148,229,2,"{""camera"": 154, ""dphone"": 477, ""phone"": 111}",2e-05,0.0001
7,0.6020623444709726,0.47779078629549143,0.33450279475592637,1.0,0.8823529411764706,34,30,390430.0,11483.235294117647,5003.0,36682.799999999974,4938.970588235294,2565.5,14633.599999999995,17072.0,0.3394136709085164,0.965168261047721,0.47779078611046033,0.26613568568688717,0.9664386421299419,0.4173440982713359,0.0,1.0,0.36092006782917974,0.4794892112476593,0.19375632215750718,0.5,0,-1.0869150960574498,371,148,223,148,223,148,222,2,"{""camera"": 153, ""dphone"": 482, ""phone"": 107}",2e-05,0.0001
8,0.5965304793042933,0.5744246881297032,0.42263183638830154,1.0,0.7058823529411765,34,24,215760.0,6345.882352941177,1858.0,24278.85,2779.735294117647,970.0,10209.89999999999,13827.0,0.48156117619322025,0.9001518434501438,0.5744246877717637,0.3537163707579266,0.9082029188975909,0.5091391232666016,0.0,0.9893617021276596,0.5749208682938627,0.6542158547246429,0.31590784642106723,0.5,0,-0.6373400177526499,371,148,223,148,223,148,222,2,"{""camera"": 152, ""dphone"": 481, ""phone"": 109}",2e-05,0.0001
9,0.5915753706809013,0.49227050326911465,0.351725274265219,1.0,0.8823529411764706,34,30,821494.0,24161.58823529412,8334.0,103817.49999999997,9602.058823529413,3329.0,34711.89999999998,44432.0,0.3643789597542499,0.9480260873384108,0.4922705030601965,0.18284882421169188,0.9568978569363963,0.3070290107890634,0.0,1.0,0.34397762459185005,0.44363482390615594,0.2640931612533472,0.5,0,-1.0724353790838266,371,148,223,148,223,148,198,2,"{""camera"": 155, ""dphone"": 479, ""phone"": 108}",2e-05,0.0001
10,0.5871918097855573,0.5671425196959524,0.42141267529640436,0.9787234042553191,0.7352941176470589,34,25,177230.0,5212.64705882353,1368.5,26739.29999999998,2316.9117647058824,844.5,8239.149999999998,20933.0,0.486403279364169,0.895177433856914,0.5671425192633489,0.36656201092460183,0.8768736321968811,0.5170007209025212,0.0,0.9787234042553191,0.5427539068496515,0.6163906515147197,0.2949849552410585,0.5,0,-0.7034457155981654,371,148,223,148,223,148,198,2,"{""camera"": 147, ""dphone"": 485, ""phone"": 110}",2e-05,0.0001
