epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6451715104005955,0.325243357231642,0.20911633469888,0.9787234042553191,1.0,34,34,1255546.0,36927.82352941176,31868.0,83774.34999999995,11235.970588235294,10069.5,26956.5,48587.0,0.24072744427537443,0.9028754810972535,0.32524335675912475,0.12027425408861224,0.9783124349074827,0.2142130421799235,0.0,0.9468085106382979,0.2821698529346583,0.34767305680563154,0.12721157317707166,0.5,0,-1.474756642768358,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.6316978029998732,0.36766091619264285,0.24550355415475372,0.9787234042553191,0.8823529411764706,34,30,1212667.0,35666.67647058824,19198.0,127640.14999999986,14534.70588235294,8082.5,51336.949999999946,104387.0,0.2859582053394088,0.941808815175207,0.36766091578692667,0.11741378614400018,0.9809092535752136,0.20972385201970226,0.0,0.9787234042553191,0.29605367678609784,0.3572446715747567,0.14490283985242416,0.5,0,-1.1970449661602984,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.623754893099108,0.4940477088788449,0.3600846191661327,0.9148936170212766,0.7941176470588235,34,27,333695.0,9814.558823529413,1715.5,55946.2999999999,5218.558823529412,975.5,29162.94999999994,49298.0,0.49349221811821264,0.8365281492796482,0.494047708010305,0.25659806891795367,0.955925196940709,0.40459192243424125,0.0,0.8936170212765957,0.5467120276006383,0.5344922002282712,0.24982515897539234,0.5,0,-0.8941875852388022,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 482, ""phone"": 111}",2e-05,0.0001
4,0.6170209717941794,0.535133467720585,0.3883236363187751,0.9787234042553191,0.7941176470588235,34,27,340501.0,10014.735294117647,2408.0,43665.74999999993,3953.735294117647,1346.5,15973.799999999985,29005.0,0.4556153852019802,0.912246080648925,0.5351334672436182,0.2632548275477174,0.9630549782298505,0.4134825816745624,0.0,0.9787234042553191,0.4306575657031779,0.5036748339631915,0.3023588738354485,0.5,0,-0.853101826397062,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 485, ""phone"": 108}",2e-05,0.0001
5,0.6120645244435597,0.4521923690962434,0.31194847702968753,1.0,0.8529411764705882,34,29,384424.0,11306.588235294117,5046.5,39671.59999999993,4883.0,3156.0,14843.699999999986,21832.0,0.33811734059888743,0.9591467143419148,0.45219236881203034,0.24085455110826623,0.9719419707376158,0.3860443905445835,0.0,1.0,0.3756374002174674,0.47663315414300805,0.16661999674437047,0.5,0,-1.053689983844933,371,148,223,148,223,148,221,2,"{""camera"": 148, ""dphone"": 483, ""phone"": 111}",2e-05,0.0001
6,0.606909160412127,0.6451295600212701,0.5029245086796602,0.9574468085106383,0.6764705882352942,34,23,154577.0,4546.382352941177,460.0,19696.64999999998,2171.5882352941176,460.0,8487.049999999996,10735.0,0.6230628773982475,0.8390450632773713,0.6451295593539459,0.41940454830318585,0.8965631150812767,0.5714770336208548,0.0,0.9550827423167848,0.6108138392054142,0.6486819090116315,0.4582524341843832,0.5,0,-0.5078116164493183,371,148,223,148,223,148,221,2,"{""camera"": 155, ""dphone"": 476, ""phone"": 111}",2e-05,0.0001
7,0.6024185018513792,0.5635112730114371,0.4290446320272413,0.9148936170212766,0.6470588235294118,34,22,185791.0,5464.441176470588,190.0,21192.39999999998,2980.235294117647,190.0,10145.449999999995,23568.0,0.5693994316293521,0.8233572046239773,0.563511272096284,0.3603700399137955,0.9256167444335861,0.5187682287196874,0.0,0.8936170212765957,0.7199640476698757,0.6862174378988158,0.30543225361030085,0.5,0,-0.5306063740473865,371,148,223,148,223,148,177,2,"{""camera"": 152, ""dphone"": 483, ""phone"": 107}",2e-05,0.0001
8,0.5979606910578666,0.6330707845879818,0.5030911065286994,0.9148936170212766,0.7058823529411765,34,24,94739.0,2786.4411764705883,158.0,13448.699999999975,1489.5294117647059,158.0,8380.499999999995,12683.0,0.6666058577280917,0.7949869089764489,0.6330707837281493,0.4838195417617092,0.8403140040099285,0.6140775417318016,0.0,0.9125295508274232,0.645181806694696,0.6444327540072221,0.44606901402631854,0.5,0,-0.5786939212943712,371,148,223,148,223,148,177,2,"{""camera"": 151, ""dphone"": 482, ""phone"": 109}",2e-05,0.0001
9,0.5922044283279808,0.4107441743842406,0.276040940678818,1.0,0.8235294117647058,34,28,352711.0,10373.85294117647,4309.5,38890.999999999935,5633.941176470588,2621.0,14296.949999999995,62913.0,0.2986063336168616,0.9630920078902988,0.4107441741100895,0.2271287238028064,0.9721484315857569,0.36822652982401416,0.0,1.0,0.3325830999736535,0.4220800047417997,0.1461606068090648,0.5,0,-1.0363146491451711,371,148,223,148,223,148,170,2,"{""camera"": 156, ""dphone"": 478, ""phone"": 108}",2e-05,0.0001
10,0.5890637027320041,0.5146776317339368,0.3875152198626533,0.9361702127659575,0.8823529411764706,34,30,366711.0,10785.617647058823,3806.5,41125.84999999994,4638.029411764706,1837.0,17662.049999999996,31272.0,0.5598445422635864,0.7639943521056972,0.5146776307817627,0.26059246613606896,0.9202533504007634,0.40616833576838923,0.0,0.8687943262411346,0.5707876804278557,0.5373106781723956,0.32433155051806745,0.5,0,-1.0500282506190044,371,148,223,148,223,148,170,2,"{""camera"": 148, ""dphone"": 484, ""phone"": 110}",2e-05,0.0001
