epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6451666528060113,0.32361822800952195,0.20774892746701995,0.9787234042553191,1.0,34,34,1269421.0,37335.91176470588,32974.5,85000.14999999995,11265.411764705883,10076.5,27120.1,48298.0,0.23925991846766867,0.9034559606749388,0.32361822752829583,0.11943102936099717,0.9785441298592855,0.2128801033845773,0.0,0.9468085106382979,0.28463651188355854,0.3486081911951745,0.1261797507962742,0.5,0,-1.4763817719904782,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.6316571907128816,0.3548752902374966,0.23532910515085223,0.9787234042553191,0.8823529411764706,34,30,1397817.0,41112.26470588235,22356.0,147766.24999999985,16447.147058823528,8808.5,56487.64999999996,106972.0,0.2739920552269197,0.9453026851999139,0.3548752898366307,0.10727400789151209,0.9842240971925913,0.193461927377545,0.0,0.9787234042553191,0.2948672309144878,0.3540643814547327,0.13571558594675975,0.5,0,-1.2098305921154446,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.6245415152240825,0.5029271790972512,0.35869504371516325,0.9787234042553191,0.8529411764705882,34,29,431134.0,12680.411764705883,6643.5,50591.99999999993,4756.382352941177,2943.0,16931.999999999985,30191.0,0.4344948177707385,0.8855202448712818,0.5029271785703103,0.24681001049158643,0.962206194743048,0.3928518410115319,0.0,0.9680851063829787,0.4201083764190485,0.47815367983350104,0.24413488663861976,0.5,0,-1.0029551738439253,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 482, ""phone"": 111}",2e-05,0.0001
4,0.6187146028732871,0.41727459328052224,0.2811213589935985,0.9787234042553191,0.8235294117647058,34,28,544981.0,16028.85294117647,7150.5,61359.89999999994,6486.14705882353,2720.5,21256.349999999977,32666.0,0.3443613448502661,0.9159551657173404,0.4172745927252752,0.19434919026864714,0.9787482966980028,0.3243020142033297,0.0,0.9787234042553191,0.4326414533445925,0.4853455367095078,0.1636827245860671,0.5,0,-1.0297842302488895,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 485, ""phone"": 108}",2e-05,0.0001
5,0.6107948395994401,0.5935477774246779,0.45204179369176817,0.9574468085106383,0.7941176470588235,34,27,204283.0,6008.323529411765,1040.0,29413.049999999945,2334.8823529411766,690.5,11223.349999999991,16225.0,0.5612761757710056,0.8574514701759314,0.5935477766607375,0.36240103293372905,0.9271812588606114,0.5211167182830192,0.0,0.9550827423167848,0.5567499762785304,0.5989715940687264,0.3661498283368813,0.5,0,-0.7946875166929691,371,148,223,148,223,148,236,2,"{""camera"": 147, ""dphone"": 484, ""phone"": 111}",2e-05,0.0001
6,0.6066912000670153,0.5320135593043773,0.3895261612657537,0.9361702127659575,0.6470588235294118,34,22,215773.0,6346.264705882353,836.0,27916.54999999997,3091.9117647058824,664.5,12144.799999999981,22385.0,0.49150104377274567,0.8640866854148959,0.5320135585383046,0.308849492981971,0.9326203552044192,0.464029511905319,0.0,0.925531914893617,0.5406699553291927,0.5646916760700295,0.2591322814168781,0.5,0,-0.5621040877544463,371,148,223,148,223,148,236,2,"{""camera"": 154, ""dphone"": 477, ""phone"": 111}",2e-05,0.0001
7,0.6018509177430984,0.48687306029333943,0.3433859630924079,1.0,0.8235294117647058,34,28,588633.0,17312.735294117647,9709.5,59049.14999999998,7391.382352941177,3322.5,31306.399999999998,32524.0,0.3626835271359018,0.9617029120747007,0.4868730600639804,0.19767726669840052,0.9812395909322396,0.32906266299656733,0.0,1.0,0.39319317970860435,0.48247767644132666,0.22605712249182405,0.5,0,-0.9601857632360723,371,148,223,148,223,148,181,2,"{""camera"": 152, ""dphone"": 483, ""phone"": 107}",2e-05,0.0001
8,0.5965671158766234,0.6163750163760922,0.4842247592893067,0.9148936170212766,0.6470588235294118,34,22,146471.0,4307.970588235294,281.0,22275.699999999946,2109.794117647059,225.5,10493.499999999995,18666.0,0.6322325538372519,0.8161190056409333,0.6163750155344915,0.4085313126999262,0.8865428819181589,0.5593201205304033,0.0,0.9078014184397163,0.6597631022381413,0.637619638301877,0.4032487593765829,0.5,0,-0.4777426306827315,371,148,223,148,223,148,181,2,"{""camera"": 151, ""dphone"": 482, ""phone"": 109}",2e-05,0.0001
9,0.5924054900164245,0.2951217985000711,0.1868950899942617,1.0,0.9705882352941176,34,33,855147.0,25151.382352941175,16564.5,83132.04999999987,10898.29411764706,5053.0,36377.099999999984,62922.0,0.1876210949167996,0.996100987938633,0.2951217984208013,0.14675156576058904,0.9932785523882932,0.2557216348565926,0.0,1.0,0.2228849307949788,0.3140038975241055,0.03484739458479157,0.5,0,-1.4460546720881642,371,148,223,148,223,148,177,2,"{""camera"": 155, ""dphone"": 479, ""phone"": 108}",2e-05,0.0001
10,0.5877897989622412,0.5801614993692135,0.4358331895494444,0.9787234042553191,0.7941176470588235,34,27,363613.0,10694.5,2405.5,47983.14999999992,5270.0,1339.0,26673.899999999994,42901.0,0.48629397563871907,0.9258567419169009,0.5801614989590416,0.2688527651063188,0.9645254382705004,0.4204960496049605,0.0,0.9716312056737588,0.5967814329142664,0.6422987724861778,0.3305904179401338,0.5,0,-0.8080737947484335,371,148,223,148,223,148,177,2,"{""camera"": 147, ""dphone"": 485, ""phone"": 110}",2e-05,0.0001
