epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6451697189498831,0.324241806338807,0.20842467237656445,0.9787234042553191,1.0,34,34,1262066.0,37119.58823529412,31885.0,84236.09999999995,11246.176470588236,10116.0,26847.6,48780.0,0.23985456157301924,0.9031133986481646,0.32424180586507056,0.11983085849149376,0.9783858432090439,0.213511259382819,0.0,0.9468085106382979,0.2839934087047561,0.3485157529020633,0.12678544285621043,0.5,0,-1.475758193661193,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.6316428811829767,0.35992635448001525,0.23972239076210616,0.9787234042553191,0.8823529411764706,34,30,1256570.0,36957.94117647059,20454.5,131640.04999999987,14870.20588235294,8241.0,52236.74999999995,106160.0,0.276736150475315,0.9464238048645458,0.35992635408620294,0.1143732543793138,0.9820470822494138,0.20488478186374454,0.0,0.9787234042553191,0.29895117253653675,0.36011207776535314,0.13819097629608668,0.5,0,-1.2047795278729259,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.6243361034380492,0.4705486148516728,0.3384746773153531,0.9361702127659575,0.8235294117647058,34,28,473093.0,13914.5,3780.0,66032.19999999992,6354.382352941177,2237.0,28676.599999999955,60960.0,0.45134440587786084,0.8531293284159902,0.4705486140287922,0.21288891627755677,0.9668400937791053,0.34894376254838244,0.0,0.925531914893617,0.4512258247491199,0.46534593835435006,0.23394347320722167,0.5,0,-0.9765102086777389,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 482, ""phone"": 111}",2e-05,0.0001
4,0.6168682009459817,0.4231532964719649,0.2828428072786043,1.0,0.8823529411764706,34,30,616805.0,18141.323529411766,9972.5,64645.349999999904,7124.676470588235,3793.5,29298.199999999968,44350.0,0.29660285031456207,0.9688757843285605,0.423153296248572,0.18157939397025005,0.9817878591845255,0.3064766418250863,0.0,1.0,0.3147579456611817,0.4162540453789869,0.1594925587780064,0.5,0,-1.1415525858809763,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 485, ""phone"": 108}",2e-05,0.0001
5,0.6120241907655551,0.6466903821144286,0.5043045676012012,0.9787234042553191,0.8235294117647058,34,28,176551.0,5192.676470588235,2459.5,24727.29999999998,2192.794117647059,1131.5,7057.199999999996,11547.0,0.585989727207863,0.8610434515097957,0.6466903816174864,0.41654196464394894,0.9073885455521451,0.5709746917211289,0.0,0.958628841607565,0.608769005340728,0.6421539044466473,0.44257995910365383,0.5,0,-0.8003684414149831,371,148,223,148,223,148,244,2,"{""camera"": 147, ""dphone"": 484, ""phone"": 111}",2e-05,0.0001
6,0.6061894861772099,0.5783681979484142,0.43667144027961396,0.9574468085106383,0.7941176470588235,34,27,252293.0,7420.382352941177,1438.0,30719.349999999962,3574.764705882353,786.0,12802.049999999996,20513.0,0.5325363443105325,0.8743558323758629,0.5783681972390394,0.3157359172694716,0.9360086071233581,0.4721914582139902,0.0,0.9574468085106383,0.5759420525377972,0.6160380833576948,0.35837867349809804,0.5,0,-0.8098670961692328,371,148,223,148,223,148,244,2,"{""camera"": 154, ""dphone"": 477, ""phone"": 111}",2e-05,0.0001
7,0.6012060831310928,0.6697654613749564,0.5241317870898445,1.0,0.7647058823529411,34,26,121246.0,3566.0588235294117,500.5,16052.399999999978,1562.7058823529412,248.0,5453.649999999997,12036.0,0.6033623850177128,0.8802638850116781,0.6697654609728241,0.4448022867599731,0.8988502424767961,0.5951101711326192,0.0,0.9929078014184397,0.611506227974167,0.6909884205628888,0.47721413615120706,0.5,0,-0.6596463033309259,371,148,223,148,223,148,211,2,"{""camera"": 152, ""dphone"": 483, ""phone"": 107}",2e-05,0.0001
8,0.5965411037366878,0.6219435674990849,0.4728429774323316,0.9787234042553191,0.8235294117647058,34,28,159016.0,4676.941176470588,1577.0,22037.649999999958,2201.676470588235,899.0,7099.399999999997,16203.0,0.5496242732316466,0.8788579906620372,0.6219435670409572,0.40911252222504446,0.9237264806683826,0.5670723463702886,0.0,0.9609929078014184,0.5845681699475093,0.63064920285236,0.37531996837256654,0.5,0,-0.8251152560303269,371,148,223,148,223,148,211,2,"{""camera"": 151, ""dphone"": 482, ""phone"": 109}",2e-05,0.0001
9,0.5914534900915176,0.5733038519360025,0.42093188418415833,1.0,0.8235294117647058,34,28,204395.0,6011.617647058823,2139.5,20584.99999999998,2911.5588235294117,1760.0,10698.64999999999,14196.0,0.44761057507362767,0.9391841633936255,0.5733038517094535,0.35410334477249716,0.9442211608605288,0.5150513139281199,0.0,0.9929078014184397,0.542126127500938,0.6187195103994684,0.2893185478312358,0.5,0,-0.8737549715934092,371,148,223,148,223,148,223,2,"{""camera"": 157, ""dphone"": 477, ""phone"": 108}",2e-05,0.0001
10,0.5892599929244288,0.5596598166152744,0.41744883445666947,0.9787234042553191,0.7058823529411765,34,24,160313.0,4715.088235294118,575.5,21130.299999999967,2686.6176470588234,431.0,12108.699999999992,16194.0,0.533025775546134,0.8053285955513791,0.5596598159116095,0.3886620126515285,0.8844392752765429,0.5400166539089414,0.0,0.925531914893617,0.6460395770053944,0.6885417478502585,0.2914547747252982,0.5,0,-0.6521048892670787,371,148,223,148,223,148,223,2,"{""camera"": 149, ""dphone"": 483, ""phone"": 110}",2e-05,0.0001
