epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6451670179764429,0.32172951136269246,0.20627000814820748,0.9787234042553191,1.0,34,34,1293160.0,38034.117647058825,34229.0,86236.34999999996,11439.588235294117,10391.0,27322.149999999998,49122.0,0.23783850643285812,0.9033454270887397,0.3217295108860047,0.11788911182964293,0.9786634183493226,0.21042997575416483,0.0,0.9468085106382979,0.28349081430980194,0.34766638485931894,0.12450551183204318,0.5,0,-1.4782704886373077,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.6316635233384592,0.3604046285003736,0.24005130419473933,0.9787234042553191,0.8823529411764706,34,30,1287808.0,37876.705882352944,20190.5,137310.84999999986,15169.29411764706,8242.5,52831.04999999995,106108.0,0.2773935309608181,0.9461073890983122,0.360404628105715,0.11266084057515613,0.9820402002211425,0.20213276559055707,0.0,0.9787234042553191,0.3020895354266955,0.36253845515599603,0.13919467821906917,0.5,0,-1.2043012538525675,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.6238048627011238,0.44887573740327785,0.3134031641336585,0.9574468085106383,0.8235294117647058,34,28,665741.0,19580.617647058825,9280.0,83996.94999999987,8491.79411764706,3437.0,32212.249999999945,86114.0,0.39456708719287825,0.8918542674544935,0.4488757366951871,0.17913473861269824,0.985038470538037,0.3031415042990158,0.0,0.9468085106382979,0.4155282490389229,0.44443898600616843,0.20999642609294172,0.5,0,-0.9981830861261338,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 482, ""phone"": 111}",2e-05,0.0001
4,0.6182110088075546,0.3780126283237914,0.2538207908485309,0.9787234042553191,0.9411764705882353,34,32,861318.0,25332.882352941175,12344.5,87585.24999999985,9684.088235294117,3495.5,29073.14999999998,93185.0,0.3146019124777734,0.9275774871733239,0.3780126277030498,0.14789088101285738,0.9833248454984653,0.2571123691342074,0.0,0.9787234042553191,0.29014518085386526,0.3455972790768654,0.14628468971552577,0.5,0,-1.3043403128526792,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 485, ""phone"": 108}",2e-05,0.0001
5,0.610604744524725,0.5843421300397038,0.4459998293159874,0.9574468085106383,0.7941176470588235,34,27,302708.0,8903.176470588236,4906.5,33843.19999999996,3275.8823529411766,1858.5,10874.74999999999,14678.0,0.5469982549062831,0.8600726750686108,0.5843421293192974,0.3101681476996938,0.9413972352598424,0.46660197011792626,0.0,0.9550827423167848,0.5205251882035361,0.543091812746315,0.39590675471758163,0.5,0,-0.8038931640779432,371,148,223,148,223,148,243,2,"{""camera"": 148, ""dphone"": 483, ""phone"": 111}",2e-05,0.0001
6,0.6060233453428874,0.5269732351371506,0.3775798134426534,1.0,0.8235294117647058,34,28,356250.0,10477.941176470587,4955.0,39152.549999999996,5013.117647058823,3152.0,14050.949999999986,19913.0,0.4119963736949492,0.9410305980969313,0.5269732348454036,0.27649853596703505,0.9637615331323781,0.42971415362254656,0.0,1.0,0.44960332381781226,0.543603643075519,0.2942808337385679,0.5,0,-0.9200855883922612,371,148,223,148,223,148,243,2,"{""camera"": 155, ""dphone"": 476, ""phone"": 111}",2e-05,0.0001
7,0.6022439013405513,0.6196592658665302,0.4880013717958874,0.9574468085106383,0.7941176470588235,34,27,165989.0,4882.029411764706,1343.5,23785.49999999995,1792.0588235294117,724.5,6762.899999999996,16180.0,0.6760326097177692,0.7736921200063918,0.6196592651048648,0.3783785879850669,0.8953748181997532,0.5319564332982839,0.0,0.9290780141843971,0.5872520644038389,0.5911171851889919,0.44499733847658995,0.5,0,-0.7685760282511168,371,148,223,148,223,148,231,2,"{""camera"": 152, ""dphone"": 483, ""phone"": 107}",2e-05,0.0001
8,0.5996780047814051,0.4937295541813015,0.34786961349686546,0.9787234042553191,0.8235294117647058,34,28,218474.0,6425.705882352941,2057.0,27662.69999999994,2392.764705882353,960.5,9361.099999999993,15964.0,0.4094801935189797,0.9063304987459315,0.4937295537477621,0.3197385761501702,0.9138805922214729,0.4737327156060181,0.0,0.9787234042553191,0.42202087755408985,0.4896037972737108,0.2203483280824561,0.5,0,-0.9533292693481102,371,148,223,148,223,148,231,2,"{""camera"": 151, ""dphone"": 482, ""phone"": 109}",2e-05,0.0001
9,0.5918836817946486,0.5915208447020328,0.4384159938593672,0.9787234042553191,0.8529411764705882,34,29,137953.0,4057.4411764705883,1415.0,16624.54999999997,1768.5,900.0,6145.049999999997,11873.0,0.5171845718927974,0.8872845503277488,0.5915208442097181,0.42075175341741444,0.9309870204946802,0.5795711846724976,0.0,0.9716312056737588,0.5699856644919825,0.6132749889411176,0.33421999880497866,0.5,0,-0.9143615082391436,371,148,223,148,223,148,229,2,"{""camera"": 155, ""dphone"": 478, ""phone"": 109}",2e-05,0.0001
10,0.5874759679840457,0.4668476657922862,0.32579933372198727,1.0,0.9705882352941176,34,33,509138.0,14974.64705882353,10470.0,48864.549999999916,4821.411764705882,2480.0,17188.85,31067.0,0.3436626905280131,0.9619826890580855,0.46684766557721125,0.2218735938889761,0.9728136943186563,0.36133584524317724,0.0,1.0,0.30196540192229215,0.39543846307766123,0.19935615260452966,0.5,0,-1.2743288047959491,371,148,223,148,223,148,229,2,"{""camera"": 147, ""dphone"": 484, ""phone"": 111}",2e-05,0.0001
