epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,pixel_precision_defect_macro,pixel_recall_defect_macro,pixel_f1_defect_macro,pixel_precision_labeled_micro,pixel_recall_labeled_micro,pixel_f1_labeled_micro,pixel_auprc_all_labeled,component_recall_3px,component_precision_3px,component_f1_3px,boundary_f1_3px,threshold,min_area,stage2_score,normal_budget_count,requested_hard_normal_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,hard_normal_max_repeats_per_epoch,train_device_counts_json,lr_encoder,lr_decoder
1,0.6451637851603237,0.32238415861971903,0.20679909201510377,0.9787234042553191,1.0,34,34,1270493.0,37367.44117647059,32433.0,84969.44999999995,11253.176470588236,10003.0,27009.5,48428.0,0.2381768991457434,0.9037608452148211,0.32238415814469007,0.11914293526850865,0.9785533058969806,0.21242254242846093,0.0,0.9468085106382979,0.280013060529875,0.34423044989673707,0.12510911247622683,0.5,0,-1.4776158413802811,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
2,0.6316191815299752,0.36791062842065286,0.24523455914793368,0.9787234042553191,0.8823529411764706,34,30,1172434.0,34483.35294117647,17912.0,124788.14999999986,14240.85294117647,8117.0,50573.49999999995,102787.0,0.28651869935636914,0.9405600269644889,0.36791062800456753,0.11972773749895259,0.9800627640978349,0.2133873627423338,0.0,0.9787234042553191,0.3062852744373076,0.3700300422043594,0.14533891059008316,0.5,0,-1.1967952539322884,371,0,371,0,274,0,0,2,"{""camera"": 156, ""dphone"": 375, ""phone"": 114}",2e-05,0.0001
3,0.6237636851847813,0.5329172971110631,0.3937527986785148,0.9148936170212766,0.8235294117647058,34,28,232633.0,6842.14705882353,1545.0,36940.899999999936,3164.3823529411766,916.0,16452.549999999992,28198.0,0.5391633227879106,0.8160761578348156,0.5329172962475687,0.3251165995041895,0.940754912621181,0.4832323584638308,0.0,0.9042553191489362,0.5149907267000859,0.5091642523372403,0.2785603744143691,0.5,0,-0.9141415264183487,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 482, ""phone"": 111}",2e-05,0.0001
4,0.6178588907827031,0.5308457301731405,0.384309631795116,0.9787234042553191,0.7941176470588235,34,27,364465.0,10719.558823529413,4410.5,42140.19999999994,4401.205882352941,2678.5,14920.849999999979,27154.0,0.4292368630740098,0.910457943386146,0.5308457297269469,0.2711025825991687,0.9638601755376011,0.4231787252385998,0.0,0.9787234042553191,0.3899741750835519,0.4635292778048392,0.26102673329048726,0.5,0,-0.8573895639445065,371,148,223,148,223,148,244,2,"{""camera"": 149, ""dphone"": 485, ""phone"": 108}",2e-05,0.0001
5,0.6110730167197925,0.5981593873675219,0.4550853494616823,0.9787234042553191,0.7941176470588235,34,27,249052.0,7325.058823529412,2938.0,33112.54999999995,2953.0588235294117,1194.0,13365.749999999995,19592.0,0.5524913701178431,0.8454367366909316,0.5981593868058509,0.3333431135686514,0.9121876132667153,0.48826006876227895,0.0,0.9680851063829787,0.503468773812077,0.5513624680749347,0.4182396517911512,0.5,0,-0.7900759067501251,371,148,223,148,223,148,238,2,"{""camera"": 147, ""dphone"": 483, ""phone"": 112}",2e-05,0.0001
6,0.606469793185111,0.542535920094153,0.39479515535110865,1.0,0.8529411764705882,34,29,430130.0,12650.882352941177,5492.5,50999.24999999994,4507.411764705882,2039.0,18092.45,22369.0,0.41553048481891447,0.9418893939329558,0.5425359198799995,0.239531878756804,0.9602287586197404,0.38341881109125436,0.0,1.0,0.3214146247587313,0.426168976683786,0.31704464698407675,0.5,0,-0.9633464328470235,371,148,223,148,223,148,238,2,"{""camera"": 154, ""dphone"": 476, ""phone"": 112}",2e-05,0.0001
7,0.6017996009479287,0.45680360487301364,0.31854021867075466,1.0,1.0,34,34,279494.0,8220.411764705883,3332.0,38938.19999999994,3237.676470588235,1539.5,9881.399999999987,30073.0,0.32536290014475217,0.9675404020713441,0.45680360470777637,0.281646466331323,0.9644956161479912,0.4359804325677977,0.0,1.0,0.26701619598115983,0.37706346488396325,0.1775783128746265,0.5,0,-1.3431963951269865,371,148,223,148,223,148,241,2,"{""camera"": 153, ""dphone"": 482, ""phone"": 107}",2e-05,0.0001
8,0.5965919589454477,0.582527197511697,0.43546620641151657,0.9787234042553191,0.8235294117647058,34,28,233530.0,6868.529411764706,2158.5,27804.64999999997,2807.1176470588234,1125.5,8333.649999999996,22380.0,0.5263050339255385,0.8561239056943694,0.5825271969771519,0.339847160476482,0.9322326676117986,0.49810808723758676,0.0,0.9680851063829787,0.5475029736525961,0.5970792420971285,0.34839691418083457,0.5,0,-0.8645316260177147,371,148,223,148,223,148,241,2,"{""camera"": 152, ""dphone"": 481, ""phone"": 109}",2e-05,0.0001
9,0.5915979813503963,0.4435673212540714,0.31196860871168747,1.0,1.0,34,34,600410.0,17659.117647058825,10814.0,65076.44999999996,5865.35294117647,3527.5,22353.25,24784.0,0.31741488780001337,0.9730943105579504,0.4435673211404182,0.211454308417741,0.9662849434985479,0.34697852539007396,0.0,1.0,0.2972467793155197,0.4090409759156046,0.18314237281889528,0.5,0,-1.3564326787459287,371,148,223,148,223,148,225,2,"{""camera"": 155, ""dphone"": 479, ""phone"": 108}",2e-05,0.0001
10,0.5883496556690032,0.6086288267311101,0.47106709861816337,0.9574468085106383,0.7941176470588235,34,27,156559.0,4604.676470588235,969.0,26593.64999999995,2169.764705882353,778.0,10340.44999999998,16728.0,0.5821349603508849,0.8334143389976447,0.6086288261138648,0.38761917705213683,0.8963681242802546,0.541203911142629,0.0,0.9503546099290779,0.5841678300376673,0.6210482902163659,0.40483333897668106,0.5,0,-0.7796064673865369,371,148,223,148,223,148,225,2,"{""camera"": 147, ""dphone"": 485, ""phone"": 110}",2e-05,0.0001
