epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,train_device_counts_json,lr_encoder,lr_decoder
1,0.670440034866333,0.6988173478602219,0.5682475677462546,0.9814814814814815,0.1875,16,3,788.0,49.25,0.0,253.25,49.25,0.0,253.25,590.0,0.9,48,0.5238173478602219,157,157,0,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
2,0.6649059295654297,0.6961020111185646,0.5731086949591793,0.9629629629629629,0.1875,16,3,727.0,45.4375,0.0,272.75,45.4375,0.0,272.75,443.0,0.9,32,0.5211020111185647,157,157,0,43,0,0,"{""camera"": 116, ""phone"": 84}",2e-05,0.0001
3,0.6700269480168592,0.6003188674977259,0.4914550900658409,0.8518518518518519,0.0625,16,1,324.0,20.25,0.0,81.0,20.25,0.0,81.0,324.0,0.9,48,0.6003188674977259,157,94,63,43,63,4,"{""camera"": 163, ""phone"": 100}",2e-05,0.0001
4,0.6651632880983244,0.6981664086012045,0.5753592721648172,0.9444444444444444,0.125,16,2,712.0,44.5,0.0,280.5,28.1875,0.0,168.25,340.0,0.88,24,0.6481664086012044,157,94,63,43,63,4,"{""camera"": 163, ""phone"": 100}",2e-05,0.0001
5,0.6625145297540005,0.6881141677125675,0.5496796959289391,0.9629629629629629,0.1875,16,3,1785.0,111.5625,0.0,495.5,81.3125,0.0,366.25,1036.0,0.9,48,0.5131141677125675,157,94,63,43,63,8,"{""camera"": 140, ""phone"": 123}",2e-05,0.0001
6,0.6601593528410328,0.7128754615745905,0.5935908736879822,0.9444444444444444,0.0625,16,1,241.0,15.0625,0.0,60.25,15.0625,0.0,60.25,241.0,0.82,8,0.7128754615745905,157,94,63,43,63,8,"{""camera"": 140, ""phone"": 123}",2e-05,0.0001
7,0.6579728756567371,0.7376452646082811,0.6153448483511791,0.9629629629629629,0.0625,16,1,39.0,2.4375,0.0,9.75,2.4375,0.0,9.75,39.0,0.82,8,0.7376452646082811,157,94,63,43,63,3,"{""camera"": 158, ""phone"": 105}",2e-05,0.0001
8,0.655766707182837,0.7539865864764786,0.6229199498923769,1.0,0.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,16,0.7539865864764786,157,94,63,43,63,3,"{""camera"": 158, ""phone"": 105}",2e-05,0.0001
9,0.654231015720295,0.7356740505374975,0.6079773775177179,0.9814814814814815,0.0625,16,1,13.0,0.8125,0.0,3.25,0.8125,0.0,3.25,13.0,0.84,8,0.7356740505374975,157,94,63,43,63,3,"{""camera"": 157, ""phone"": 106}",2e-05,0.0001
10,0.65170163573421,0.7345555823878246,0.6060475596624185,0.9814814814814815,0.0625,16,1,298.0,18.625,0.0,74.5,18.625,0.0,74.5,298.0,0.84,16,0.7345555823878246,157,94,63,43,63,3,"{""camera"": 157, ""phone"": 106}",2e-05,0.0001
