threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,stage2_score
0.1,0,0.017187308078439614,0.008809670389708814,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126919215603
0.1,8,0.017187308078439614,0.008809670389708814,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126919215603
0.1,16,0.017187308078439614,0.008809670389708814,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126919215603
0.1,24,0.017187308078439614,0.008809670389708814,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126919215603
0.1,32,0.017187308078439614,0.008809670389708814,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126919215603
0.1,48,0.017187308078439614,0.008809670389708814,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828126919215603
0.12,0,0.01718759493985073,0.008809822463875794,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828124050601493
0.12,8,0.01718759493985073,0.008809822463875794,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828124050601493
0.12,16,0.01718759493985073,0.008809822463875794,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828124050601493
0.12,24,0.01718759493985073,0.008809822463875794,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828124050601493
0.12,32,0.01718759493985073,0.008809822463875794,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828124050601493
0.12,48,0.01718759493985073,0.008809822463875794,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828124050601493
0.14,0,0.017189241455803347,0.008810694430672618,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828107585441968
0.14,8,0.017189248346953775,0.008810698139146084,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828107516530463
0.14,16,0.017189248346953775,0.008810698139146084,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828107516530463
0.14,24,0.017189248346953775,0.008810698139146084,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828107516530463
0.14,32,0.017189248346953775,0.008810698139146084,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828107516530463
0.14,48,0.017189248346953775,0.008810698139146084,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.7828107516530463
0.16,0,0.017569214316417187,0.009016780453953474,1.0,1.0,59,59,24162480.0,409533.5593220339,409600.0,409600.0,409533.5593220339,409600.0,409600.0,409600.0,-1.7824307856835828
0.16,8,0.017569905445408193,0.009017160198568793,1.0,1.0,59,59,24162480.0,409533.5593220339,409600.0,409600.0,409533.5593220339,409600.0,409600.0,409600.0,-1.782430094554592
0.16,16,0.017570632797183586,0.009017558113486016,1.0,1.0,59,59,24162480.0,409533.5593220339,409600.0,409600.0,409533.5593220339,409600.0,409600.0,409600.0,-1.7824293672028164
0.16,24,0.017571446213735218,0.009018003452597848,1.0,1.0,59,59,24162480.0,409533.5593220339,409600.0,409600.0,409533.5593220339,409600.0,409600.0,409600.0,-1.7824285537862647
0.16,32,0.017572260917726092,0.009018451419600783,1.0,1.0,59,59,24162480.0,409533.5593220339,409600.0,409600.0,409533.5593220339,409600.0,409600.0,409600.0,-1.782427739082274
0.16,48,0.017573797461785886,0.009019298468079756,1.0,1.0,59,59,24162480.0,409533.5593220339,409600.0,409600.0,409533.5593220339,409600.0,409600.0,409600.0,-1.7824262025382143
0.18,0,0.026916094005452168,0.014228321899743305,1.0,1.0,59,59,23808298.0,403530.4745762712,409385.0,409600.0,403483.69491525425,409385.0,409600.0,409600.0,-1.7730839059945478
0.18,8,0.026931572493645955,0.014237251388412827,1.0,1.0,59,59,23808089.0,403526.9322033898,409385.0,409600.0,403483.69491525425,409385.0,409600.0,409600.0,-1.7730684275063542
0.18,16,0.026949722332607135,0.01424772580200992,1.0,1.0,59,59,23807801.0,403522.0508474576,409385.0,409600.0,403483.69491525425,409385.0,409600.0,409600.0,-1.7730502776673929
0.18,24,0.02696682934107968,0.014257651579832439,1.0,1.0,59,59,23807622.0,403519.0169491525,409385.0,409600.0,403483.69491525425,409385.0,409600.0,409600.0,-1.7730331706589204
0.18,32,0.02697903495387356,0.014264619445668678,1.0,1.0,59,59,23807468.0,403516.406779661,409385.0,409600.0,403483.69491525425,409385.0,409600.0,409600.0,-1.7730209650461264
0.18,48,0.027005365070115746,0.014279816209351872,1.0,1.0,59,59,23807031.0,403509.0,409385.0,409600.0,403483.69491525425,409385.0,409600.0,409600.0,-1.7729946349298844
