stage2 fold=3 gpu=3 started 2026-05-09T01:05:16+02:00
fold = 3
device = cuda
stage1_checkpoint = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/experiments/p0_a40_20260508/stage1/fold3/best_stage1.pt
defect_train_count = 159
defect_val_count = 52
normal_train_count = 45
normal_val_count = 14
save_dir = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/experiments/p0_a40_e50_bs48_20260509/stage2/fold3
epoch 1/50 | random_normal=45 | hard_normal=0 | hard_pool=0 | train_loss=0.668466 | defect_dice=0.600978 | defect_iou=0.459973 | defect_recall=1.000000 | normal_fpr=0.142857 | normal_fp=2/14 | thr=0.90 | min_area=24 | stage2_score=0.515263 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 2/50 | random_normal=45 | hard_normal=0 | hard_pool=0 | train_loss=0.665415 | defect_dice=0.642944 | defect_iou=0.519827 | defect_recall=0.923077 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.86 | min_area=48 | stage2_score=0.642944 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 3/50 | random_normal=45 | hard_normal=64 | hard_pool=4 | train_loss=0.667334 | defect_dice=0.682078 | defect_iou=0.560143 | defect_recall=0.961538 | normal_fpr=0.071429 | normal_fp=1/14 | thr=0.84 | min_area=0 | stage2_score=0.682078 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 4/50 | random_normal=45 | hard_normal=64 | hard_pool=4 | train_loss=0.665567 | defect_dice=0.609335 | defect_iou=0.464260 | defect_recall=1.000000 | normal_fpr=0.214286 | normal_fp=3/14 | thr=0.90 | min_area=48 | stage2_score=0.380764 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 5/50 | random_normal=45 | hard_normal=64 | hard_pool=18 | train_loss=0.664104 | defect_dice=0.683479 | defect_iou=0.564030 | defect_recall=0.961538 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.90 | min_area=32 | stage2_score=0.683479 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 6/50 | random_normal=45 | hard_normal=64 | hard_pool=18 | train_loss=0.662568 | defect_dice=0.666847 | defect_iou=0.546197 | defect_recall=0.961538 | normal_fpr=0.071429 | normal_fp=1/14 | thr=0.90 | min_area=8 | stage2_score=0.666847 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 7/50 | random_normal=45 | hard_normal=64 | hard_pool=7 | train_loss=0.661394 | defect_dice=0.677042 | defect_iou=0.554946 | defect_recall=1.000000 | normal_fpr=0.071429 | normal_fp=1/14 | thr=0.90 | min_area=8 | stage2_score=0.677042 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 8/50 | random_normal=45 | hard_normal=64 | hard_pool=7 | train_loss=0.660942 | defect_dice=0.676002 | defect_iou=0.552541 | defect_recall=0.980769 | normal_fpr=0.071429 | normal_fp=1/14 | thr=0.90 | min_area=32 | stage2_score=0.676002 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 9/50 | random_normal=45 | hard_normal=64 | hard_pool=4 | train_loss=0.658636 | defect_dice=0.700986 | defect_iou=0.577087 | defect_recall=1.000000 | normal_fpr=0.071429 | normal_fp=1/14 | thr=0.80 | min_area=8 | stage2_score=0.700986 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 10/50 | random_normal=45 | hard_normal=64 | hard_pool=4 | train_loss=0.657797 | defect_dice=0.684755 | defect_iou=0.553662 | defect_recall=0.961538 | normal_fpr=0.071429 | normal_fp=1/14 | thr=0.78 | min_area=8 | stage2_score=0.684755 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 11/50 | random_normal=45 | hard_normal=64 | hard_pool=2 | train_loss=0.656525 | defect_dice=0.707134 | defect_iou=0.574915 | defect_recall=0.980769 | normal_fpr=0.000000 | normal_fp=0/14 | thr=0.82 | min_area=24 | stage2_score=0.707134 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
