epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,threshold,min_area,stage2_score,normal_budget_count,target_random_normal_count,target_hard_normal_count,random_normal_count,hard_normal_count,hard_pool_size,train_device_counts_json,lr_encoder,lr_decoder
1,0.6358209559232881,0.7603076575968083,0.6346985438590321,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,8,0.7603076575968083,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
2,0.6337378621101379,0.7278954435244361,0.6038102091844113,0.9811320754716981,0.06666666666666667,15,1,847.0,56.46666666666667,0.0,254.09999999999908,56.46666666666667,0.0,254.09999999999908,847.0,0.76,24,0.7278954435244361,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
3,0.6322111363458162,0.7686376197031565,0.649873287308213,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,0.7686376197031565,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
4,0.6314690461253175,0.7852161942229589,0.6718241580329377,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,8,0.7852161942229589,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
5,0.6304595110440018,0.785335890318717,0.6744771087376502,0.9811320754716981,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,48,0.785335890318717,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
6,0.6291195685320562,0.8030223253222974,0.6930300051651401,0.9811320754716981,0.06666666666666667,15,1,71.0,4.733333333333333,0.0,21.299999999999926,4.733333333333333,0.0,21.299999999999926,71.0,0.9,48,0.8030223253222974,158,158,0,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
7,0.6331488739769414,0.8061709296711094,0.6924902582240507,1.0,0.06666666666666667,15,1,70.0,4.666666666666667,0.0,20.999999999999925,4.666666666666667,0.0,20.999999999999925,70.0,0.8,48,0.8061709296711094,158,95,63,44,63,1,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
8,0.6314982076860823,0.8028738277216353,0.6877656865002061,1.0,0.06666666666666667,15,1,62.0,4.133333333333334,0.0,18.599999999999934,4.133333333333334,0.0,18.599999999999934,62.0,0.84,24,0.8028738277216353,158,95,63,44,63,1,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
9,0.6304535933260648,0.8073626774916409,0.6950232265287112,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,24,0.8073626774916409,158,95,63,44,63,3,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
10,0.6305110013709878,0.7880702815617268,0.6688125027226389,1.0,0.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,48,0.7880702815617268,158,95,63,44,63,3,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
11,0.6294510940335831,0.7859419211759555,0.6678819740569503,0.9811320754716981,0.13333333333333333,15,2,772.0,51.46666666666667,0.0,284.7999999999995,41.93333333333333,0.0,241.8999999999996,496.0,0.9,48,0.7192752545092889,158,95,63,44,63,2,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
12,0.6286480755176185,0.7787368739786308,0.660110927251812,1.0,0.13333333333333333,15,2,921.0,61.4,0.0,373.8999999999995,39.86666666666667,0.0,276.9999999999999,354.0,0.9,48,0.7120702073119641,158,95,63,44,63,2,"{""camera"": 116, ""phone"": 149}",2e-05,0.0001
13,0.6268832139249118,0.7965706705958961,0.6874196924571836,0.9811320754716981,0.13333333333333333,15,2,309.0,20.6,0.0,114.69999999999979,17.8,0.0,102.09999999999982,212.0,0.9,16,0.7299040039292295,158,95,63,44,63,8,"{""camera"": 147, ""phone"": 118}",2e-05,0.0001
