sample_id,image_name,image_path,mask_path,json_path,sample_type,is_labeled,source_split,device,defect_class,holdout_reason,cv_fold,split,video_id,video_name,frame_id,is_hard_normal,hard_score,hard_fp_pixel_count,hard_largest_fp_area,hard_max_prob,source_epoch
camera_normal_camera114,camera114.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera114.png,,,normal,False,trainval_pool,camera,normal,,0,trainval,,,,1,1246001982.9995117,1982,1246,0.99951171875,4
camera_normal_camera019,camera019.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera019.png,,,normal,False,trainval_pool,camera,normal,,0,trainval,,,,1,944001028.9819336,1028,944,0.98193359375,4
phone_normal_phone160,phone160.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/phone/normal/phone160.png,,,normal,False,trainval_pool,phone,normal,,2,trainval,,,,1,891000970.9897461,970,891,0.98974609375,4
camera_normal_camera022,camera022.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera022.png,,,normal,False,trainval_pool,camera,normal,,2,trainval,,,,1,609000778.965332,778,609,0.96533203125,4
phone_normal_phone034,phone034.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/phone/normal/phone034.png,,,normal,False,trainval_pool,phone,normal,,1,trainval,,,,1,413000413.9785156,413,413,0.978515625,4
phone_normal_phone269,phone269.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/phone/normal/phone269.png,,,normal,False,trainval_pool,phone,normal,,2,trainval,,,,1,396000396.9609375,396,396,0.9609375,4
camera_normal_camera068,camera068.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera068.png,,,normal,False,trainval_pool,camera,normal,,0,trainval,,,,1,345000558.9794922,558,345,0.9794921875,4
camera_normal_camera015,camera015.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera015.png,,,normal,False,trainval_pool,camera,normal,,1,trainval,,,,1,314000466.95947266,466,314,0.95947265625,4
phone_normal_phone044,phone044.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/phone/normal/phone044.png,,,normal,False,trainval_pool,phone,normal,,0,trainval,,,,1,313000313.9897461,313,313,0.98974609375,4
camera_normal_camera089,camera089.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera089.png,,,normal,False,trainval_pool,camera,normal,,1,trainval,,,,1,236000294.98486328,294,236,0.98486328125,4
camera_normal_camera103,camera103.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera103.png,,,normal,False,trainval_pool,camera,normal,,1,trainval,,,,1,217000217.93652344,217,217,0.9365234375,4
phone_normal_phone293,phone293.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/phone/normal/phone293.png,,,normal,False,trainval_pool,phone,normal,,2,trainval,,,,1,200000200.97314453,200,200,0.97314453125,4
camera_normal_camera108,camera108.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera108.png,,,normal,False,trainval_pool,camera,normal,,2,trainval,,,,1,198000198.96972656,198,198,0.9697265625,4
camera_normal_camera050,camera050.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera050.png,,,normal,False,trainval_pool,camera,normal,,1,trainval,,,,1,122000122.97558594,122,122,0.9755859375,4
camera_normal_camera118,camera118.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera118.png,,,normal,False,trainval_pool,camera,normal,,0,trainval,,,,1,100000100.95019531,100,100,0.9501953125,4
camera_normal_camera073,camera073.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera073.png,,,normal,False,trainval_pool,camera,normal,,0,trainval,,,,1,95000095.94824219,95,95,0.9482421875,4
camera_normal_camera005,camera005.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera005.png,,,normal,False,trainval_pool,camera,normal,,2,trainval,,,,1,78000078.93066406,78,78,0.9306640625,4
camera_normal_camera085,camera085.png,/mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/dataset0505_crop640_roi/camera/normal/camera085.png,,,normal,False,trainval_pool,camera,normal,,1,trainval,,,,1,57000156.93701172,156,57,0.93701171875,4
