threshold,min_area,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_count,normal_fp_count,normal_fp_pixel_sum,normal_fp_pixel_mean,normal_fp_pixel_median,normal_fp_pixel_p95,normal_largest_fp_area_mean,normal_largest_fp_area_median,normal_largest_fp_area_p95,normal_largest_fp_area_max,stage2_score
0.1,0,0.017187344391255972,0.008809689492322064,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782812655608744
0.1,8,0.017187344391255972,0.008809689492322064,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782812655608744
0.1,16,0.017187344391255972,0.008809689492322064,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782812655608744
0.1,24,0.017187344391255972,0.008809689492322064,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782812655608744
0.1,32,0.017187344391255972,0.008809689492322064,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782812655608744
0.1,48,0.017187344391255972,0.008809689492322064,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782812655608744
0.12,0,0.017189673671575013,0.00881091715456213,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782810326328425
0.12,8,0.017189673671575013,0.00881091715456213,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782810326328425
0.12,16,0.017189673671575013,0.00881091715456213,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782810326328425
0.12,24,0.017189673671575013,0.00881091715456213,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782810326328425
0.12,32,0.017189673671575013,0.00881091715456213,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782810326328425
0.12,48,0.017189673671575013,0.00881091715456213,1.0,1.0,59,59,24166400.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,409600.0,-1.782810326328425
0.14,0,0.019161627083497834,0.00988230659134405,1.0,1.0,59,59,24165341.0,409582.0508474576,409600.0,409600.0,409582.0508474576,409600.0,409600.0,409600.0,-1.7808383729165023
0.14,8,0.019164535577680303,0.009883922714782539,1.0,1.0,59,59,24165341.0,409582.0508474576,409600.0,409600.0,409582.0508474576,409600.0,409600.0,409600.0,-1.7808354644223197
0.14,16,0.01916836626518715,0.009886047060891115,1.0,1.0,59,59,24165341.0,409582.0508474576,409600.0,409600.0,409582.0508474576,409600.0,409600.0,409600.0,-1.780831633734813
0.14,24,0.019172010808378468,0.009888073990743379,1.0,1.0,59,59,24165341.0,409582.0508474576,409600.0,409600.0,409582.0508474576,409600.0,409600.0,409600.0,-1.7808279891916217
0.14,32,0.01917524196526908,0.009889868664571455,1.0,1.0,59,59,24165341.0,409582.0508474576,409600.0,409600.0,409582.0508474576,409600.0,409600.0,409600.0,-1.780824758034731
0.14,48,0.01918230383318155,0.009893813900920454,1.0,1.0,59,59,24165341.0,409582.0508474576,409600.0,409600.0,409582.0508474576,409600.0,409600.0,409600.0,-1.7808176961668185
0.16,0,0.02840564414862871,0.015349070897461804,1.0,1.0,59,59,24116832.0,408759.86440677964,409600.0,409600.0,408749.10169491527,409600.0,409600.0,409600.0,-1.7715943558513714
0.16,8,0.028413672045867217,0.015354143939433434,1.0,1.0,59,59,24116798.0,408759.28813559323,409600.0,409600.0,408749.10169491527,409600.0,409600.0,409600.0,-1.7715863279541328
0.16,16,0.028424158228715104,0.015360710684912463,1.0,1.0,59,59,24116777.0,408758.9322033898,409600.0,409600.0,408749.10169491527,409600.0,409600.0,409600.0,-1.771575841771285
0.16,24,0.02842949193441464,0.015363930208971971,1.0,1.0,59,59,24116757.0,408758.593220339,409600.0,409600.0,408749.10169491527,409600.0,409600.0,409600.0,-1.7715705080655855
0.16,32,0.028435971809147174,0.015367950380456996,1.0,1.0,59,59,24116757.0,408758.593220339,409600.0,409600.0,408749.10169491527,409600.0,409600.0,409600.0,-1.771564028190853
0.16,48,0.028448568444892793,0.0153757363486288,1.0,1.0,59,59,24116724.0,408758.0338983051,409600.0,409600.0,408749.10169491527,409600.0,409600.0,409600.0,-1.7715514315551073
0.18,0,0.048020607238353975,0.028772845790087653,1.0,1.0,59,59,23837597.0,404027.0677966102,409600.0,409600.0,404001.9322033898,409600.0,409600.0,409600.0,-1.751979392761646
0.18,8,0.04803921521401722,0.02878751480311834,1.0,1.0,59,59,23837473.0,404024.9661016949,409600.0,409600.0,404001.9322033898,409600.0,409600.0,409600.0,-1.7519607847859828
0.18,16,0.048062166157872434,0.028805215075392236,1.0,1.0,59,59,23837387.0,404023.5084745763,409600.0,409600.0,404001.9322033898,409600.0,409600.0,409600.0,-1.7519378338421276
0.18,24,0.04808763355605555,0.028826130240334646,1.0,1.0,59,59,23837304.0,404022.10169491527,409600.0,409600.0,404001.9322033898,409600.0,409600.0,409600.0,-1.7519123664439444
0.18,32,0.04810157902449651,0.0288374284984941,1.0,1.0,59,59,23837231.0,404020.86440677964,409600.0,409600.0,404001.9322033898,409600.0,409600.0,409600.0,-1.7518984209755035
0.18,48,0.04812158869272464,0.028852712079384977,1.0,1.0,59,59,23837010.0,404017.1186440678,409600.0,409600.0,404001.9322033898,409600.0,409600.0,409600.0,-1.7518784113072754
0.2,0,0.07475576927381078,0.049275745201437404,1.0,1.0,59,59,22986677.0,389604.69491525425,407583.0,409600.0,389320.7966101695,407583.0,409600.0,409600.0,-1.7252442307261893
0.2,8,0.07478998871973466,0.04930642040350557,1.0,1.0,59,59,22986270.0,389597.7966101695,407583.0,409600.0,389320.7966101695,407583.0,409600.0,409600.0,-1.7252100112802653
0.2,16,0.07483541351671824,0.0493486124050767,1.0,1.0,59,59,22985661.0,389587.4745762712,407583.0,409600.0,389320.7966101695,407583.0,409600.0,409600.0,-1.7251645864832819
0.2,24,0.07489104626259684,0.04940146390201502,1.0,1.0,59,59,22985228.0,389580.13559322036,407583.0,409600.0,389320.7966101695,407583.0,409600.0,409600.0,-1.7251089537374031
0.2,32,0.0749359218468799,0.04944349396461218,1.0,1.0,59,59,22984955.0,389575.5084745763,407583.0,409600.0,389320.7966101695,407583.0,409600.0,409600.0,-1.7250640781531201
0.2,48,0.07503810760062597,0.04954334578186173,1.0,1.0,59,59,22984214.0,389562.9491525424,407583.0,409600.0,389320.7966101695,407583.0,409600.0,409600.0,-1.7249618923993741
0.22,0,0.11290620054831357,0.0776581184431536,1.0,1.0,59,59,20679414.0,350498.5423728814,376943.0,408299.4,348356.27118644066,376306.0,408299.4,409019.0,-1.6870937994516866
0.22,8,0.11298649737329217,0.077729144682217,1.0,1.0,59,59,20677973.0,350474.1186440678,376917.0,408299.4,348356.27118644066,376306.0,408299.4,409019.0,-1.687013502626708
0.22,16,0.11312013221843725,0.07785473803212926,1.0,1.0,59,59,20676108.0,350442.5084745763,376896.0,408299.4,348356.27118644066,376306.0,408299.4,409019.0,-1.6868798677815628
0.22,24,0.11320409722534604,0.07792834386091069,1.0,1.0,59,59,20674330.0,350412.3728813559,376880.0,408299.4,348356.27118644066,376306.0,408299.4,409019.0,-1.686795902774654
0.22,32,0.11329284555807154,0.07800798900345031,1.0,1.0,59,59,20672877.0,350387.74576271186,376880.0,408299.4,348356.27118644066,376306.0,408299.4,409019.0,-1.6867071544419285
0.22,48,0.11347290853090818,0.07817602058459629,1.0,1.0,59,59,20670178.0,350342.0,376880.0,408299.4,348356.27118644066,376306.0,408299.4,409019.0,-1.686527091469092
0.24,0,0.1604685953537432,0.11403947888890717,1.0,1.0,59,59,16494080.0,279560.6779661017,289719.0,393850.39999999997,273548.86440677964,281652.0,391564.7,399633.0,-1.6395314046462568
0.24,8,0.16061569388561647,0.11417989139981168,1.0,1.0,59,59,16491471.0,279516.4576271186,289674.0,393850.1,273548.86440677964,281652.0,391564.7,399633.0,-1.6393843061143836
0.24,16,0.16074095283365053,0.1142943062886401,1.0,1.0,59,59,16488433.0,279464.9661016949,289618.0,393850.1,273548.86440677964,281652.0,391564.7,399633.0,-1.6392590471663495
0.24,24,0.16085746436104867,0.11440408531990089,1.0,1.0,59,59,16486025.0,279424.1525423729,289618.0,393850.1,273548.86440677964,281652.0,391564.7,399633.0,-1.6391425356389513
0.24,32,0.1609529394448276,0.11449560470460722,1.0,1.0,59,59,16483716.0,279385.0169491525,289481.0,393850.1,273548.86440677964,281652.0,391564.7,399633.0,-1.6390470605551724
0.24,48,0.16116335738779364,0.11467480435472287,1.0,1.0,59,59,16478654.0,279299.22033898305,289368.0,393821.3,273548.86440677964,281652.0,391564.7,399633.0,-1.6388366426122065
0.26,0,0.2536218420603389,0.18315232711252413,1.0,1.0,59,59,10231912.0,173422.2372881356,146425.0,348841.69999999995,157306.4745762712,126861.0,348837.99999999994,381090.0,-1.5463781579396612
