fold = 0
device = cuda
base_train_patch_count = 1173
val_patch_count = 425
save_dir = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/stage1/fold0
epoch 1/30 | encoder_frozen=True | train_patches=1173 | replay_patches=0 | train_loss=0.827044 | val_loss=0.862840 | patch_dice_all=0.366279 | patch_dice_pos_only=0.450987 | positive_recall=0.984520 | negative_fpr=0.901961 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 2/30 | encoder_frozen=True | train_patches=1173 | replay_patches=0 | train_loss=0.745078 | val_loss=0.806447 | patch_dice_all=0.158233 | patch_dice_pos_only=0.198914 | positive_recall=1.000000 | negative_fpr=0.970588 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 3/30 | encoder_frozen=True | train_patches=1173 | replay_patches=169 | train_loss=0.721815 | val_loss=0.767795 | patch_dice_all=0.160598 | patch_dice_pos_only=0.211313 | positive_recall=1.000000 | negative_fpr=1.000000 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 4/30 | encoder_frozen=False | train_patches=1342 | replay_patches=169 | train_loss=0.714806 | val_loss=0.718270 | patch_dice_all=0.595516 | patch_dice_pos_only=0.604007 | positive_recall=0.962848 | negative_fpr=0.431373 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 5/30 | encoder_frozen=False | train_patches=1342 | replay_patches=169 | train_loss=0.703074 | val_loss=0.702357 | patch_dice_all=0.405678 | patch_dice_pos_only=0.471867 | positive_recall=0.996904 | negative_fpr=0.803922 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 6/30 | encoder_frozen=False | train_patches=1342 | replay_patches=151 | train_loss=0.694539 | val_loss=0.693388 | patch_dice_all=0.497673 | patch_dice_pos_only=0.537186 | positive_recall=0.996904 | negative_fpr=0.627451 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 7/30 | encoder_frozen=False | train_patches=1324 | replay_patches=151 | train_loss=0.689083 | val_loss=0.690669 | patch_dice_all=0.622954 | patch_dice_pos_only=0.652494 | positive_recall=0.996904 | negative_fpr=0.470588 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 8/30 | encoder_frozen=False | train_patches=1324 | replay_patches=151 | train_loss=0.682617 | val_loss=0.684949 | patch_dice_all=0.591282 | patch_dice_pos_only=0.620108 | positive_recall=0.996904 | negative_fpr=0.500000 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 9/30 | encoder_frozen=False | train_patches=1324 | replay_patches=143 | train_loss=0.678756 | val_loss=0.678487 | patch_dice_all=0.583809 | patch_dice_pos_only=0.631947 | positive_recall=0.996904 | negative_fpr=0.568627 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 10/30 | encoder_frozen=False | train_patches=1316 | replay_patches=143 | train_loss=0.675236 | val_loss=0.674041 | patch_dice_all=0.702505 | patch_dice_pos_only=0.685959 | positive_recall=0.987616 | negative_fpr=0.245098 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
epoch 11/30 | encoder_frozen=False | train_patches=1316 | replay_patches=143 | train_loss=0.670944 | val_loss=0.660244 | patch_dice_all=0.694477 | patch_dice_pos_only=0.684683 | positive_recall=0.978328 | negative_fpr=0.274510 | lr_encoder=5.000000e-05 | lr_decoder=2.000000e-04
