fold = 3
device = cuda
stage1_checkpoint = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/stage1/fold3/best_stage1.pt
defect_train_count = 159
defect_val_count = 52
normal_train_count = 45
normal_val_count = 14
save_dir = /mimer/NOBACKUP/groups/smart-rail/Yi Yang/CV_contact_wire/UNET_two_stage/outputs/stage2/fold3
epoch 1/25 | random_normal=45 | hard_normal=0 | hard_pool=0 | train_loss=0.645782 | defect_dice=0.654792 | defect_iou=0.525745 | defect_recall=0.961538 | normal_fpr=0.071429 | thr=0.90 | min_area=24 | stage2_score=0.654792 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 2/25 | random_normal=45 | hard_normal=0 | hard_pool=0 | train_loss=0.640588 | defect_dice=0.616534 | defect_iou=0.472644 | defect_recall=0.980769 | normal_fpr=0.357143 | thr=0.90 | min_area=48 | stage2_score=0.102249 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 3/25 | random_normal=45 | hard_normal=0 | hard_pool=17 | train_loss=0.638667 | defect_dice=0.694544 | defect_iou=0.569131 | defect_recall=0.980769 | normal_fpr=0.214286 | thr=0.88 | min_area=0 | stage2_score=0.465972 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 4/25 | random_normal=45 | hard_normal=0 | hard_pool=17 | train_loss=0.636758 | defect_dice=0.678135 | defect_iou=0.554538 | defect_recall=0.961538 | normal_fpr=0.142857 | thr=0.90 | min_area=16 | stage2_score=0.592421 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 5/25 | random_normal=45 | hard_normal=0 | hard_pool=7 | train_loss=0.635125 | defect_dice=0.700267 | defect_iou=0.570157 | defect_recall=1.000000 | normal_fpr=0.142857 | thr=0.88 | min_area=48 | stage2_score=0.614553 | lr_encoder=2.000000e-05 | lr_decoder=1.000000e-04
epoch 6/25 | random_normal=45 | hard_normal=0 | hard_pool=7 | train_loss=0.632557 | defect_dice=0.683133 | defect_iou=0.557388 | defect_recall=0.980769 | normal_fpr=0.142857 | thr=0.84 | min_area=24 | stage2_score=0.597418 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 7/25 | random_normal=45 | hard_normal=0 | hard_pool=5 | train_loss=0.631718 | defect_dice=0.665354 | defect_iou=0.546326 | defect_recall=0.923077 | normal_fpr=0.071429 | thr=0.90 | min_area=48 | stage2_score=0.665354 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 8/25 | random_normal=45 | hard_normal=0 | hard_pool=5 | train_loss=0.631752 | defect_dice=0.683558 | defect_iou=0.562241 | defect_recall=0.961538 | normal_fpr=0.142857 | thr=0.84 | min_area=48 | stage2_score=0.597843 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 9/25 | random_normal=45 | hard_normal=0 | hard_pool=4 | train_loss=0.630003 | defect_dice=0.693884 | defect_iou=0.573485 | defect_recall=0.961538 | normal_fpr=0.071429 | thr=0.86 | min_area=32 | stage2_score=0.693884 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 10/25 | random_normal=45 | hard_normal=0 | hard_pool=4 | train_loss=0.629849 | defect_dice=0.682108 | defect_iou=0.565132 | defect_recall=0.942308 | normal_fpr=0.071429 | thr=0.84 | min_area=24 | stage2_score=0.682108 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
epoch 11/25 | random_normal=45 | hard_normal=0 | hard_pool=2 | train_loss=0.628450 | defect_dice=0.711903 | defect_iou=0.584538 | defect_recall=1.000000 | normal_fpr=0.142857 | thr=0.88 | min_area=24 | stage2_score=0.626189 | lr_encoder=1.000000e-05 | lr_decoder=5.000000e-05
