epoch,encoder_frozen,train_loss,val_loss,patch_dice_all,patch_dice_pos_only,positive_patch_recall,negative_patch_fpr,stage1_score,train_patch_count,replay_patch_count,train_family_counts_json,patch_dice_by_type_json,count_by_type_json,lr_encoder,lr_decoder
1,True,0.8273039175637403,0.8931404390834513,0.32182309352135885,0.4039465624586406,1.0,0.9880952380952381,0.4039465624586406,1194,0,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944}","{""hard_negative"": 8.246638765381972e-10, ""near_miss_negative"": 1.0422666267859457e-09, ""normal_negative"": 0.023809527717214736, ""positive_boundary"": 0.4122587168975821, ""positive_center"": 0.3994139414997055, ""positive_context"": 0.3801270307762162, ""positive_shift"": 0.4097677237652945}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
2,True,0.7435522878189982,0.8302333277657145,0.3646021532922873,0.44859767491321084,1.0,0.9523809523809523,0.44859767491321084,1194,0,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944}","{""hard_negative"": 0.08333334031098061, ""near_miss_negative"": 3.196085673124522e-09, ""normal_negative"": 0.04761905470776787, ""positive_boundary"": 0.44811685038906224, ""positive_center"": 0.42836396410488164, ""positive_context"": 0.45129553566001496, ""positive_shift"": 0.4576555404038924}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
3,True,0.7198479602884008,0.7480945105564565,0.32336333753400104,0.3995857964672313,1.0,0.9642857142857143,0.3995857964672313,1194,0,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944}","{""hard_negative"": 0.04166667005554801, ""near_miss_negative"": 0.055555561360110785, ""normal_negative"": 0.023809540123974578, ""positive_boundary"": 0.3858718884019357, ""positive_center"": 0.38638600721382177, ""positive_context"": 0.40714883544253855, ""positive_shift"": 0.4159935533578666}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
4,False,0.7132239393944287,0.7141254639387725,0.6970735099645642,0.6862033930668071,0.9842271293375394,0.2619047619047619,0.6862033930668071,1370,176,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944, ""replay"": 176}","{""hard_negative"": 0.7083333818813116, ""near_miss_negative"": 0.6111111388057728, ""normal_negative"": 0.8095238149989761, ""positive_boundary"": 0.69363033673111, ""positive_center"": 0.693421378158606, ""positive_context"": 0.7123582390761894, ""positive_shift"": 0.6621581280508927}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
5,False,0.7022364981853179,0.6804128727710752,0.5560409681082558,0.545654344304879,1.0,0.40476190476190477,0.545654344304879,1370,176,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944, ""replay"": 176}","{""hard_negative"": 0.625000015645617, ""near_miss_negative"": 0.4444444713495835, ""normal_negative"": 0.6428571477851586, ""positive_boundary"": 0.5372171023825429, ""positive_center"": 0.5424022746200745, ""positive_context"": 0.5436121607726475, ""positive_shift"": 0.5567080329330463}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
6,False,0.6946447609114821,0.6765748968445452,0.663630448769267,0.6943716347562703,0.9968454258675079,0.4523809523809524,0.6943716347562703,1370,176,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944, ""replay"": 176}","{""hard_negative"": 0.5000000521693938, ""near_miss_negative"": 0.44444445699623397, ""normal_negative"": 0.6190476252557323, ""positive_boundary"": 0.6868542952300299, ""positive_center"": 0.7032245921973999, ""positive_context"": 0.6932928335483907, ""positive_shift"": 0.6980854146323114}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
7,False,0.6889158738450627,0.6691349435625528,0.627074584202994,0.6607473362125689,0.9936908517350158,0.5,0.6607473362125689,1341,147,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944, ""replay"": 147}","{""hard_negative"": 0.3750000543873731, ""near_miss_negative"": 0.3888889500151789, ""normal_negative"": 0.6190476257249065, ""positive_boundary"": 0.6561717602665751, ""positive_center"": 0.6672911423330123, ""positive_context"": 0.6667870063344556, ""positive_shift"": 0.6590929080574017}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
8,False,0.6830636174442339,0.6679521454242697,0.6144681566892246,0.66057327671758,1.0,0.5595238095238095,0.66057327671758,1341,147,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944, ""replay"": 147}","{""hard_negative"": 0.4583333372091502, ""near_miss_negative"": 0.22222222680093429, ""normal_negative"": 0.523809569939755, ""positive_boundary"": 0.6566607401056109, ""positive_center"": 0.6604776949836657, ""positive_context"": 0.6564603644721912, ""positive_shift"": 0.6665891586047299}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
9,False,0.6782654808760579,0.6624902315865133,0.6344151941407173,0.6542602281559153,1.0,0.44047619047619047,0.6542602281559153,1341,147,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944, ""replay"": 147}","{""hard_negative"": 0.4583333423667359, ""near_miss_negative"": 0.3888888985339146, ""normal_negative"": 0.6904761936807234, ""positive_boundary"": 0.6593212580905771, ""positive_center"": 0.6503447254116719, ""positive_context"": 0.643048532728879, ""positive_shift"": 0.656725858601759}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
10,False,0.6748585232348364,0.6596007097391714,0.670605294911553,0.7000401342516818,1.0,0.44047619047619047,0.7000401342516818,1338,144,"{""defect_negative"": 125, ""normal_negative"": 125, ""positive"": 944, ""replay"": 144}","{""hard_negative"": 0.5000000041970403, ""near_miss_negative"": 0.2777777882300196, ""normal_negative"": 0.7142857241161986, ""positive_boundary"": 0.695751353395435, ""positive_center"": 0.7045088931918144, ""positive_context"": 0.6966566862362735, ""positive_shift"": 0.7038284177487751}","{""hard_negative"": 24, ""near_miss_negative"": 18, ""normal_negative"": 42, ""positive_boundary"": 106, ""positive_center"": 52, ""positive_context"": 53, ""positive_shift"": 106}",5e-05,0.0002
