epoch,train_loss,defect_dice,defect_iou,defect_image_recall,normal_fpr,normal_fp_pixel_mean,normal_largest_fp_area_mean,threshold,min_area,stage2_score,random_normal_count,hard_normal_count,hard_pool_size,train_device_counts_json,lr_encoder,lr_decoder
1,0.6547938821339371,0.7204129213412022,0.5901841019170041,0.9811320754716981,0.06666666666666667,18.533333333333335,15.333333333333334,0.9,48,0.7204129213412022,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
2,0.6513691479616827,0.7760014475752669,0.6530200839319861,1.0,0.0,0.0,0.0,0.9,48,0.7760014475752669,44,0,0,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
3,0.6488232830963513,0.7727918467019239,0.6518464715051179,1.0,0.0,0.0,0.0,0.8,48,0.7727918467019239,44,0,2,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
4,0.6469423711890041,0.7652078928429238,0.6426007510993357,1.0,0.0,0.0,0.0,0.88,16,0.7652078928429238,44,0,2,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
5,0.6452058907782677,0.7791135171103056,0.6600888051011934,1.0,0.0,0.0,0.0,0.9,16,0.7791135171103056,44,0,4,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
6,0.6432539106595634,0.7740848958479075,0.6545011652070782,1.0,0.0,0.0,0.0,0.82,16,0.7740848958479075,44,0,4,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
7,0.6408433613210621,0.782990620147706,0.665635354894621,1.0,0.0,0.0,0.0,0.82,24,0.782990620147706,44,0,3,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
8,0.6395300514627211,0.7757681253391386,0.6532678214568735,1.0,0.0,0.0,0.0,0.86,24,0.7757681253391386,44,0,3,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
9,0.6377391295857949,0.7870632606990127,0.6695402333018952,1.0,0.0,0.0,0.0,0.88,24,0.7870632606990127,44,0,3,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
10,0.6361781211182622,0.7922229390791905,0.6764471317572818,1.0,0.0,0.0,0.0,0.82,24,0.7922229390791905,44,0,3,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
11,0.6347434166634437,0.8069861598044308,0.6925607503606135,1.0,0.0,0.0,0.0,0.84,48,0.8069861598044308,44,0,1,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
12,0.63279393167779,0.803658469123802,0.6877667794363554,1.0,0.0,0.0,0.0,0.82,48,0.803658469123802,44,0,1,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
13,0.6321903874378393,0.7708959194510396,0.6512895863880633,1.0,0.06666666666666667,14.0,14.0,0.9,24,0.7708959194510396,44,0,1,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
14,0.6306788366619903,0.724748277950114,0.5963729067709823,1.0,0.4666666666666667,379.2,337.73333333333335,0.9,48,-0.008585055383219409,44,0,1,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
15,0.629809837530155,0.7774670346346598,0.6620401122575238,1.0,0.06666666666666667,2.2,2.2,0.9,32,0.7774670346346598,44,0,19,"{""camera"": 116, ""phone"": 86}",2e-05,0.0001
16,0.6276336235575156,0.7773093502768248,0.6520634450664794,1.0,0.0,0.0,0.0,0.9,48,0.7773093502768248,44,0,19,"{""camera"": 116, ""phone"": 86}",1e-05,5e-05
17,0.6266490480687359,0.8019681907848835,0.6847707758021131,1.0,0.0,0.0,0.0,0.9,48,0.8019681907848835,44,0,5,"{""camera"": 116, ""phone"": 86}",1e-05,5e-05
18,0.6255451305077808,0.8036506701030961,0.69261897460394,1.0,0.0,0.0,0.0,0.9,48,0.8036506701030961,44,0,5,"{""camera"": 116, ""phone"": 86}",1e-05,5e-05
19,0.6246640522881309,0.7969786907702974,0.6847795878099572,1.0,0.0,0.0,0.0,0.86,32,0.7969786907702974,44,0,1,"{""camera"": 116, ""phone"": 86}",1e-05,5e-05
20,0.6241271295169792,0.804688805447962,0.6947371558692337,1.0,0.0,0.0,0.0,0.88,48,0.804688805447962,44,0,1,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
21,0.6233053396243861,0.8063944575297805,0.6970755973829511,1.0,0.0,0.0,0.0,0.88,48,0.8063944575297805,44,0,2,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
22,0.6231370161075404,0.8066141013369104,0.6974291890094872,1.0,0.0,0.0,0.0,0.9,48,0.8066141013369104,44,0,2,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
23,0.6226744516061085,0.8076899205699215,0.6982562558683704,1.0,0.0,0.0,0.0,0.88,32,0.8076899205699215,44,0,3,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
24,0.6222573383019703,0.8075254435254984,0.6976737120525638,1.0,0.0,0.0,0.0,0.88,48,0.8075254435254984,44,0,3,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
25,0.6221351629436607,0.8051653587091989,0.6968828011578188,1.0,0.0,0.0,0.0,0.86,32,0.8051653587091989,44,0,3,"{""camera"": 116, ""phone"": 86}",5e-06,2.5e-05
